SIGUNGU_NM,L2_CODE,L2_NAME,AREA_M2
노원구,410,자연초지,161050.17713921398
노원구,420,인공초지,2908080.4306490445
노원구,510,내륙습지(수변식생),26679.45682721283
노원구,610,자연 나지,496617.09086250386
노원구,620,기타 나지,983484.9573724844
노원구,710,내륙수,530488.1047459692
도봉구,110,주거지역,5544676.329129121
도봉구,120,공업지역,22882.617646365605
도봉구,130,상업지역,972966.9415940584
도봉구,140,문화·체육·휴양지역,140692.9370088887
도봉구,150,교통지역,1893113.8355810102
도봉구,160,공공시설지역,698665.9611462262
도봉구,210,논,11391.365225877624
도봉구,220,밭,281811.1409631326
도봉구,230,시설재배지,60700.350212352976
도봉구,240,과수원,55457.7958611034
도봉구,250,기타재배지,3996.9563865360396
도봉구,310,활엽수림,7049980.2812327035
도봉구,320,침엽수림,558775.7870895446
도봉구,330,혼효림,1568225.396037178
도봉구,410,자연초지,30476.849086342903
도봉구,420,인공초지,691094.4315748268
도봉구,510,내륙습지(수변식생),56629.86299687179
도봉구,610,자연 나지,366460.8458875655
도봉구,620,기타 나지,512148.7421433363
도봉구,710,내륙수,169235.39777560337
동대문구,110,주거지역,6126224.45555636
동대문구,130,상업지역,2301711.18717919
동대문구,140,문화·체육·휴양지역,112349.57275605638
동대문구,150,교통지역,2346841.566123882
동대문구,160,공공시설지역,988924.0649412889
동대문구,230,시설재배지,4696.411429227781
동대문구,310,활엽수림,811598.7260611656
동대문구,320,침엽수림,111401.80745832376
동대문구,330,혼효림,120208.3445624963
동대문구,410,자연초지,65548.16230340209
동대문구,420,인공초지,606101.8735892788
동대문구,510,내륙습지(수변식생),4596.517060544106
동대문구,610,자연 나지,6095.383580983911
동대문구,620,기타 나지,524699.6070922563
동대문구,710,내륙수,135372.7446204045
동작구,110,주거지역,6784971.050170997
동작구,130,상업지역,1345561.9384912367
동작구,140,문화·체육·휴양지역,67748.20558721788
동작구,150,교통지역,1963388.5539732296
동작구,160,공공시설지역,730996.5377952472
동작구,220,밭,13589.860524765312
동작구,310,활엽수림,2261375.974648752
동작구,320,침엽수림,254435.6244126352
동작구,330,혼효림,325961.69014751335
동작구,410,자연초지,92442.50691474586
동작구,420,인공초지,1439000.4772451068
동작구,510,내륙습지(수변식생),7394.471725157665
동작구,620,기타 나지,778487.5269541612
동작구,710,내륙수,298262.9145195737
마포구,110,주거지역,6398976.200932818
마포구,130,상업지역,2537758.2099875286
마포구,140,문화·체육·휴양지역,173972.4606091675
마포구,150,교통지역,3839035.1369982027
마포구,160,공공시설지역,740330.7217893959
마포구,210,논,4996.3290057877075
마포구,220,밭,3160.5068454418206
마포구,230,시설재배지,4396.767818899236
마포구,310,활엽수림,672232.8491263092
마포구,320,침엽수림,101026.05795284662
마포구,330,혼효림,66886.21605095969
마포구,410,자연초지,76113.76439127375
마포구,420,인공초지,3776941.3467963804
마포구,510,내륙습지(수변식생),73454.1337259373
마포구,610,자연 나지,10564.188607421675
마포구,620,기타 나지,1195016.72679785
마포구,710,내륙수,4169956.6372957435
서대문구,110,주거지역,6734097.195564395
서대문구,130,상업지역,1167680.6451164333
서대문구,140,문화·체육·휴양지역,96128.8203940446
서대문구,150,교통지역,1676935.1071700556
서대문구,160,공공시설지역,1254345.618766452
서대문구,220,밭,37871.933551482965
서대문구,250,기타재배지,3297.5510416134225
서대문구,310,활엽수림,3609492.415058871
서대문구,320,침엽수림,1102582.244043885
서대문구,330,혼효림,312376.7273875741
서대문구,410,자연초지,128423.72572322944
서대문구,420,인공초지,490967.1859928699
서대문구,510,내륙습지(수변식생),29268.11825266257
서대문구,610,자연 나지,273312.2263220857
서대문구,620,기타 나지,716344.792211468
서대문구,710,내륙수,41582.105777811856
서초구,110,주거지역,7654399.629516779
서초구,120,공업지역,27978.823489855542
서초구,130,상업지역,4045396.1129092984
서초구,140,문화·체육·휴양지역,415484.4914765113
서초구,150,교통지역,4964479.896401914
서초구,160,공공시설지역,943188.1744349544
서초구,210,논,16287.56651810614
서초구,220,밭,2247153.2042515217
서초구,230,시설재배지,504030.4630288564
서초구,240,과수원,80044.43462527086
서초구,250,기타재배지,435876.5533145638
서초구,310,활엽수림,15971335.365535716
서초구,320,침엽수림,1233301.7816044302
서초구,330,혼효림,1797501.1216097537
서초구,410,자연초지,834019.0482955676
서초구,420,인공초지,2480546.451163707
서초구,510,내륙습지(수변식생),66092.76006232366
서초구,610,자연 나지,6295.217235339996
서초구,620,기타 나지,1610828.727924569
서초구,710,내륙수,1551091.3371057299
성동구,110,주거지역,4142588.8406094685
성동구,120,공업지역,129900.97347125557
성동구,130,상업지역,2251707.219071315
성동구,140,문화·체육·휴양지역,188956.25482286935
성동구,150,교통지역,3063635.32108826
성동구,160,공공시설지역,1298915.9805338392
성동구,220,밭,2897.7952398972566
성동구,310,활엽수림,408365.55950202956
성동구,320,침엽수림,23428.68748521011
성동구,330,혼효림,119568.71433286031
성동구,410,자연초지,331893.7295642339
성동구,420,인공초지,1306917.2511363795
성동구,510,내륙습지(수변식생),105919.18631835213
성동구,610,자연 나지,16271.979970599878
성동구,620,기타 나지,962758.9513933504
성동구,710,내륙수,2450766.8571282597
성북구,110,주거지역,9868350.224426836
성북구,130,상업지역,1057881.7679763206
성북구,140,문화·체육·휴양지역,160578.57352236632
성북구,150,교통지역,2532030.3651569043
성북구,160,공공시설지역,1449102.9002927758
성북구,220,밭,42468.03391948084
성북구,310,활엽수림,4644095.020086583
성북구,320,침엽수림,1554005.1092152477
성북구,330,혼효림,1571267.371526207
성북구,410,자연초지,176190.93571247713
성북구,420,인공초지,785167.5598606223
성북구,510,내륙습지(수변식생),30976.679041102325
성북구,610,자연 나지,101074.85443335868
성북구,620,기타 나지,523364.5125039755
성북구,710,내륙수,63668.047826906615
송파구,110,주거지역,9225471.870948592
송파구,120,공업지역,38712.32923063164
송파구,130,상업지역,3152871.9924162813
송파구,140,문화·체육·휴양지역,550607.7965725225
송파구,150,교통지역,5554981.919977126
송파구,160,공공시설지역,1047841.2559151371
송파구,210,논,18185.838188152855
송파구,220,밭,1132957.023064627
송파구,230,시설재배지,168072.94550910033
송파구,250,기타재배지,37096.37758006531
송파구,310,활엽수림,1760337.467465506
송파구,320,침엽수림,209018.38057281313
송파구,330,혼효림,128000.4860949194
송파구,410,자연초지,745188.0424404483
송파구,420,인공초지,4397280.357570537
송파구,510,내륙습지(수변식생),367172.7255081161
송파구,610,자연 나지,49471.530764310046
송파구,620,기타 나지,1371423.0013237915
송파구,710,내륙수,3872133.056235658
양천구,110,주거지역,7422510.696087865
양천구,120,공업지역,36342.349946024464
양천구,130,상업지역,2006482.061214778
양천구,140,문화·체육·휴양지역,212143.23550774908
양천구,150,교통지역,2362668.7868648795
양천구,160,공공시설지역,728473.1506775072
양천구,220,밭,119876.48463851858
양천구,230,시설재배지,37972.65487864159
양천구,250,기타재배지,23183.306043435306
양천구,310,활엽수림,1543121.3857237874
양천구,320,침엽수림,350723.29501151544
양천구,330,혼효림,208953.6025883465
양천구,410,자연초지,237226.3656825366
양천구,420,인공초지,1087630.4589193675
양천구,620,기타 나지,941218.4224137964
양천구,710,내륙수,131768.86680705054
영등포구,110,주거지역,5695727.807075811
영등포구,120,공업지역,113867.85171987378
영등포구,130,상업지역,4437886.944706584
영등포구,140,문화·체육·휴양지역,171934.48105977906
영등포구,150,교통지역,4560202.3409756
영등포구,160,공공시설지역,833587.7756873852
영등포구,310,활엽수림,206952.55052045864
영등포구,320,침엽수림,11891.32137852449
영등포구,410,자연초지,592719.9993209247
영등포구,420,인공초지,2232074.010556486
영등포구,510,내륙습지(수변식생),70266.88665851616
영등포구,610,자연 나지,22811.204428951725
영등포구,620,기타 나지,558217.8048517277
영등포구,710,내륙수,4997576.764345883
용산구,110,주거지역,5501409.885325242
용산구,130,상업지역,2111238.747137552
용산구,140,문화·체육·휴양지역,292916.4314715023
용산구,150,교통지역,3068737.551240408
용산구,160,공공시설지역,611936.2869582215
용산구,220,밭,14189.389418140234
용산구,310,활엽수림,2344015.549098279
용산구,320,침엽수림,1294691.5049541749
용산구,330,혼효림,835196.7889340662
용산구,410,자연초지,198838.3496091683
용산구,420,인공초지,1289700.9147597097
용산구,620,기타 나지,572732.2029336353
용산구,710,내륙수,3740719.76387858
은평구,110,주거지역,9376419.917544609
은평구,130,상업지역,1159481.4388603398
은평구,140,문화·체육·휴양지역,67750.09714180403
은평구,150,교통지역,1993672.1135336054
은평구,160,공공시설지역,750681.1265118081
은평구,220,밭,103197.28081366398
은평구,250,기타재배지,260419.85651864365
은평구,310,활엽수림,7115941.550019117
은평구,320,침엽수림,2954955.2208303856
은평구,330,혼효림,1749403.461846247
은평구,410,자연초지,414612.19816690806
은평구,420,인공초지,386469.2093084023
은평구,510,내륙습지(수변식생),76437.93292856257
은평구,610,자연 나지,1815321.5620857175
은평구,620,기타 나지,1440154.1735449992
은평구,710,내륙수,108973.21288833355
종로구,110,주거지역,5419992.187617718
종로구,130,상업지역,2423732.5541006634
종로구,140,문화·체육·휴양지역,420685.075018349
종로구,150,교통지역,1584098.6714729492
종로구,160,공공시설지역,1019548.9688362239
종로구,220,밭,55158.86664828821
종로구,250,기타재배지,10192.392924408401
종로구,310,활엽수림,5523890.246696553
종로구,320,침엽수림,2740886.2306920364
종로구,330,혼효림,2269939.553453711
종로구,410,자연초지,176554.9844326203
종로구,420,인공초지,733150.2660017643
종로구,510,내륙습지(수변식생),16287.834786708314
종로구,610,자연 나지,989557.6012631147
종로구,620,기타 나지,483891.3226349712
종로구,710,내륙수,105274.04606531236
중구,110,주거지역,1797524.1147593274
중구,120,공업지역,6395.184312760331
중구,130,상업지역,3500737.2624409036
중구,140,문화·체육·휴양지역,209706.5718609814
중구,150,교통지역,1685148.5951186297
중구,160,공공시설지역,569277.3959778154
중구,310,활엽수림,1045909.2999407371
중구,320,침엽수림,56948.47139578609
중구,330,혼효림,103805.45231583159
중구,410,자연초지,39886.92716858421
중구,420,인공초지,516748.6325083913
중구,610,자연 나지,9308.638959059743
중구,620,기타 나지,411647.4112581761
중구,710,내륙수,29424.78021224533
중랑구,110,주거지역,6284389.702109203
중랑구,120,공업지역,4496.531968686242
중랑구,130,상업지역,1563190.2457455262
중랑구,140,문화·체육·휴양지역,217711.7403334182
중랑구,150,교통지역,2743468.966291084
중랑구,160,공공시설지역,507047.0446215939
중랑구,220,밭,296485.7677364298
중랑구,230,시설재배지,8393.51656640591
중랑구,240,과수원,184507.42630390523
중랑구,250,기타재배지,23781.62805949156
중랑구,310,활엽수림,2434058.5091007613
중랑구,320,침엽수림,940257.9604440173
중랑구,330,혼효림,216008.70467988515
중랑구,410,자연초지,291029.8107212217
중랑구,420,인공초지,1441639.6772965966
중랑구,510,내륙습지(수변식생),29277.53203352979
중랑구,610,자연 나지,259310.82143277113
중랑구,620,기타 나지,804487.7959747637
중랑구,710,내륙수,273633.9555967343
