지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
422,2017-01-01,2.5,-.3,504,5.5,1401,0,4.3,1.3,137.8
422,2017-01-02,4,.6,2316,6.8,1339,0,8.5,1.7,329.1
422,2017-01-03,1.3,-1.6,504,4.8,1427,0,7,1.8,244.7
422,2017-01-04,3.7,1.8,728,6.4,1407,0,6.3,1.8,309.4
422,2017-01-05,3.6,1.6,642,5.6,1437,0,11.1,3.9,75.9
422,2017-01-06,4.4,1.5,742,8.3,1418,0,9.4,2.7,90
422,2017-01-07,4.7,1.5,743,7.5,1323,0,6.2,1.8,33.8
422,2017-01-08,5.5,2.4,2357,9.5,1420,0,8.7,2.9,357.2
422,2017-01-09,-.2,-5,2345,2.6,1448,0,10.5,2.8,2.8
422,2017-01-10,-5.1,-9.4,2341,-.6,1351,0,11.1,2.8,329.1
422,2017-01-11,-5.1,-10.6,637,-.6,1414,0,10.5,2.2,300.9
422,2017-01-12,-3.7,-8.1,2312,-.8,1242,0,12.8,3,312.2
422,2017-01-13,-7.8,-11.2,2256,-3.9,1450,.5,12.4,2.6,340.3
422,2017-01-14,-10.5,-13.2,754,-7.1,1446,0,12.3,4.1,343.1
422,2017-01-15,-7.6,-12.5,748,-3.4,1609,0,7.1,1.6,300.9
422,2017-01-16,-4.3,-9,718,.3,1500,0,5.2,1.4,109.7
422,2017-01-17,-2.2,-5.3,811,1,1500,0,5.8,1.7,317.8
422,2017-01-18,-1.2,-3.2,503,1.3,1525,0,8.1,1.7,340.3
422,2017-01-19,-2,-5.2,752,2.4,1451,0,8.5,1.9,303.8
422,2017-01-20,-6.1,-11.1,2341,-2,125,3.5,12.2,2.4,351.6
422,2017-01-21,-6.5,-10.8,5,-2.8,1250,1.5,11,1.8,267.2
422,2017-01-22,-10.3,-13.7,2310,-4.3,1,0,18.9,4,351.6
422,2017-01-23,-10.8,-15.4,810,-6.5,1549,0,7.8,2,326.3
422,2017-01-24,-8.6,-13.7,312,-4.1,1601,0,6.2,2,295.3
422,2017-01-25,-5.8,-9.8,451,-1.8,1412,0,5.7,1.6,292.5
422,2017-01-26,-2,-6.9,654,2,2343,0,11.2,1.8,199.7
422,2017-01-27,-4.3,-7.2,2248,2.3,110,5,13.3,3.1,343.1
422,2017-01-28,-2.5,-8.1,304,1.5,1708,0,6.3,2.4,39.4
422,2017-01-29,.2,-1.8,2353,3.1,629,5,7.3,1.8,320.6
422,2017-01-30,-6.6,-9.2,2042,-1.8,1,0,7.6,2.4,317.8
422,2017-01-31,-6.7,-10.7,607,-2.6,1450,0,5.4,1.5,255.9
422,2017-02-01,-5.1,-9.3,2357,-1.3,1515,0,11.7,2.2,11.3
422,2017-02-02,-4.2,-10.3,737,.4,1547,0,8.4,1.9,331.9
422,2017-02-03,.4,-2.4,710,4,1437,0,7,1.6,219.4
