지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
404,2017-01-01,4.8,1.1,811,7.8,1435,0,3.9,1.7,115.3
404,2017-01-02,6,2.2,2358,8.8,1336,0,5,1.7,284.1
404,2017-01-03,3.5,-.3,612,7,1514,0,4.9,1,241.9
404,2017-01-04,4.9,2.6,2230,9.4,1429,0,3.5,1.2,298.1
404,2017-01-05,4.7,.6,657,8.2,1502,0,7.7,1.9,104.1
404,2017-01-06,6.5,4.2,2359,10.9,1505,0,7.3,2.1,115.3
404,2017-01-07,5.7,1.2,639,10,1509,0,3.8,.9,126.6
404,2017-01-08,7,4.3,450,10.7,1107,0,4.4,.9,261.6
404,2017-01-09,2.3,-2.1,2337,5.5,1516,0,6,1.7,272.8
404,2017-01-10,-2.2,-6,2338,2.1,1429,0,5.9,1.7,272.8
404,2017-01-11,-2.6,-6.9,703,2,1555,0,6.3,1.3,264.4
404,2017-01-12,-1,-4.7,2348,2.8,1456,0,5.6,1.3,348.8
404,2017-01-13,-5.2,-7.2,2256,-1.2,1435,0,7.1,1.5,275.6
404,2017-01-14,-7.4,-9.5,756,-3.9,1513,0,8,1.7,258.8
404,2017-01-15,-5.5,-9.9,714,-.2,1537,0,4.3,1,255.9
404,2017-01-16,-2.4,-7.1,659,3.3,1528,0,5.3,.9,258.8
404,2017-01-17,-.6,-4.7,457,3.8,1522,0,3,.8,312.2
404,2017-01-18,.6,-1.8,2347,3.7,1516,0,3.1,.8,146.3
404,2017-01-19,-.4,-4,649,4.8,1458,0,4.6,1,284.1
404,2017-01-20,-3.7,-6.5,2259,.5,36,3.5,6.7,1.5,317.8
404,2017-01-21,-3.8,-7.5,703,-.8,1246,2.5,7.2,1.3,205.3
404,2017-01-22,-7.5,-9.6,2321,-2.7,1,.5,6.9,1.6,284.1
404,2017-01-23,-8.2,-11.1,740,-4.2,1602,0,5.1,1.5,270
404,2017-01-24,-6,-10,438,-1,1502,0,3.9,1.1,258.8
404,2017-01-25,-4.3,-9.9,714,1.6,1429,0,3.5,1,264.4
404,2017-01-26,.1,-5,720,3.9,2309,.5,7.1,2.5,151.9
404,2017-01-27,-2,-4.9,2354,4.8,56,4.5,9.7,2.1,255.9
404,2017-01-28,-1.1,-6.6,729,4.7,1615,0,4.7,.9,112.5
404,2017-01-29,1,-.5,2247,3.1,316,6,3.5,.6,126.6
404,2017-01-30,-4.8,-7.1,2343,-.3,2,0,6.4,1.9,
404,2017-01-31,-4.9,-8.9,633,.2,1611,0,3.6,1,303.8
404,2017-02-01,-3.1,-6.5,2356,.8,1439,0,6,1.5,253.1
404,2017-02-02,-1.7,-8,444,2.9,1522,0,7.1,1.4,258.8
404,2017-02-03,2.4,-1.2,657,5.9,1400,0,4.1,1,267.2
404,2017-02-04,2.4,.2,639,4.3,2002,0,3.9,1,106.9
404,2017-02-05,1.6,-.2,2355,3.7,102,1,5.6,1.4,264.4
404,2017-02-06,-1.2,-3.4,737,2.7,1518,0,5.4,1.9,278.4
404,2017-02-07,-1.6,-4.4,523,2.1,1623,0,3.5,.9,230.6
404,2017-02-08,-1.6,-4.2,649,1,1442,0,5.3,1.2,261.6
404,2017-02-09,-4.4,-5.8,731,-1.6,1242,0,8.1,2.3,272.8
404,2017-02-10,-5.7,-8.3,732,-2.3,1543,0,7.9,2.4,286.9
404,2017-02-11,-3.9,-7.5,506,.2,1602,0,6.7,2,236.3
404,2017-02-12,-1.1,-5.3,516,3.3,1509,0,5.8,1.4,334.7
404,2017-02-13,1,-2.8,525,5.4,1302,0,3.9,.9,247.5
404,2017-02-14,1,-3,722,6.4,1553,0,5,1.1,261.6
404,2017-02-15,3.3,-1.2,726,7.9,1504,0,4.5,1.5,126.6
404,2017-02-16,7.3,1.8,620,11.1,1902,0,6.6,1.9,233.4
404,2017-02-17,.9,-4.4,2347,8.8,2,3.5,7.2,2.1,253.1
404,2017-02-18,-1.6,-5.7,721,3.8,1433,0,7.3,1.9,270
404,2017-02-19,3.3,-1,458,7.1,1833,3,8.1,2.7,160.3
404,2017-02-20,-1.2,-4.3,2340,6.2,133,1,6.8,2.1,241.9
404,2017-02-21,-.4,-6.4,735,5.9,1529,0,3.9,1.1,306.6
404,2017-02-22,1.7,-.7,2354,4.6,802,4.5,6.3,1.7,87.2
404,2017-02-23,-.8,-3.2,2333,2.5,1350,0,7.3,2,289.7
404,2017-02-24,0,-4.4,654,3.6,1252,0,6.1,1.7,255.9
404,2017-02-25,3.3,-.7,427,7.5,1402,0,7.2,1.8,233.4
404,2017-02-26,3.7,-.3,704,10.3,1457,0,5.8,1.1,267.2
404,2017-02-27,4.3,-.4,636,10.7,1509,0,4.7,1.2,272.8
404,2017-02-28,6.3,1.8,333,11.8,1429,0,5.5,1.4,255.9
404,2017-03-01,6.1,2.2,2311,11.2,1315,6.5,7.3,1.6,275.6
404,2017-03-02,2.3,-.3,726,6,1426,.5,6,1.7,289.7
404,2017-03-03,4.4,-.6,330,8.8,1350,0,7.1,1.8,261.6
404,2017-03-04,6.3,3.1,620,11.5,1522,0,5,1.1,281.3
404,2017-03-05,5,2,618,10.2,1335,0,5,1.2,298.1
404,2017-03-06,.7,-1.8,710,4.5,1435,0,7.3,2,284.1
404,2017-03-07,-.9,-3.2,704,2.4,1542,0,6.7,2.2,286.9
404,2017-03-08,.6,-3.3,125,4.8,1435,0,9.2,2.4,300.9
404,2017-03-09,4.1,-.6,134,9.7,1502,0,9.4,2.4,270
404,2017-03-10,5.5,.7,454,11.5,1418,0,6.5,1.5,278.4
404,2017-03-11,7.8,3.1,657,15.6,1442,0,6.2,1.3,272.8
404,2017-03-12,8.5,6,2351,13.1,1405,0,7,1.5,270
404,2017-03-13,6.5,2.2,617,12.1,1434,0,4.2,1.2,292.5
404,2017-03-14,6,2,658,10.9,1402,0,6.2,1.5,326.3
404,2017-03-15,6.1,1.5,629,12,1345,0,5.8,1.2,292.5
404,2017-03-16,6.7,2.3,705,12.7,1532,0,7.1,1.4,244.7
404,2017-03-17,7.9,2.8,511,15.8,1508,0,7.2,1.2,241.9
404,2017-03-18,9.9,6.7,703,14.9,1415,0,7.1,1.6,306.6
404,2017-03-19,10.9,4.3,615,18,1611,0,4,.8,140.6
404,2017-03-20,10.8,7.9,2356,15.1,1509,0,4.7,1.3,289.7
404,2017-03-21,7.9,4.6,727,13.3,1613,0,5.5,1.5,261.6
404,2017-03-22,8.4,4,639,13.1,1254,0,6.3,1.3,264.4
404,2017-03-23,9.2,5.6,540,14.7,1359,0,6.6,1.3,275.6
404,2017-03-24,8.9,5.5,414,13.8,1437,0,5.2,1.3,261.6
404,2017-03-25,8,5.9,0,12.1,1355,0,6.8,1.8,292.5
404,2017-03-26,7.1,4.8,638,10.6,1155,0,7,1.8,202.5
404,2017-03-27,7,5.3,640,10.5,1411,0,9.7,1.7,247.5
404,2017-03-28,7.7,4.4,424,12.5,1512,0,5.3,1.6,303.8
404,2017-03-29,8.5,4.7,508,14.3,1329,0,5.1,1.3,264.4
404,2017-03-30,10.4,4.6,625,17.1,1509,0,5.9,1.1,284.1
404,2017-03-31,9.4,6.7,2331,12.7,1110,.5,6.1,1.5,101.3
404,2017-04-01,8.9,4.4,635,14.1,1434,.5,7.8,1.6,306.6
404,2017-04-02,9.6,4.8,600,15.1,1515,0,7,1.6,267.2
404,2017-04-03,11.4,5.9,604,17.2,1342,0,6.5,1.7,270
404,2017-04-04,14.3,9.4,615,20.5,1354,0,5.8,1.4,261.6
404,2017-04-05,12.5,10.9,1619,14.7,1212,30.5,10.1,2.9,126.6
404,2017-04-06,10.5,9.3,828,12.6,2,2,5.6,1.7,281.3
404,2017-04-07,13.9,9.2,623,21.7,1442,0,5.2,1.2,120.9
404,2017-04-08,11.8,7.5,626,18.5,1448,.5,4.9,1.3,278.4
404,2017-04-09,14.6,10.3,614,19.3,1432,.5,8.5,2.4,104.1
404,2017-04-10,16.1,11.7,617,22.4,1559,0,10.2,3.2,109.7
404,2017-04-11,14.7,11.9,711,18.8,1429,0,7.6,1.9,295.3
404,2017-04-12,11.5,9.1,634,15.5,1419,0,9.9,2.5,239.1
404,2017-04-13,12.7,7.4,637,17.9,1219,0,7.2,1.9,233.4
404,2017-04-14,13.4,11.5,1317,17.3,1022,5.5,9.7,2.7,267.2
404,2017-04-15,16.3,11.1,139,23.3,1402,0,7.4,1.8,270
404,2017-04-16,18.4,13,538,23,1416,0,4.9,1,258.8
404,2017-04-17,14.5,11.8,2233,18.8,28,6,4.7,.7,230.6
404,2017-04-18,12.2,10.3,2249,16.9,1111,3,9.3,2.7,132.2
404,2017-04-19,13,9.2,500,17.1,1502,0,7.1,2.5,278.4
404,2017-04-20,12.9,9.9,548,18.4,1328,0,6,1.5,247.5
404,2017-04-21,13,9.1,605,18.1,1304,0,5.7,1.4,270
404,2017-04-22,14.8,8.8,616,22,1509,0,7.4,1.7,298.1
404,2017-04-23,15,9.9,543,20.5,1502,0,8,2.1,270
404,2017-04-24,15.5,11.2,553,20,1322,0,8.1,2.6,33.8
404,2017-04-25,15.5,13.6,2243,19.4,1415,0,7.1,1.8,264.4
404,2017-04-26,14.9,11.1,606,20.6,1409,0,9.7,1.9,306.6
404,2017-04-27,13.6,9.9,356,19.1,1135,0,10.7,2.4,241.9
404,2017-04-28,14.1,10.4,303,19.2,1149,0,9.2,2.9,267.2
404,2017-04-29,16.8,10.9,529,22.7,1609,0,7.2,2.3,275.6
404,2017-04-30,18.6,14.7,2356,26,1253,0,6.6,2.2,149.1
404,2017-05-01,19.5,13.3,610,27.7,1522,0,5.7,1.5,123.8
404,2017-05-02,19.8,14.7,649,26.6,1346,0,4.8,1.3,298.1
404,2017-05-03,21.1,14.6,610,29.2,1400,0,7,1.4,267.2
404,2017-05-04,21.3,17.2,231,26.2,1428,0,6.4,1.4,275.6
