지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
409,1999-01-01,-1.1,-6.9,841,2.9,1543,0,10.1,1,246.9
409,1999-01-02,2.8,.3,733,6.8,1419,0,5.1,1,275.1
409,1999-01-03,2,-2.7,657,8.4,1539,0,3.9,.9,292.4
409,1999-01-04,2.5,-3.2,744,9.3,1447,0,3.2,.7,37.9
409,1999-01-05,3.3,-2.5,721,8.2,1523,0,3.4,.7,261
409,1999-01-06,3.5,.2,2355,5.8,1034,1,7.2,1.1,311.5
409,1999-01-07,-5.3,-8.1,2359,.2,1,0,11,2.7,261.9
409,1999-01-08,-8.5,-10.4,741,-5.1,1432,0,9.4,2.6,274.1
409,1999-01-09,-8.6,-11.6,807,-5,1500,0,9.5,2.4,256.3
409,1999-01-10,-6.1,-10.1,751,-1.6,1534,0,10.1,2.3,253
409,1999-01-11,-5.5,-9,719,-2,1505,0,7.9,1.7,273.2
409,1999-01-12,-5.1,-9.4,650,-1.2,1511,0,6.5,1.7,284.9
409,1999-01-13,-3.2,-7.7,825,.9,1530,0,7.7,1.7,268.5
409,1999-01-14,-2.7,-5.4,757,-.5,1424,0,6,1.4,294.8
409,1999-01-15,-1.8,-5.4,744,1.7,1439,0,8.1,1.7,283
409,1999-01-16,-1.2,-5.4,807,3.7,1434,0,6.2,1.3,265.7
409,1999-01-17,-.9,-6.5,836,4.4,1441,0,4.9,1.2,281.1
409,1999-01-18,2,-2.6,607,7.3,1541,0,4.6,1.3,136.3
409,1999-01-19,3.1,-.7,2351,6.8,1304,0,6.6,1.5,278.8
409,1999-01-20,-2,-4.4,718,1.8,1417,0,8.3,2,322.4
409,1999-01-21,-.4,-7.2,702,4.1,1401,0,8.2,1.6,292
409,1999-01-22,5.5,2.4,21,7.7,1852,0,6.4,1.8,203.3
409,1999-01-23,6.7,4.7,645,8.8,1342,0,6.3,1.5,42.6
409,1999-01-24,7.4,2.6,755,12.9,1448,0,5.1,1.3,68.8
409,1999-01-25,5.3,2.1,2341,7.2,1451,3,10.3,3,275.1
409,1999-01-26,4.1,-1.7,755,8.2,1509,0,8.5,2,266.6
409,1999-01-27,4.2,-2.1,2345,8.3,1323,.5,12,2.5,244.1
409,1999-01-28,-1.5,-4.3,746,1.7,1443,0,7.2,1.9,258.2
409,1999-01-29,-4.8,-7.2,2353,-2.2,1,1.5,10,2.2,270.9
409,1999-01-30,-5.2,-10.4,738,.4,1519,0,5.7,1.3,268
409,1999-01-31,-.6,-5.9,616,3.7,1614,0,4.7,1,100.7
409,1999-02-01,2.9,.5,2357,7.2,1450,0,6.6,1.3,251.6
409,1999-02-02,-3,-8.2,2357,.7,2,0,13,2.8,261
409,1999-02-03,-7.1,-11.3,725,-2.6,1636,0,8.4,1.9,308.4
409,1999-02-04,-4.4,-9.4,549,.3,1604,0,8.9,1.8,282.1
409,1999-02-05,-.8,-5.8,433,4,1534,0,8.4,1.7,287.2
409,1999-02-06,.1,-4.7,738,5,1509,0,6.6,1.4,266.6
409,1999-02-07,2.6,-2.3,426,7.8,1612,0,4.1,1,265.2
409,1999-02-08,4.8,1.7,6,9.7,1506,0,5,1.1,266.6
409,1999-02-09,2.7,-.5,911,6.8,1658,0,5.7,1.8,257.7
409,1999-02-10,1.8,-1.3,803,5.6,1340,0,5.9,1.7,259.6
409,1999-02-11,.7,-2.2,709,4.9,1324,0,9.8,2.1,283.5
409,1999-02-12,-4,-6.5,804,-.9,1503,0,11.6,2.6,354.7
409,1999-02-13,-3.6,-8.1,746,.8,1525,0,8.5,1.7,265.2
409,1999-02-14,-1.7,-4.6,558,1,2301,0,6.1,1.1,125.1
409,1999-02-15,3.6,.6,9,7.7,1620,0,4.9,.9,270.4
409,1999-02-16,4.6,-.2,507,9.9,1605,0,6.4,1.2,231
409,1999-02-17,7.7,4.5,55,9.6,1609,0,7.7,2,251.6
409,1999-02-18,3.9,-1.7,2352,8.4,1246,0,9.5,2.4,276.5
409,1999-02-19,-.9,-3.8,725,2.3,1457,0,11.1,2.8,272.3
409,1999-02-20,-1.9,-4.3,2354,1.1,1611,0,11.6,2.7,273.7
409,1999-02-21,-.9,-5,434,3.8,1619,0,8.7,2.3,289.6
409,1999-02-22,2.7,-2.2,459,7.5,1527,0,9.5,1.8,282.1
409,1999-02-23,4.5,-.9,612,9.2,1643,0,4.2,1.1,75.4
409,1999-02-24,5.6,2.8,705,8.1,1404,.5,7.7,1.6,191.2
409,1999-02-25,6,1.7,654,9.6,1507,0,6.3,1,282.1
409,1999-02-26,5.7,3.5,524,9.6,1625,0,6.8,1.6,261
409,1999-02-27,-1.2,-3.5,2251,4.6,1,0,9.9,3.1,269.9
409,1999-02-28,.4,-6,707,5.1,1505,0,9.4,2.1,267.1
409,1999-03-01,5.6,1.8,3,8.4,1642,0,8,2.2,262.9
409,1999-03-02,6.7,2.2,816,12,1520,0,7,1.5,269.5
409,1999-03-03,7.9,2.2,632,13.7,1609,0,7.5,1.5,301.8
409,1999-03-04,11.3,3.4,649,18.5,1517,0,5.2,.8,231
409,1999-03-05,7.2,1.3,2356,11.8,320,5,10.4,2.8,287.2
409,1999-03-06,5.2,-.6,511,10.4,1501,0,5.3,1.7,267.6
409,1999-03-07,5.8,2.5,733,10.9,1612,0,7,1.9,22.9
409,1999-03-08,3.4,1.4,420,6.3,1554,0,6.2,1.7,288.2
409,1999-03-09,3.6,0,717,8.2,1551,0,5,1.3,263.8
409,1999-03-10,4.6,2.1,640,8.7,1322,0,6.3,1.4,14.9
409,1999-03-11,3.2,-1.3,722,8.7,1544,0,10.8,1.9,277.9
409,1999-03-12,6.1,-.4,625,11.8,1620,0,5.2,1.3,264.7
409,1999-03-13,9.7,1.8,709,16.9,1530,0,4.5,.9,266.6
409,1999-03-14,10.8,7,718,14.8,1547,0,9.4,1.6,114.8
409,1999-03-15,9.4,7.2,716,13.4,1558,0,11.3,3.1,128.3
409,1999-03-16,10,3.5,703,17.2,1456,0,6.5,1.6,263.8
409,1999-03-17,11.7,6.8,528,16.9,1433,0,6.7,1.3,249.8
409,1999-03-18,11.2,9.9,2322,14.1,1141,38,8.9,2.2,45.8
409,1999-03-19,6.5,3.3,2210,10.5,32,.5,15.3,4.4,76.3
409,1999-03-20,6.8,2.9,529,11.7,1553,0,7.9,2.2,207.6
409,1999-03-21,2,-2.3,2339,7,3,2,11.7,3.1,261.8
409,1999-03-22,-.1,-4.9,636,4.8,1638,0,7.9,2.4,356.6
409,1999-03-23,4,-2.5,646,9.9,1535,0,6.4,1.4,269.5
409,1999-03-24,5.6,0,555,11,1642,0,5.4,1.3,134
409,1999-03-25,9.9,2.1,612,16.4,1543,0,4.7,1.1,291.9
409,1999-03-26,9,6.5,2358,11.8,4,4.5,11.4,1.8,76.8
409,1999-03-27,9,4.8,631,14.4,1401,0,9.2,2.2,310.2
409,1999-03-28,4.8,1.3,0,8.9,1401,0,11.4,2.6,285.4
409,1999-03-29,4.2,-1.2,702,8.5,1441,0,6,1.3,7.6
409,1999-03-30,8.6,1.6,639,15.9,1550,0,6.9,1.5,258.6
409,1999-03-31,10.8,4,622,16.1,1404,0,6.5,1.1,269.5
409,1999-04-01,10,8.2,1514,13.4,1123,10,5.6,1.1,200
409,1999-04-02,9.7,5.6,2359,14.6,1545,0,10.9,2.4,293.8
409,1999-04-03,7.3,3.4,709,11.8,1339,0,8.3,1.9,268.5
409,1999-04-04,8.5,2.2,520,14.1,1345,0,12.5,2.7,271.3
