지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
423,2015-01-01,-7.1,-8.9,720,-3.9,1429,0,,0,11.1,24,3,309.4
423,2015-01-02,-5.4,-8.7,642,-1.1,1452,0,,0,11.8,1211,2,337.5
423,2015-01-03,-2.6,-9.7,726,2.6,1527,0,,0,6.4,1559,1.4,202.5
423,2015-01-04,2.9,.4,2252,7.4,1546,0,,0,5.1,658,1.2,120.9
423,2015-01-05,4,-1.3,320,9.3,1452,.5,2400,.5,7,1223,1.7,115.3
423,2015-01-06,-2.8,-6.7,2316,3.2,5,1,100,2,12,1326,3.6,317.8
423,2015-01-07,-5.1,-7.4,723,-1.6,1523,0,,0,10.6,1009,2.9,340.3
423,2015-01-08,-4.9,-9,723,0,1520,0,,0,6.2,1637,1.3,225
423,2015-01-09,-2.1,-7.4,741,3.1,1453,0,,0,6.6,1455,1.1,247.5
423,2015-01-10,-.5,-6.2,547,5.1,1458,0,,0,9,1422,1.5,230.6
423,2015-01-11,0,-3.4,2359,2.8,549,0,,0,8.8,2106,3,340.3
423,2015-01-12,-2.9,-7.2,643,2.4,1354,0,,0,6.5,1419,1.6,227.8
423,2015-01-13,0,-5.9,401,5.7,1501,0,,0,4.8,1136,1.2,92.8
423,2015-01-14,1.9,-.8,452,4.5,1242,0,,0,4.7,1557,1.5,337.5
423,2015-01-15,2,-1.7,546,8.2,1504,0,,0,6.8,1604,1.5,216.6
423,2015-01-16,1,-2,2255,3.9,1211,0,,0,11.3,1144,2.6,239.1
423,2015-01-17,-3.5,-6.8,730,-.2,1558,0,,0,9.5,159,2.5,284.1
423,2015-01-18,-1,-6.7,430,3,1314,1.5,2000,4,12.3,2335,2,286.9
423,2015-01-19,.5,-3.7,2351,3.9,1242,.5,200,.5,12,30,2.4,236.3
423,2015-01-20,-1.4,-6.7,744,3.7,1454,0,,0,4.8,1724,1.4,326.3
423,2015-01-21,1.9,-2.7,705,6.2,1529,0,,0,5.7,1754,1.4,331.9
423,2015-01-22,2.6,.2,536,7.2,1448,0,,0,5.6,1503,1.7,45
423,2015-01-23,1,-2.6,751,5.1,1440,0,,0,7.8,1516,1.5,222.2
423,2015-01-24,3.4,1,333,7.8,1424,0,,0,7.2,1508,1.1,205.3
423,2015-01-25,3.5,.8,414,5.7,1233,1,1600,5,7.1,1031,2,64.7
423,2015-01-26,3.5,.9,2139,7,1628,.5,300,.5,8.1,1858,2.2,312.2
423,2015-01-27,-3.6,-6.7,2350,1.2,16,0,,0,8.4,327,3.4,343.1
423,2015-01-28,-4.4,-8.7,637,.9,1546,0,,0,6.3,457,1.9,326.3
423,2015-01-29,-1.2,-4.7,122,3.1,1356,0,,0,6.7,1557,1.7,337.5
423,2015-01-30,-2.7,-6.1,2348,1,1323,0,,0,10.4,1125,2.5,331.9
423,2015-01-31,-4.3,-7.7,735,-.7,1524,0,,0,7.7,1432,1.8,343.1
423,2015-02-01,-3.1,-8.3,720,2.9,1557,0,,0,5.2,1409,1.1,331.9
423,2015-02-02,-1.2,-5.4,603,4.7,1629,0,,0,4.5,1406,1.3,323.4
423,2015-02-03,.1,-4.6,557,6.1,1406,0,,0,7,1422,.9,205.3
423,2015-02-04,.5,-3.7,752,5.6,1402,0,,0,7.3,2310,1.2,334.7
423,2015-02-05,.3,-3.8,743,5,1449,0,,0,7.2,1519,1.7,216.6
423,2015-02-06,.2,-4.8,630,5.4,1345,0,,0,8,1355,1.4,205.3
423,2015-02-07,1.1,-2.8,2358,5.7,1302,0,,0,8.5,2247,1.9,309.4
423,2015-02-08,-9,-11.3,800,-2.8,1,0,,0,11.1,639,3.8,329.1
423,2015-02-09,-4.6,-11.5,651,.4,2016,.5,1700,.5,11.1,1704,2.6,225
423,2015-02-10,2.2,-1.7,712,6.4,1513,0,,0,10.7,1440,2.6,171.6
423,2015-02-11,2.6,-.6,633,7.2,1543,0,,0,6.7,1555,1.5,239.1
423,2015-02-12,-1.3,-3.4,712,2.5,1416,0,,0,12.1,1516,2.5,329.1
423,2015-02-13,-.5,-5.8,635,3.6,1405,0,,0,8.8,1447,2.3,329.1
423,2015-02-14,2.4,-2.7,414,7.2,1558,0,,0,9.2,1624,1.9,216.6
423,2015-02-15,8.2,1.7,28,11.9,1451,0,,0,7.9,1312,2.5,104.1
423,2015-02-16,5.6,4.1,2356,8.9,1,1,1300,9.5,8.8,345,2.8,70.3
423,2015-02-17,2.5,1.2,2335,4.1,2,0,,0,9.4,259,2.3,210.9
423,2015-02-18,1.7,-.2,2318,3.4,1208,0,,0,8.1,1423,1.7,329.1
423,2015-02-19,2,-2.7,727,7.7,1521,0,,0,5.7,1518,1.3,317.8
423,2015-02-20,5.3,-1.5,438,10.1,1445,0,,0,7.2,1355,1.4,227.8
423,2015-02-21,6.6,5.5,1237,7.6,510,2,1300,7.5,8.8,1353,2.5,81.6
423,2015-02-22,4,.5,2347,7.5,406,1,200,2.5,11.1,1333,2.9,191.3
423,2015-02-23,1.2,-1.7,650,5.6,1444,0,,0,7.5,1523,1.6,225
423,2015-02-24,2.2,-1.4,519,7.1,1504,0,,0,6.9,1330,1,205.3
423,2015-02-25,5.6,.4,723,12.3,1419,.5,2400,.5,10.1,1422,2.2,205.3
423,2015-02-26,1.4,-2.7,2356,4.9,217,.5,100,.5,11.8,1218,3.4,230.6
423,2015-02-27,-1.3,-4.9,705,2.7,1558,0,,0,9.7,930,2.8,345.9
423,2015-02-28,3.1,-2.2,232,6.8,1522,0,,0,7.8,1409,1.7,202.5
423,2015-03-01,3,1.1,639,5.7,1405,0,,0,11.6,1411,2.6,286.9
423,2015-03-02,3.8,-2.2,518,8.9,1519,0,,0,9.7,1412,2.2,208.1
423,2015-03-03,2.9,-1.3,2400,7.4,1230,2,1600,5.5,11.7,2228,3.1,272.8
423,2015-03-04,-1.4,-3.8,553,2.5,1329,0,,0,12.5,1339,3.5,317.8
423,2015-03-05,-.4,-5.3,605,4.3,1520,0,,0,6.2,1556,1.4,0
423,2015-03-06,2.7,-3.5,540,9,1459,0,,0,7.8,1502,1.4,205.3
423,2015-03-07,3.5,-3.1,605,10.1,1505,0,,0,7.3,1536,1.2,11.3
423,2015-03-08,7.4,0,450,14.9,1514,0,,0,7.8,1558,1.5,320.6
