지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
408,2014-01-01,4.9,1.2,700,8.3,1244,0,,0,4.6,1848,.2,236.3
408,2014-01-02,2.8,.4,2354,6.3,1524,0,,0,1.5,2352,.1,78.8
408,2014-01-03,3,-.8,630,7.2,1324,0,,0,2.1,1054,.1,64.7
408,2014-01-04,1.5,-1.4,809,5.5,1536,0,,0,1.7,1058,.1,64.7
408,2014-01-05,.6,-2.1,740,4.3,1350,0,,0,1.4,1031,0,191.3
408,2014-01-06,1.5,-3.3,746,5.9,1453,0,,0,2.2,616,.1,98.4
408,2014-01-07,3.5,.9,321,6,1423,0,,0,1.2,741,0,28.1
408,2014-01-08,1.4,-4.3,2348,4.5,1300,0,,0,5.1,1423,.2,25.3
408,2014-01-09,-6,-8.6,819,-3.1,1456,0,,0,3.6,1707,.3,334.7
408,2014-01-10,-3.6,-7.7,552,-.5,1347,0,,0,1.7,1330,.1,25.3
408,2014-01-11,-.8,-5.1,718,3.2,1434,0,,0,2.3,1311,.1,334.7
408,2014-01-12,-1.3,-6.2,2351,2.9,1331,0,,0,3.5,1548,.2,351.6
408,2014-01-13,-4.6,-8.5,742,-.8,1408,0,100,0,2.6,1548,.2,56.3
408,2014-01-14,-3.2,-7.7,805,1.8,1517,0,,0,1.6,737,.1,95.6
408,2014-01-15,-1.9,-6.2,704,2.5,1432,0,,0,7.3,1441,.8,25.3
408,2014-01-16,.2,-3,235,3,1515,0,,0,3.5,1158,.7,253.1
408,2014-01-17,.6,-3.1,739,3.9,1515,0,,0,4.7,1850,1,14.1
408,2014-01-18,-.6,-3.1,2400,2,1332,0,,0,10.2,1442,2.6,334.7
408,2014-01-19,-1.5,-6,744,1.8,1407,0,,0,5.4,1656,1.1,258.8
408,2014-01-20,-1.1,-3.2,2400,2.1,1317,1,400,5.5,8.8,1851,1.6,14.1
408,2014-01-21,-4.2,-6,707,-2.2,1633,0,100,0,7.4,58,1.9,11.3
408,2014-01-22,-3,-8.1,557,1.6,1542,0,,0,4.4,1425,.9,0
408,2014-01-23,-.4,-4.9,733,4.1,1618,0,,0,3.9,1643,.9,292.5
408,2014-01-24,3,-.7,232,5.9,1550,0,,0,3.7,231,1,140.6
408,2014-01-25,4.5,.4,2345,6.2,1013,1,1200,3.5,6.5,1817,1.2,331.9
408,2014-01-26,-.6,-3.8,807,2.6,1515,0,,0,6.3,451,1.6,28.1
408,2014-01-27,.9,-4.8,739,6,1509,0,,0,6.9,1531,1.1,250.3
408,2014-01-28,2.3,-1.1,2356,6.4,1255,.5,300,1,8,1442,1.6,286.9
408,2014-01-29,2.6,-4.5,730,8.1,1623,0,,0,4.3,1944,.9,188.4
408,2014-01-30,4.3,.3,2356,6.6,143,2,1200,4,8.4,1733,1.4,19.7
408,2014-01-31,1.7,-2.9,733,6,1509,0,,0,7.3,41,1,354.4
408,2014-02-01,4.3,3.2,1,5.6,1102,3,1700,8.5,5.7,2023,1.7,81.6
