지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
418,2015-01-01,-6.7,-8.5,823,-4.5,1548,0,,0,14,14,5.7,348.8
418,2015-01-02,-4.8,-7.3,1,-1.9,1438,0,,0,10.2,1348,3.3,337.5
418,2015-01-03,-1.4,-7,452,2.7,1543,0,,0,5.8,2002,1.6,270
418,2015-01-04,3,1.2,610,7.3,1614,0,,0,5.3,646,1.6,90
418,2015-01-05,4.2,.6,407,8.6,1417,0,,0,6.5,1239,1.9,109.7
418,2015-01-06,-2.5,-6,2242,3.8,2,1,100,2,11.3,743,5,345.9
418,2015-01-07,-4.4,-6.6,655,-1.7,1446,0,,0,8.4,543,3.5,329.1
418,2015-01-08,-3.8,-6.9,725,-.4,1603,0,,0,6.6,1719,2.4,329.1
418,2015-01-09,-.8,-4.7,651,3.2,1629,0,,0,6.1,1523,1.9,320.6
418,2015-01-10,1.1,-3.7,507,5.2,1443,0,,0,8.4,1455,1.8,275.6
418,2015-01-11,.4,-2.8,2400,3.2,544,0,,0,10.7,757,3.9,348.8
418,2015-01-12,-1.7,-5.8,654,2.1,1320,0,,0,5.6,31,2.2,340.3
418,2015-01-13,.9,-3.6,227,6.4,1551,0,,0,4.6,529,1.5,146.3
418,2015-01-14,2.9,-.1,458,5.4,1259,0,,0,4.2,1449,1.3,348.8
418,2015-01-15,2.8,-.9,646,7.4,1457,0,,0,5.7,658,2,337.5
418,2015-01-16,1.9,-1.3,2246,4.3,1221,0,,0,10.1,2223,2.9,340.3
418,2015-01-17,-2.9,-6.1,730,0,1620,0,,0,10.2,130,4.2,329.1
418,2015-01-18,-.1,-4.4,409,3,1551,1.5,2100,3,8.6,2344,1.9,261.6
418,2015-01-19,1,-2.5,2354,4.1,1310,.5,200,.5,8.6,1415,3.1,348.8
418,2015-01-20,0,-4.6,721,4.2,1645,0,,0,4.6,2231,1.6,154.7
418,2015-01-21,3,-.8,605,6.9,1657,0,,0,5.1,2026,1.9,348.8
418,2015-01-22,3.4,1.1,622,8.4,1435,0,,0,5.5,1642,2.1,337.5
418,2015-01-23,2.5,-.3,642,5.4,1539,0,,0,7.2,1635,1.6,264.4
418,2015-01-24,4.7,2.5,423,8.9,1519,0,,0,6.2,1334,1.3,272.8
418,2015-01-25,3.9,2.5,138,5.5,1328,.5,1800,2,7,1104,2.8,149.1
418,2015-01-26,3.9,1.4,2155,7.2,1546,0,,0,9,1859,2.7,323.4
418,2015-01-27,-3.1,-5.8,2259,1.6,1,0,,0,8.8,12,4.2,320.6
418,2015-01-28,-3.3,-7.5,626,1.1,1603,0,,0,7,432,2.3,348.8
418,2015-01-29,-.2,-3.2,359,3.6,1416,0,,0,6.4,1559,2.5,326.3
418,2015-01-30,-2.4,-5.5,2332,.2,1529,0,,0,9.8,1434,3.9,334.7
418,2015-01-31,-3.6,-6.7,801,-.2,1556,0,,0,6,534,2.7,334.7
418,2015-02-01,-2,-5.7,511,2.1,1620,0,,0,6.4,1617,2.3,343.1
418,2015-02-02,0,-3.7,545,4.9,1643,0,,0,4.6,1831,1.3,337.5
418,2015-02-03,1.4,-2.4,531,6.9,1528,0,,0,5.5,1638,1.6,348.8
418,2015-02-04,1.8,-1.9,715,5.2,1529,0,,0,7.2,2255,2,14.1
418,2015-02-05,.7,-2.1,716,4.3,1617,0,,0,7.8,1648,2.6,300.9
418,2015-02-06,1.4,-2.5,550,6,1552,0,,0,6.7,1432,1.9,292.5
418,2015-02-07,2.4,-2.1,2400,6.6,1307,0,,0,10.7,2346,2.3,343.1
418,2015-02-08,-8.7,-10.9,848,-2.1,1,0,,0,14.2,406,6.3,351.6
418,2015-02-09,-4.2,-10.8,555,.8,2029,0,,0,8.7,1343,2.8,315
418,2015-02-10,3.2,-.1,21,6.2,1342,0,,0,9.9,1429,2.1,281.3
418,2015-02-11,3.1,.3,2356,6.6,1618,0,,0,7.4,2312,2.3,334.7
418,2015-02-12,-1.2,-2.8,652,1.5,1536,0,,0,11.6,1903,4.8,334.7
418,2015-02-13,-.3,-4.3,636,3.2,1452,0,,0,8.4,1256,2.7,340.3
418,2015-02-14,3.5,-.8,529,7.8,1553,0,,0,5.9,1754,1.6,275.6
418,2015-02-15,8.2,3.5,3,11.8,1645,0,,0,6.3,2242,2.5,95.6
418,2015-02-16,5.9,4.8,2359,9.2,9,1,1700,8,7.9,1144,3.2,132.2
418,2015-02-17,2.8,1.5,2400,4.9,1,0,,0,7.1,644,3,320.6
418,2015-02-18,1.9,.3,527,3.8,1312,0,,0,6.6,1423,2.7,340.3
418,2015-02-19,3.2,-1.2,714,8,1323,0,,0,5.4,1749,1.5,281.3
418,2015-02-20,5.8,.7,329,10.2,1651,0,,0,4.6,1052,1.6,118.1
418,2015-02-21,6.7,5.5,1329,8.1,19,1.5,1300,5,8.1,1928,3.2,137.8
418,2015-02-22,4.4,.7,2358,7.5,201,1,200,2,10.4,1229,2.7,275.6
418,2015-02-23,1.8,-.6,525,5.5,1548,0,,0,7.1,1624,2.6,334.7
418,2015-02-24,3,1.1,327,6.2,1711,0,,0,5.2,1629,2,14.1
418,2015-02-25,6.2,1.6,407,12.5,1441,0,,0,8.5,1849,2.1,345.9
418,2015-02-26,2,-2.2,2229,5.7,117,1,100,1,11.4,1048,4,272.8
418,2015-02-27,-.7,-4.3,721,3.4,1608,0,,0,12.7,1610,3.7,33.8
418,2015-02-28,3.8,.4,1,7.1,1602,0,,0,6,1322,2.1,123.8
418,2015-03-01,3.3,1.5,738,6.4,1334,0,,0,9.6,1151,3.2,306.6
418,2015-03-02,5,.6,355,9.4,1610,0,,0,8.3,1645,1.8,258.8
418,2015-03-03,3.5,-.2,2340,7.3,1236,1.5,1600,4.5,11.1,2232,2.8,348.8
418,2015-03-04,-1.2,-3.1,527,.9,1245,0,,0,12.9,1434,5.2,351.6
418,2015-03-05,.6,-3,653,4.2,1621,0,,0,5.7,1814,2.2,329.1
418,2015-03-06,3.5,-.5,227,10.1,1523,0,,0,5.8,1620,1.9,272.8
418,2015-03-07,4.7,-.1,532,9.9,1619,0,,0,6.5,1535,2.2,348.8
418,2015-03-08,8,1.4,520,14.1,1526,0,,0,7.4,1659,1.8,334.7
