지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
423,2023-01-01,.2,-3.8,2357,4.5,1347,0,10.6,1443,2.3,334.7
423,2023-01-02,-3.9,-7.3,749,0,1347,0,7.1,1358,1.7,64.7
423,2023-01-03,-4.2,-9.2,804,1.6,1433,0,6.6,1626,1.3,64.7
423,2023-01-04,-1.3,-6.5,220,4.5,1418,0,6.7,1328,.9,109.7
423,2023-01-05,-1.9,-5.7,650,3.3,1602,0,3.5,1336,.7,329.1
423,2023-01-06,1.2,-4.4,544,5.5,1251,4.5,8.9,2131,1.8,109.7
423,2023-01-07,2,-1.6,0,5,1355,0,6.2,1357,1.8,275.6
423,2023-01-08,2.1,-3.9,809,6.8,1357,0,5.5,1233,1.2,109.7
423,2023-01-09,3.1,-1.5,2359,7.4,1353,0,9.2,1203,2.4,64.7
423,2023-01-10,1.6,-3.6,538,8.2,1507,0,4.4,1301,1.3,300.9
423,2023-01-11,2.4,-2.8,611,9.8,1403,0,4.3,1353,.8,109.7
423,2023-01-12,6.4,-.8,403,14.4,1507,0,5.6,2253,1.4,101.3
423,2023-01-13,8,5,302,10.6,1431,32.5,8.6,717,2.1,118.1
423,2023-01-14,6.5,4.5,2315,7.7,1,2.5,8.6,1412,2.2,78.8
423,2023-01-15,-.1,-3.3,2349,4.5,1,2.5,7.1,356,2.2,340.3
423,2023-01-16,-4,-6.3,808,-.7,1439,0,6.7,1316,2.1,50.6
423,2023-01-17,-2.8,-6.2,330,0,1419,0,4.3,1425,1.1,289.7
423,2023-01-18,-1.7,-4.6,801,3.2,1524,0,6.4,1351,1.6,326.3
423,2023-01-19,.2,-5.9,525,4.5,1416,2,10.7,1328,2.2,244.7
423,2023-01-20,-2.5,-7.1,2356,3.4,147,0,11.8,1104,3.2,329.1
423,2023-01-21,-3.5,-9.7,758,1.7,1445,0,5.1,1119,1.2,73.1
423,2023-01-22,.3,-2.1,29,3.9,1543,0,7.2,441,2.1,84.4
423,2023-01-23,-.2,-6.5,2356,6.2,1238,0,10.7,1650,2.4,317.8
423,2023-01-24,-13.7,-15.9,2226,-6.5,2,0,13.7,1056,4.4,331.9
423,2023-01-25,-10.1,-16.3,749,-4.6,1501,0,6.2,112,1.7,326.3
423,2023-01-26,-5,-7.7,1,-2.8,1632,0,5,258,1.7,137.8
423,2023-01-27,-6.5,-8.8,642,-3.2,1450,0,13.8,1311,2.9,315
423,2023-01-28,-5.1,-10.9,754,-.1,1444,0,8.6,1738,2,300.9
423,2023-01-29,-1.3,-8.5,705,5.3,1426,0,13.2,1522,2.2,106.9
423,2023-01-30,-.5,-5.3,718,4.9,1411,0,7.9,1342,1.5,244.7
423,2023-01-31,3.1,-4.1,657,8.7,1521,0,11.9,1614,2.2,106.9
423,2023-02-01,1,-2.3,2346,6.1,1,0,11.1,1122,2.7,326.3
423,2023-02-02,-2.2,-5,725,1.1,1515,0,7.4,408,2.1,326.3
423,2023-02-03,-1.1,-3.7,123,4.4,1441,0,6,1631,1.7,120.9
423,2023-02-04,-.1,-5.3,615,6.2,1447,0,7.3,1324,1.4,61.9
423,2023-02-05,1,-3.9,555,7.1,1346,0,7.2,1551,1.1,233.4
423,2023-02-06,2.6,-2.6,712,8.8,1417,0,6.1,1625,1.3,320.6
423,2023-02-07,2.6,-1.4,723,8.5,1607,0,5.6,1210,1.3,323.4
423,2023-02-08,2.3,-2.5,741,8.5,1450,0,7.7,1243,1.7,298.1
423,2023-02-09,4.6,-2.9,408,10.4,1335,0,8.5,2231,2.4,135
423,2023-02-10,4.2,1.1,2353,6.5,1653,.5,7.9,1430,1.8,331.9
423,2023-02-11,2.7,-1.7,512,8.4,1621,0,4.8,1704,1.1,118.1
423,2023-02-12,3.4,-1.4,450,8.2,1351,0,8.4,1412,1.7,73.1
423,2023-02-13,5.3,1.6,2350,9.1,1518,0,7.1,1003,2.4,45
423,2023-02-14,1.7,-2.3,732,6.1,1427,0,8,1110,2.6,343.1
423,2023-02-15,4,-.2,623,9.3,1426,0,8.8,158,2.6,70.3
423,2023-02-16,2.2,-1.1,2343,5.1,1540,0,9.5,1554,2.1,253.1
423,2023-02-17,3.7,-1.6,355,10.5,1404,0,4.7,1420,1,253.1
423,2023-02-18,5.2,2.7,1,8.1,1605,0,4.5,1137,1.3,323.4
423,2023-02-19,4.1,1.5,2302,7.2,1332,0,13.4,1545,2.6,8.4
423,2023-02-20,.5,-2.8,2356,3.8,1411,0,13.1,1150,2.9,64.7
423,2023-02-21,-1,-5.2,726,4.1,1549,0,6.9,942,1.9,45
423,2023-02-22,1.2,-5.2,648,7.8,1426,0,6.6,1418,1.3,120.9
423,2023-02-23,3.3,-2.2,710,9.8,1457,0,7.1,1544,1.3,118.1
423,2023-02-24,3.5,.1,2342,9.2,1323,0,9.7,1450,2.3,109.7
423,2023-02-25,1,-2.4,718,5.4,1520,0,9.3,1629,2.4,64.7
423,2023-02-26,2.5,-3.9,708,8.8,1529,0,6.8,1452,1.4,312.2
423,2023-02-27,4.2,-2.3,643,11.9,1431,0,6.8,1533,1.1,120.9
423,2023-02-28,3.8,-2.1,657,8.1,1618,0,8,1245,1.3,120.9
423,2023-03-01,6.3,3.4,2357,9.4,1507,0,11.7,1623,2.3,300.9
423,2023-03-02,2.8,-.2,715,6.7,1355,0,9.4,954,2.5,298.1
423,2023-03-03,5.1,-1.9,423,9.7,1333,0,8.4,1257,1.9,109.7
423,2023-03-04,8,4,0,14.6,1457,0,5.7,1554,1.3,118.1
423,2023-03-05,7.5,1.2,636,15.8,1433,0,6.6,1513,1,120.9
423,2023-03-06,8.6,.2,706,15.8,1453,0,8.7,1259,1.5,106.9
423,2023-03-07,11.1,5.9,642,17.6,1420,0,8.9,1327,2.1,199.7
423,2023-03-08,12.6,7.2,336,17,1321,3,9.5,1206,1.9,118.1
423,2023-03-09,9.7,6.2,2344,13.4,415,3.5,8.1,632,2,210.9
423,2023-03-10,12.6,3.4,610,21.7,1458,0,8.3,1342,1.6,216.6
423,2023-03-11,14.4,9,649,22.6,1320,0,9.4,1514,1.9,120.9
423,2023-03-12,5.8,1,2356,11.2,1,5.5,13.4,1858,3,303.8
423,2023-03-13,3.5,-.8,508,7.2,1313,0,11.8,36,2.7,329.1
423,2023-03-14,9.5,3.8,20,15,1503,0,13.5,1246,3.1,109.7
423,2023-03-15,8.8,3.8,2358,14.1,1250,0,12.4,1241,2.6,118.1
423,2023-03-16,5.2,.9,707,9.3,1313,0,9.8,1303,2.3,61.9
423,2023-03-17,7.4,1,647,12.5,1534,0,6.6,149,1.9,5.6
423,2023-03-18,8,3.2,637,15.2,1457,0,8.6,1418,2.3,61.9
423,2023-03-19,7.3,1.4,633,15.1,1526,0,6.8,927,1.6,106.9
423,2023-03-20,8.4,1.4,259,17,1529,0,7.3,1607,1.2,244.7
423,2023-03-21,12.5,3.9,645,21.2,1452,0,6.2,1539,1.1,225
423,2023-03-22,16,7.1,540,25.2,1442,0,7.7,1644,1.4,64.7
423,2023-03-23,16.4,11.8,2359,22.9,1604,0,10.2,1831,3,61.9
423,2023-03-24,11.9,7,649,17.4,1428,0,6.8,1259,2.2,73.1
423,2023-03-25,11.7,6.5,552,18.3,1435,0,6.8,204,1.8,61.9
423,2023-03-26,9.5,5.1,2353,14.7,1454,0,11.9,1300,3,61.9
423,2023-03-27,7.6,1.5,641,13.9,1439,0,8.4,1403,1.6,75.9
423,2023-03-28,9,2.8,638,15.6,1505,0,8.1,1623,1.4,118.1
423,2023-03-29,11.5,3.9,614,19.5,1404,0,7.5,1518,1.3,120.9
423,2023-03-30,13,5,649,21.1,1415,0,7.3,1252,1.4,75.9
423,2023-03-31,14.5,6.2,646,23.2,1500,0,6.6,1649,1.3,222.2
423,2023-04-01,16.9,7.6,614,26.5,1348,0,7.5,1435,1.3,75.9
423,2023-04-02,18.1,10.2,633,25,1452,0,10.7,1042,2.1,109.7
423,2023-04-03,18.8,10,649,25.7,1507,0,8.6,1312,2,118.1
423,2023-04-04,17.8,12.8,2350,22.1,1441,8,14.6,1838,2.7,120.9
423,2023-04-05,11.7,8.5,2326,15,1226,39,11.5,2054,3.6,194.1
423,2023-04-06,8.7,7.3,2359,9.9,1627,2.5,7.4,1043,2.7,216.6
423,2023-04-07,8.9,4.9,611,15.4,1413,0,11.4,1443,2.7,227.8
423,2023-04-08,9.3,3.2,535,15.3,1506,0,10.8,1311,2.4,222.2
423,2023-04-09,10.7,4.1,631,17.4,1508,0,10.4,1355,2.2,210.9
423,2023-04-10,12.9,5.7,514,18.8,1602,0,13.7,1116,3.2,118.1
423,2023-04-11,13.2,10.3,2359,17.2,919,1,19,859,3.9,227.8
423,2023-04-12,10,3.9,606,15.4,1457,0,11.4,1239,2.4,202.5
423,2023-04-13,12.1,5.6,529,17.7,1739,0,6.6,1244,1.4,118.1
423,2023-04-14,15.9,11,102,21.7,1441,0,8.4,1149,1.6,120.9
423,2023-04-15,12.9,8.7,2353,16.9,1540,3.5,8.7,1530,1.8,185.6
423,2023-04-16,11.1,7.4,205,16.8,1618,0,8.8,1646,2,118.1
423,2023-04-17,13.5,7,431,18.8,1607,0,7.2,1211,1.9,208.1
423,2023-04-18,14.6,11.3,911,19.4,1711,1.5,7.7,1016,2.2,90
423,2023-04-19,19.5,12,525,28.5,1544,0,8,2357,2.2,199.7
423,2023-04-20,15.5,14.2,2349,18.2,2,0,9.8,28,2.1,213.8
423,2023-04-21,16.5,10.9,604,23.2,1437,0,10,1424,3.3,67.5
423,2023-04-22,17.5,13.9,153,22.6,1452,0,9.5,1226,2.7,120.9
423,2023-04-23,16.4,10.8,559,23.2,1426,0,7.9,1150,1.8,104.1
423,2023-04-24,15.7,10.7,2353,20.4,1451,0,9.3,741,2.8,73.1
423,2023-04-25,11,8.9,2249,13.7,1020,0,6.7,1147,1.3,106.9
423,2023-04-26,10.3,7.2,2339,13.2,1507,0,10.1,915,2.6,213.8
423,2023-04-27,12.5,5,548,19.7,1413,0,7.4,1526,1.4,230.6
423,2023-04-28,15.4,7.4,546,21.9,1441,2,9.2,1155,1.8,253.1
423,2023-04-29,13.2,10.3,2124,15.6,118,20,11.8,1452,2.9,168.8
423,2023-04-30,13,8.5,418,18.2,1438,.5,11.9,1503,2.9,255.9
423,2023-05-01,14.5,9.6,454,21,1544,0,8.5,1223,1.6,303.8
423,2023-05-02,16.8,8.6,455,23.9,1629,0,7,1317,1.6,255.9
423,2023-05-03,19.3,11.4,605,26.3,1400,0,7.8,1541,1.7,241.9
423,2023-05-04,21.1,15.3,550,25.9,1417,0,8,2341,1.9,160.3
423,2023-05-05,18.7,16.8,0,22.1,1,23,13,1430,3,216.6
423,2023-05-06,13.1,11.9,902,16.8,1,52.5,16.3,1254,5.6,81.6
423,2023-05-07,14.5,10.3,2354,18.9,1645,0,8.5,231,2.1,67.5
423,2023-05-08,15.1,7.3,545,22.5,1224,0,8.2,1403,1.4,213.8
