지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
407,2006-01-01,1.4,-2.6,16,2.6,1102,0,6.2,1.2,299.3
407,2006-01-02,.2,-3.5,744,4.8,1422,0,8,1.6,280.1
407,2006-01-03,-1.6,-3.8,2357,1.7,1427,0,7.5,2.5,264.6
407,2006-01-04,-5.8,-8.1,2315,-3.6,1141,0,6.9,2.3,291.5
407,2006-01-05,-7.4,-13.2,738,-1.2,1539,0,6.5,1.5,227
407,2006-01-06,-8.4,-14.4,716,-3.5,1518,0,8.6,2.1,316.8
407,2006-01-07,-8,-14.4,639,-2,1634,0,6.7,1.4,262.1
407,2006-01-08,-6.7,-13.8,756,1.2,1438,0,5.9,1,219.7
407,2006-01-09,-3.6,-12,703,3.3,1539,0,3.6,1,227.9
407,2006-01-10,-1.2,-5.8,0,2.8,1441,0,6.4,1.6,274
407,2006-01-11,-3.6,-9.7,729,4.1,1532,0,3.9,.9,219.1
407,2006-01-12,-.4,-8.6,805,5.2,1334,5.5,5.3,1.7,84.8
407,2006-01-13,4,2.1,1,5.8,1604,33,5,1.3,64
407,2006-01-14,4,-.3,2359,10,1457,0,5.3,1.4,26.2
407,2006-01-15,2.6,-1.8,2351,8.4,1345,0,6.1,1.2,234.5
407,2006-01-16,.4,-2.8,616,4.1,1451,0,3.7,.8,38.2
407,2006-01-17,.7,-3.8,613,5.3,1608,0,3.5,.8,36.5
407,2006-01-18,.4,-3.7,828,6.8,1508,0,3.2,.7,38.4
407,2006-01-19,1.3,-4.8,738,7,1411,0,5,1.4,70.1
407,2006-01-20,1.3,-3.6,654,7.3,1442,0,3.6,.8,335
407,2006-01-21,.6,-5.5,742,6.3,1434,0,5.9,1.3,348.5
407,2006-01-22,-2.1,-5.6,2333,.6,104,0,9.5,3.5,266.9
407,2006-01-23,-5.2,-11.1,736,1.6,1419,0,7.5,1.7,225.8
407,2006-01-24,-4.5,-11.3,742,2.5,1523,0,4.3,.9,221.2
407,2006-01-25,-2.5,-9.1,723,3.8,1526,0,5,.9,292.9
407,2006-01-26,-1,-6.8,326,4.7,1526,0,6.8,1.4,225.4
407,2006-01-27,.7,-4.1,514,5.9,1414,0,9.1,1.8,244.1
407,2006-01-28,-.8,-6.6,632,6.4,1425,0,4.2,.8,116.3
407,2006-01-29,2.5,-5,723,8.9,1524,0,4.7,.9,138.7
407,2006-01-30,5,1.1,800,9.1,1542,0,4.2,1,352.3
407,2006-01-31,3.5,1.3,404,6.1,1424,1.5,3.6,1.1,100.1
407,2006-02-01,2.1,-2.2,2340,5.8,1552,.5,8.1,2.3,301.7
