지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
411,2015-01-01,-7.5,-9.4,725,-4.2,1340,0,,0,14.7,113,5.5,298.1
411,2015-01-02,-5.7,-8.4,254,-1.6,1422,0,,0,14,1357,3.7,331.9
411,2015-01-03,-2,-7.7,312,2.8,1427,0,,0,5.6,1525,1.5,264.4
411,2015-01-04,3.3,.8,434,7.7,1432,0,,0,6.3,546,2.1,101.3
411,2015-01-05,4.1,.2,500,8.4,1430,0,,0,7,1236,2.4,137.8
411,2015-01-06,-3.2,-7.5,2336,3,1,.5,100,1,12.7,643,5.4,303.8
411,2015-01-07,-5.3,-8,711,-1.6,1343,0,,0,8.1,829,3.4,315
411,2015-01-08,-4.7,-8.2,747,-.8,1538,0,,0,6.6,1043,2.2,334.7
411,2015-01-09,-1.4,-4.8,532,2.6,1410,0,,0,7.6,2300,2.3,329.1
411,2015-01-10,.4,-3.9,338,5.1,1452,0,,0,8.9,1438,2,286.9
411,2015-01-11,-.2,-4.1,2353,2.4,1426,0,,0,13.1,1848,4.3,312.2
411,2015-01-12,-2.2,-6.7,744,3.9,1314,0,,0,7.8,34,2,343.1
411,2015-01-13,1.3,-3.5,533,6.8,1459,0,,0,4.6,1030,1.5,84.4
411,2015-01-14,2.9,.6,444,5.5,1307,0,,0,4.2,2053,1.3,303.8
411,2015-01-15,2.8,-1.1,751,7.7,1414,0,,0,7.4,1651,1.9,272.8
411,2015-01-16,.9,-2.3,2357,4.1,1146,0,,0,12,2048,3.6,289.7
411,2015-01-17,-3.8,-7.5,739,.2,1455,0,,0,11.4,336,4,298.1
411,2015-01-18,-.6,-4.7,324,3.9,1339,1,2000,3,8.4,2346,2.3,244.7
411,2015-01-19,.1,-4,2349,3.9,1312,0,,0,10,1427,3.5,272.8
411,2015-01-20,-.2,-4.8,611,4.4,1457,0,,0,5.7,2233,1.6,101.3
411,2015-01-21,3.2,0,659,7.2,1325,0,,0,4.5,41,1.8,87.2
411,2015-01-22,3.3,.5,803,7.8,1451,0,,0,5.2,1637,1.9,334.7
411,2015-01-23,2.1,-.2,704,5.6,1535,0,,0,5.7,1737,1.7,270
411,2015-01-24,4.2,2,215,8.1,1304,0,,0,6.4,1516,1.6,284.1
411,2015-01-25,3.4,1.4,744,5.1,1303,.5,1800,1.5,8.7,1149,3.2,98.4
411,2015-01-26,3.6,.2,2149,7.8,1528,.5,300,.5,9.4,2101,3,331.9
411,2015-01-27,-3.7,-7.2,2328,.8,17,0,,0,10,13,4.3,295.3
411,2015-01-28,-4.1,-8.8,602,1.1,1508,0,,0,7.7,704,2.4,331.9
