지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
415,2015-01-01,-6.9,-8.8,811,-4.3,1440,0,,0,8,224,2.3,2.8
415,2015-01-02,-4.9,-7.5,1,-1.5,1433,0,,0,7.7,1308,1.5,11.3
415,2015-01-03,-1.9,-7.7,450,2.8,1540,0,,0,4.4,1603,1.4,222.2
415,2015-01-04,3.2,.5,540,8,1513,0,,0,4.1,726,1.2,28.1
415,2015-01-05,4,-.4,538,8.1,1528,.5,2400,.5,4.6,1237,1.5,25.3
415,2015-01-06,-2.5,-6.4,2314,4.2,1,1,200,2,6.9,1531,2.1,267.2
415,2015-01-07,-4.5,-6.9,613,-1.1,1548,0,,0,6.9,921,1.8,45
415,2015-01-08,-3.7,-6.9,642,-.1,1524,0,,0,4.8,1126,1.2,216.6
415,2015-01-09,-1,-5.6,656,3.4,1609,0,,0,4.9,1630,1,160.3
415,2015-01-10,.8,-4.1,727,5.2,1521,0,,0,7.6,1545,1.4,225
415,2015-01-11,.3,-3,2350,3,326,0,,0,6.2,1446,1.6,5.6
415,2015-01-12,-1.4,-5.9,721,2.9,1406,0,,0,4.6,25,1.1,11.3
415,2015-01-13,.8,-3.7,405,6.3,1509,0,,0,4.2,1100,1.3,45
415,2015-01-14,3.2,.7,531,6.4,1322,0,,0,3.5,1343,.9,185.6
415,2015-01-15,3.4,-.2,451,8.4,1501,0,,0,4.6,1757,1.2,213.8
415,2015-01-16,1.6,-1.6,2358,4,1216,0,,0,8.2,1157,2.3,132.2
415,2015-01-17,-3,-6.4,801,.4,1454,0,,0,8.1,7,1.7,28.1
415,2015-01-18,-.5,-4.8,445,2.5,1550,1,2100,2,6.3,2115,1.7,250.3
415,2015-01-19,.9,-2.5,2354,4.9,1319,0,,0,7.3,106,1.6,199.7
415,2015-01-20,-.2,-4.6,633,3.5,1647,0,,0,4.6,1045,1.6,33.8
415,2015-01-21,3,-.2,709,6.4,1633,0,,0,4,1336,1.2,28.1
415,2015-01-22,3.7,.8,2349,8,1459,0,,0,3.3,1750,.7,351.6
415,2015-01-23,2,-.5,631,4.7,1618,0,,0,6.2,1637,1.8,227.8
415,2015-01-24,4.5,2.1,731,8.5,1443,0,,0,6.3,1356,1.1,225
415,2015-01-25,3.4,1.2,744,5.3,1330,.5,1700,3,5.3,1745,2.2,61.9
415,2015-01-26,4,1.3,2145,7.3,1607,.5,400,.5,5.4,1626,1.2,244.7
415,2015-01-27,-2.7,-5.9,2309,1.4,5,0,,0,5.3,106,1.7,227.8
415,2015-01-28,-3.3,-7.6,543,1.9,1454,0,,0,4.7,916,1.4,0
415,2015-01-29,-.3,-3.2,11,3.1,1445,0,,0,4,915,1.5,45
415,2015-01-30,-2.3,-5.5,2242,.9,1445,0,,0,6.7,2050,1.9,11.3
