지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
417,2014-01-01,4.7,1.6,341,7.6,1518,0,,0,8.9,1314,2.4,298.1
417,2014-01-02,2.4,.6,826,6.5,1513,0,,0,4.8,26,1,19.7
417,2014-01-03,3.1,-.1,428,7.7,1434,0,,0,5.7,2005,1.2,331.9
417,2014-01-04,.5,-3.5,745,4.3,1436,0,,0,4.5,3,1.5,16.9
417,2014-01-05,0,-3.1,636,3.5,1330,0,,0,4.4,1710,1.1,11.3
417,2014-01-06,1.6,-2.4,621,5.9,1424,0,,0,3.9,527,1,53.4
417,2014-01-07,3.4,1,706,5.5,1545,0,,0,3.1,1329,.8,199.7
417,2014-01-08,.6,-5.6,2359,4.3,7,0,,0,8.2,1844,2.4,351.6
417,2014-01-09,-7.3,-10.1,838,-4.7,1514,0,,0,8.3,126,2.6,312.2
417,2014-01-10,-4.3,-7.8,302,-1,1605,0,,0,4,1500,1.4,205.3
417,2014-01-11,-1.3,-4.9,755,2.1,1453,0,,0,3.8,1140,1.2,329.1
417,2014-01-12,-2.1,-7.1,2354,2.1,1423,0,,0,7.3,2045,2,323.4
417,2014-01-13,-5.8,-9.2,752,-2.5,1603,0,,0,5.1,1423,1.8,19.7
417,2014-01-14,-3.3,-7.3,612,.2,1553,0,,0,5,1513,1.2,298.1
417,2014-01-15,-2.2,-6.4,731,1.5,1441,0,,0,5.1,1354,1.1,343.1
417,2014-01-16,.6,-3.4,158,3.7,1506,0,,0,4,1613,1,216.6
417,2014-01-17,.6,-3,719,3.5,1422,0,,0,3.8,2106,1,317.8
417,2014-01-18,-1.4,-3.7,2344,.9,1539,0,,0,8.9,1424,2.2,329.1
417,2014-01-19,-2.2,-6.5,800,1.3,1418,0,,0,4.9,2333,1.4,160.3
417,2014-01-20,-.7,-3.9,2348,2.8,1308,2,1700,4.5,6.1,2239,1.5,264.4
417,2014-01-21,-4.9,-6.5,550,-3.1,1504,0,,0,5.8,1135,1.8,8.4
417,2014-01-22,-3.3,-8.6,751,1.5,1551,0,,0,3.7,1625,1.2,289.7
417,2014-01-23,0,-4,740,4,1341,0,,0,4.1,1522,1,199.7
417,2014-01-24,4.5,0,6,7.2,1458,0,,0,4.6,321,1.4,208.1
417,2014-01-25,4.3,.1,2354,6.4,1046,1,1200,2.5,6.7,1751,1.6,303.8
417,2014-01-26,-1.9,-4.8,740,1.2,1629,0,,0,6.4,27,1.9,343.1
417,2014-01-27,.5,-4.6,420,5.4,1428,0,,0,5.2,1448,1.4,188.4
417,2014-01-28,1.5,-1.2,2357,3.8,1351,.5,400,.5,6.3,1014,1.9,348.8
417,2014-01-29,2.6,-4.2,803,8.6,1519,0,,0,5.9,1923,1.4,202.5
417,2014-01-30,4.3,0,2355,6.5,47,2,1200,3,6.2,1735,1.7,320.6
417,2014-01-31,2.2,-3.3,730,6.6,1557,0,,0,4.3,11,1,0
417,2014-02-01,4.9,3.8,1506,5.7,1054,2.5,1700,6.5,7.6,1627,1.6,87.2
417,2014-02-02,5.3,3.4,2359,7.2,1503,.5,200,1,4.8,1849,1.3,337.5
417,2014-02-03,-3.4,-7.8,2306,3.3,1,0,,0,8,2051,2.9,326.3
417,2014-02-04,-7.4,-10.7,518,-4.1,1617,0,,0,8.1,17,2.8,340.3
417,2014-02-05,-4.5,-7.7,426,-1,1532,0,,0,5.4,111,1.6,25.3
417,2014-02-06,-.8,-3.6,752,3.4,1544,0,,0,4.7,1704,1.3,306.6
417,2014-02-07,2.6,-.8,36,6.6,1534,0,,0,7.6,1957,2.6,36.6
417,2014-02-08,.1,-2.3,2346,2.2,1,1,2000,3,7.1,719,2.3,70.3
