지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
407,2013-01-01,-5.4,-12.7,304,.4,1511,.5,700,1.5,12.8,1458,1.5,284.1
407,2013-01-02,-10.6,-14.5,2358,-4.3,1,0,,0,12,1314,3.7,272.8
407,2013-01-03,-13.7,-19.6,659,-8.5,1449,0,,0,7.2,1920,1.6,334.7
407,2013-01-04,-12.5,-19,701,-5.7,1525,0,,0,4.6,1631,1,219.4
407,2013-01-05,-9.6,-17.1,631,-2.6,1620,0,,0,4.5,1622,1.1,292.5
407,2013-01-06,-8.3,-14.3,755,-1.9,1525,0,,0,5.4,1635,1,244.7
407,2013-01-07,-6.9,-13.2,355,-.7,1349,0,,0,7.2,1349,1.1,348.8
407,2013-01-08,-5.7,-10.9,657,-.2,1506,0,,0,8.5,2311,1.8,272.8
407,2013-01-09,-9.3,-13.9,735,-5.6,1346,0,,0,8.9,138,2.2,329.1
407,2013-01-10,-9.9,-16.2,756,-3.2,1529,0,,0,6,1340,1.2,270
407,2013-01-11,-4.8,-11.5,17,-.3,1538,0,,0,4.4,1048,1.3,137.8
407,2013-01-12,-.7,-5.4,5,4.1,1426,0,,0,7.8,1336,1.3,250.3
407,2013-01-13,-2.3,-6.3,543,2.5,1441,0,,0,3,1157,1,47.8
407,2013-01-14,-3.3,-8.4,720,2.4,1423,0,,0,10.6,1321,1.6,284.1
407,2013-01-15,-3.7,-9.1,555,1.7,1559,0,,0,4.1,1529,.9,135
407,2013-01-16,-2.6,-5.5,111,.9,1500,0,,0,6.8,1508,1.7,253.1
407,2013-01-17,-5.9,-9.4,554,-1.4,1519,0,,0,4.9,1603,1,284.1
407,2013-01-18,-5.5,-12.7,803,.3,1532,0,,0,6.7,1607,1.5,247.5
407,2013-01-19,-1.1,-4.9,213,4.1,1429,0,,0,6,1510,1.1,275.6
407,2013-01-20,-.1,-5.9,423,4.1,1632,0,,0,6.2,1204,1.1,84.4
407,2013-01-21,,1.1,801,3,44,2,1000,4.5,5.7,958,,50.6
407,2013-01-22,,2.8,2101,5.9,1352,,,,4.9,1720,,87.2
407,2013-01-23,1.8,.9,859,3,1,0,,0,7.1,1501,1.4,239.1
407,2013-01-24,-.6,-6.4,2357,2.4,1155,0,,0,17.1,2248,3.3,281.3
407,2013-01-25,-8.6,-10.4,2354,-6,1459,0,,0,12.4,2,4,281.3
407,2013-01-26,-8.8,-12.7,806,-5.6,1535,0,,0,9.8,154,2.6,286.9
407,2013-01-27,-8.1,-12.9,536,-4.1,1353,0,,0,9,1456,1.9,272.8
407,2013-01-28,-4.8,-12.3,627,-.5,1553,0,,0,4.5,1529,1.2,132.2
407,2013-01-29,1.3,-.7,455,2.9,1527,0,,0,3.9,1227,1,123.8
407,2013-01-30,3.3,-1.6,2400,7.8,1430,0,,0,3.4,901,,47.8
407,2013-01-31,4.4,-2.1,47,10.9,1500,0,,0,5.6,2127,.9,78.8
407,2013-02-01,7.1,2.7,126,8.8,1755,5.5,1200,48,5.4,2036,.9,210.9
407,2013-02-02,.3,-3.7,2355,6.2,6,0,,0,7.2,1518,1.8,295.3
407,2013-02-03,-3.7,-7.4,555,-.9,1525,1,2100,5,5.4,42,.9,331.9
407,2013-02-04,-.9,-9.3,2340,3.5,1159,2.5,100,5,6.8,1215,1,306.6
407,2013-02-05,-2.6,-10.6,215,3.1,1526,1,2200,2.5,4,1541,.6,123.8
