지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
420,2005-01-01,-8.4,-13.5,530,-3.2,1436,0,8,1.6,357.7
420,2005-01-02,-2,-6.5,311,2.1,1404,0,7.9,1.3,147.1
420,2005-01-03,-.6,-6.3,0,1.8,1028,.5,9.9,1.6,6
420,2005-01-04,-8.7,-12.4,635,-2.9,1339,0,7.8,1.5,39.4
420,2005-01-05,-6.1,-11.9,629,-1.3,1403,0,5.5,1.4,123.9
420,2005-01-06,-2.8,-6.9,757,.1,1245,0,5.2,.9,164.8
420,2005-01-07,-6.2,-10,2009,-1.2,48,0,9.1,1.6,7.7
420,2005-01-08,-8.1,-12.4,2347,-.9,1328,0,7.7,1.3,22.9
420,2005-01-09,-11.6,-15,558,-6,1400,0,8,1.6,8.2
420,2005-01-10,-8.7,-15.1,257,-4.1,1347,0,6.1,1.1,353.2
420,2005-01-11,-10,-13.2,2341,-4.5,1400,0,8.5,1.8,359.9
420,2005-01-12,-9.6,-13.9,639,-4.4,1503,0,5.7,1.2,0
420,2005-01-13,-8.2,-12.1,444,-3.4,1434,0,7.1,1.7,353.3
420,2005-01-14,-6.1,-9.9,657,-1.4,1248,0,6.3,1.9,348.5
420,2005-01-15,-5.7,-8.5,353,.2,1344,0,8.5,2,355.9
420,2005-01-16,-3.6,-7.7,111,3.2,1456,0,8.8,2.5,356
420,2005-01-17,-2.1,-5.8,751,2.2,1346,0,6.9,1.6,355
420,2005-01-18,-2.4,-7.5,0,-.3,1737,0,5.1,1,288.3
420,2005-01-19,-7.7,-11.3,733,-2.6,1351,0,11.3,1.5,359.6
420,2005-01-20,-9.8,-12.7,2312,-5.3,1355,0,9.6,1.5,34.5
420,2005-01-21,-8.4,-13.2,220,-3,1357,0,6.6,1.2,351.6
420,2005-01-22,-3.8,-9,321,.6,1431,0,3.8,.8,348.8
420,2005-01-23,.5,-2.4,645,5.3,1339,0,5.5,1,161.7
420,2005-01-24,-1,-3.5,551,2.5,1446,0,5.5,1.4,10.1
420,2005-01-25,-.7,-4,505,2.2,1339,0,7.2,1.1,53.8
420,2005-01-26,-.7,-2.9,759,3.7,1351,0,6.3,1,2.1
420,2005-01-27,-1.3,-4.4,651,3.1,1507,0,5.1,1.6,.1
420,2005-01-28,.6,-3.1,614,5.1,1445,0,6.8,1.6,353.5
420,2005-01-29,-4.2,-10.8,2354,.2,540,0,9.8,2,18.4
420,2005-01-30,-10.6,-14.5,635,-5.4,1333,0,10.2,1.6,357.7
420,2005-01-31,-10.6,-15.3,2357,-3.7,1257,0,11.1,1.8,11.9
420,2005-02-01,-13.9,-17.4,637,-9.8,1448,0,11.6,2.5,15.9
420,2005-02-02,-10.7,-15.9,711,-4.8,1330,0,6.2,1.1,10.5
420,2005-02-03,-7.7,-13,22,-3,1415,0,7.1,1.6,13
420,2005-02-04,-4.5,-7.9,510,.5,1308,0,6,1.3,356.4
420,2005-02-05,-4.7,-8.4,632,.4,1357,0,8.9,2.2,350
420,2005-02-06,-1.8,-7.3,106,2.9,1505,0,5,1.1,86.8
420,2005-02-07,1,-.2,2311,2.5,1226,0,9.2,1.9,91.6
420,2005-02-08,-1.2,-4.3,2325,3.2,1403,0,6.1,1.5,349.4
420,2005-02-09,-4.7,-9.8,2354,-1.4,1407,0,5.4,.8,25
420,2005-02-10,-9.5,-13.6,0,-3.6,1425,0,7.5,1.5,357.9
420,2005-02-11,-9.8,-14.5,558,-3.3,1420,0,7.6,1.9,4.9
420,2005-02-12,-7.1,-11.2,57,-2.1,1431,0,7,1.4,353.9
420,2005-02-13,-3.9,-8.1,647,1.8,1437,0,5.3,1.1,114.8
420,2005-02-14,-.4,-5.1,16,2.9,1217,0,4.5,1,.1
420,2005-02-15,3.4,.2,221,6.5,1456,2,18.2,4.5,37.2
420,2005-02-16,.2,-.8,243,2.1,2007,1.5,22.5,4.9,57.7
420,2005-02-17,2.6,-1.3,535,6.8,1402,0,12.7,1.8,60.1
420,2005-02-18,.6,-.5,934,1.9,1416,0,12.1,2.6,87.9
420,2005-02-19,-5.8,-12.1,2315,.8,29,0,11.3,2,9
420,2005-02-20,-10.7,-14.3,622,-4.8,1201,0,10.3,1.7,28.7
420,2005-02-21,-9.4,-16,658,-3.9,1401,0,9.5,1.2,231.1
420,2005-02-22,-3.7,-7.7,8,1,1718,0,14.4,3.5,242.2
420,2005-02-23,-6.4,-9.3,2218,-2.5,1228,1.5,6.6,1.5,54.5
420,2005-02-24,-5.6,-9.2,6,.5,1313,0,9.5,1.8,355.8
420,2005-02-25,-8.4,-12.4,2356,-2.7,1241,0,9.8,1.8,19.8
420,2005-02-26,-8.7,-14,710,-2.6,1344,0,8,1.4,2.6
420,2005-02-27,-5.2,-11.3,633,.2,1339,0,7,1.4,349.3
420,2005-02-28,-2.6,-6.9,2256,3.3,1241,0,7.3,1.3,357.2
420,2005-03-01,-3.4,-8,408,2.8,1351,0,6.2,2,352.2
420,2005-03-02,-3,-6.3,2357,2.6,1411,3,7.3,1,354.4
420,2005-03-03,-4.6,-9.2,314,.9,1330,0,7.8,1.6,21
420,2005-03-04,-3.6,-7.8,341,2.8,1326,0,7.7,2,356.7
420,2005-03-05,-3.9,-7.7,622,.6,1526,0,6,1.4,2.4
420,2005-03-06,-2,-6.9,645,2.8,1328,0,8.2,1.4,232.8
420,2005-03-07,.6,-3.5,5,4.1,1441,0,8.8,1.6,165.6
420,2005-03-08,1.2,-1.9,613,6.6,1429,0,8,1.3,349.2
420,2005-03-09,5.2,-3.1,536,10.4,1502,0,10.3,2.2,143.4
420,2005-03-10,5.5,2.5,2334,10.1,59,4,10.6,2.5,166.3
420,2005-03-11,-2.6,-8,2339,2.6,26,1,11.2,2.8,355.6
420,2005-03-12,-7.3,-10.8,638,-1.9,1230,0,10.5,2.1,353.1
420,2005-03-13,-4.4,-9.7,654,1.1,1316,0,9,1.5,6.5
420,2005-03-14,-.4,-6.9,436,5.1,1400,0,8.1,1.6,178.7
420,2005-03-15,1.5,-1.4,8,6.3,1212,0,7.6,1.2,169.5
420,2005-03-16,4.6,-.4,654,8.9,1511,0,5.1,1,154.6
420,2005-03-17,2.3,-.3,2342,6.8,5,8.5,7.4,1.6,218
420,2005-03-18,.6,-3.1,2356,6.5,1452,0,8.9,1.7,2.4
420,2005-03-19,1.3,-3.9,623,8.3,1422,0,8.8,1.7,231.3
420,2005-03-20,2.9,-.6,702,7.5,1242,0,8.7,1.2,240.1
420,2005-03-21,4.8,-.3,159,9.5,1259,0,9.1,1.8,97.9
420,2005-03-22,5.7,.4,348,13,1444,1.5,9.1,2,348.1
420,2005-03-23,5.5,1.8,2351,11,1401,0,8.1,1.5,238.9
420,2005-03-24,-.3,-4.1,2346,5.6,1419,0,13.5,2.2,11.5
420,2005-03-25,-.5,-5.9,538,3.9,1301,0,10.6,1.9,179.2
420,2005-03-26,3.6,-.2,6,7.2,1551,0,7.6,1.4,154.3
420,2005-03-27,7.7,2.9,241,13.9,1540,0,6.1,1.4,176.1
420,2005-03-28,3.5,.2,2349,8.5,1629,0,9.1,1.6,6.2
420,2005-03-29,2.5,-2.1,627,8.9,1404,0,9.8,1.5,.1
420,2005-03-30,3.7,-1.8,204,9.9,1335,0,10.3,1.8,223.4
420,2005-03-31,7.6,1.6,12,14.1,1301,0,7.2,1.3,185.8
420,2005-04-01,8.8,4.9,450,13.5,1344,0,6.6,1.5,212.1
420,2005-04-02,8,3.7,2303,13.8,1241,0,6.3,1.6,177.9
420,2005-04-03,5.7,2.2,818,10.8,1502,5,11.5,1.9,60.5
420,2005-04-04,6.9,1.3,630,11.8,1352,0,10.3,2,221.7
420,2005-04-05,10.7,5.5,31,16.5,1455,0,11.5,2.6,187.9
420,2005-04-06,11,8.2,248,14.3,1423,5,17,4.5,180.1
420,2005-04-07,9.7,6.8,2023,12.2,1554,.5,9.6,2.1,143
420,2005-04-08,13.2,6,607,19,1458,0,8,1.6,137.4
420,2005-04-09,11.5,9.1,1448,16.2,8,17.5,16.5,5.5,125
420,2005-04-10,9.5,6.6,949,14.6,1405,12.5,9.1,1.5,135.7
420,2005-04-11,10.3,7.3,804,14.6,1507,0,12.4,2.6,156.6
420,2005-04-12,7.9,4.4,2146,12.4,1344,0,6.3,1.4,168.7
420,2005-04-13,7.3,2.6,623,14,1415,0,6.5,1.1,209.3
420,2005-04-14,7.2,2.1,2317,12.7,1138,0,10.4,1.9,112.1
420,2005-04-15,6.7,2.2,257,13.8,1303,0,7.6,1.6,192.9
420,2005-04-16,7.8,2.5,602,14.2,1258,0,10.1,1.8,231.9
420,2005-04-17,12.1,6.1,409,16.5,1231,0,8,1.7,172.2
420,2005-04-18,,,,,,15.5,,,
420,2005-04-19,,,,,,10,,,
420,2005-04-20,6.7,4.1,748,10.8,1336,3,12.7,2.6,164.3
420,2005-04-21,6.8,3.3,524,11.7,1205,0,10.5,1.8,245.1
420,2005-04-22,8.1,3.1,522,15.4,1226,0,11.4,1.4,240.9
420,2005-04-23,10.6,4.7,125,17.8,1310,0,9,2,227.6
420,2005-04-24,11.6,7.7,428,17.4,1432,0,8,2.1,163
420,2005-04-25,10.5,5.9,555,16.6,1136,0,8.7,1.7,231
420,2005-04-26,11.7,6,311,17.5,1413,0,9.1,1.7,171.3
420,2005-04-27,12.9,9.3,643,17.3,1454,0,10.2,3,169.9
420,2005-04-28,13.7,11,146,20.3,1256,0,11.3,2.5,260.4
420,2005-04-29,16.5,10.7,515,23,1427,0,6.6,1.5,171.4
420,2005-04-30,20.2,15.8,156,26.6,1446,0,7.1,2.3,355.6
420,2005-05-01,18,13.9,2118,23.3,1327,0,10.5,2.6,357
420,2005-05-02,17.7,13.6,1955,23.8,1234,0,10.9,2.3,348.8
420,2005-05-03,18,13.5,2050,25.1,1325,0,7.6,1.7,215.5
420,2005-05-04,18.8,14.3,52,24.6,1336,0,6.9,1.9,181.8
420,2005-05-05,18.1,11.4,2353,23.3,1153,10,15.7,3.5,59.3
420,2005-05-06,9.7,6.1,2308,12,754,5,18.1,5.2,41.4
420,2005-05-07,10.7,3.7,515,16.3,1511,.5,9.1,2,80.9
420,2005-05-08,9.6,6,2321,13.2,1617,0,8.6,1.7,155.4
420,2005-05-09,10.5,5.2,458,17,1242,0,10.6,1.6,226.1
420,2005-05-10,11.2,6.3,412,17.8,1139,0,9.3,2,225
420,2005-05-11,10.4,8.3,2210,12.7,1256,2.5,7.7,1.8,108.7
420,2005-05-12,11.3,8.9,345,17,1401,0,5.5,1.3,27.3
420,2005-05-13,14.3,7.8,526,19.7,1416,0,6.8,1.6,85.4
420,2005-05-14,13.8,11.1,517,19.8,1328,0,6.5,1.7,218
420,2005-05-15,16.7,10.8,134,22.9,1500,0,7.1,1.8,160.4
420,2005-05-16,17,12.3,250,22.9,1337,0,7.1,1.7,349.5
420,2005-05-17,17.3,13.4,1842,19.5,1501,12,16.7,4.2,103
420,2005-05-18,12.5,9.8,958,15.9,313,13.5,13,2.3,179.6
420,2005-05-19,14.5,8.6,530,20.1,1314,0,7.3,1.3,236.8
420,2005-05-20,15.8,10,433,23.3,1352,0,6.8,1.3,2.7
420,2005-05-21,14.5,11.4,519,19.4,1548,0,5.5,1.1,172
420,2005-05-22,13.1,11,1606,16.7,1011,.5,7.3,1.3,348.2
420,2005-05-23,12.5,9,334,18.8,1117,0,7.1,1.2,223.2
420,2005-05-24,15.1,9.5,530,19.9,1607,0,5.9,1.4,359
420,2005-05-25,16,10.4,423,21.4,1316,0,7.2,1.8,163.4
420,2005-05-26,16.3,11.7,518,22,1420,0,8.3,1.9,284
420,2005-05-27,18.5,12.4,321,25.6,1345,0,6.8,1.7,358
420,2005-05-28,21,16.2,110,25.1,1402,0,6.1,1.7,9.1
420,2005-05-29,22.4,18,545,27.2,1358,0,5.9,1.7,352.8
420,2005-05-30,19.2,15.4,413,25.1,1344,0,6.6,1.7,222.7
420,2005-05-31,19.2,15.3,522,25.1,1303,0,6.5,1.7,168.1
420,2005-06-01,17.6,14.9,158,20.6,1223,6.5,16.1,3.3,115.9
420,2005-06-02,16.2,14.5,2305,19.9,1112,6,11.5,2.1,101.8
420,2005-06-03,15,12.7,2359,20.8,1300,0,6.3,1.4,355.9
420,2005-06-04,16.6,12.7,1,21.3,1404,0,6,1.4,67.8
420,2005-06-05,21.2,16.6,304,26.8,1416,0,8.1,2.2,97.6
420,2005-06-06,19.8,15.4,522,24.4,1303,0,5.5,1.5,354.5
420,2005-06-07,19.4,17.3,529,22.1,1427,0,5.1,1.2,178.3
420,2005-06-08,20.7,16.5,552,26.9,1324,0,6.7,1.8,351.1
420,2005-06-09,21.1,16.9,459,25.6,1108,0,7.2,1.8,355.6
420,2005-06-10,16.9,15.5,646,19.9,1,10.5,8,2.2,350.9
420,2005-06-11,19.1,15.1,2351,25.9,1240,0,7.8,1.4,219.4
420,2005-06-12,19.1,15,13,24.6,1431,0,6.3,1,230.3
420,2005-06-13,22.8,17.8,1,28.7,1358,0,5,1.2,172.3
420,2005-06-14,22,16.6,2005,28.8,1336,2,11.7,2.2,1.3
420,2005-06-15,18.8,16.9,2328,21.9,1,.5,10.7,3,94.1
420,2005-06-16,18.8,15.9,614,23.5,1328,0,7.5,1.8,69.1
420,2005-06-17,19.3,16.9,159,23.6,1318,1,6.7,1.6,154
420,2005-06-18,19.8,17.4,2328,24.3,1525,0,5.5,1.3,170.8
420,2005-06-19,20.9,16.6,403,26.4,1456,0,6.5,1.6,186.5
420,2005-06-20,21.1,16.7,520,26.8,1424,0,6.6,1.5,160.6
420,2005-06-21,21.4,18.6,355,26.6,1255,0,6.6,1.6,167.2
420,2005-06-22,20.7,18.2,2300,25.8,1312,0,7.3,1.6,165.2
420,2005-06-23,21.9,17.6,155,28.3,1254,0,6.5,1.2,228.2
420,2005-06-24,23.1,17.8,251,28.8,1254,0,7,1.3,228.9
420,2005-06-25,22.8,19.6,153,26.9,1414,0,6,1.1,232.6
420,2005-06-26,22.5,19.4,412,25.9,1452,63.5,12.8,2,94.4
420,2005-06-27,20.3,17.6,2343,22.1,153,45,14.6,2.8,140.7
420,2005-06-28,20.3,17.4,5,24.5,1301,0,5.8,1.2,166.9
420,2005-06-29,20.8,18.6,129,22,1520,13,9.7,2.8,131.9
420,2005-06-30,22.7,20.8,332,26.9,1601,21,11.8,1.9,205.5
420,2005-07-01,,,,,,52.5,,,
420,2005-07-02,21.8,20.7,358,23.8,1108,1.5,5.2,1.4,148.1
420,2005-07-03,19.7,18.1,931,21.6,1,18,12.3,3.1,91.9
420,2005-07-04,21.5,18.5,546,26.7,1232,0,7,1.3,223.4
420,2005-07-05,19.9,18.5,356,22.7,1357,0,6.5,1.6,133.2
420,2005-07-06,21.1,19,338,25.3,1547,.5,5.8,1.5,225
420,2005-07-07,21.6,19.4,525,25.8,1413,0,7.6,2.4,87.6
420,2005-07-08,22.4,19.2,717,26.1,1259,12.5,9.4,3.1,170.1
420,2005-07-09,20,18.8,838,21.6,1721,23,10.9,2.7,123.8
420,2005-07-10,20.7,18.4,447,23.3,1543,0,4,.9,164.8
420,2005-07-11,18.6,17.2,1539,21.2,125,15,14.4,3.3,106.5
420,2005-07-12,20.3,17,326,23.6,1513,0,7.8,1.2,69.4
420,2005-07-13,19.9,18.8,511,22.1,1516,9,5.9,1.4,262.2
420,2005-07-14,21.8,19.2,722,26,1521,.5,5.1,1.5,169.4
420,2005-07-15,22.6,19.2,38,27.1,1405,0,6,.9,355.7
420,2005-07-16,22.7,21.1,635,26.2,1424,0,6.2,1.4,165.7
420,2005-07-17,21.7,20.4,636,22.7,1205,0,6.5,1.4,241.3
420,2005-07-18,23.5,20.8,513,29.2,1348,.5,4.8,1,353
420,2005-07-19,23.4,20.7,644,26.8,1528,0,6.2,1.5,4.1
420,2005-07-20,24.3,22,624,28.9,1354,0,5.1,1.1,21.4
420,2005-07-21,25.2,21.6,531,30,1428,0,5.1,1,355.5
420,2005-07-22,26.6,22.3,438,31,1416,0,6.4,1.3,355.7
420,2005-07-23,27.7,24.7,216,32.6,1136,0,4.4,.9,8.4
420,2005-07-24,26.3,24.3,2150,29.9,1409,0,5.2,1.4,352.4
420,2005-07-25,25,23.4,2233,28,1511,0,6.6,1.9,127.1
420,2005-07-26,25.1,21.9,2345,29.5,1220,0,4.9,1.1,13.8
420,2005-07-27,23.4,21.5,532,26.6,1344,0,9.3,1.7,144.7
420,2005-07-28,20.8,18.1,1144,22.3,1,88.5,8.5,2,146.5
420,2005-07-29,22.3,19.7,445,25.3,1412,0,7.4,1.4,231.7
420,2005-07-30,23,21.6,336,27.1,1236,0,6.2,1.4,247.2
420,2005-07-31,24,20.5,222,27.3,1207,.5,6.6,1.3,172.5
420,2005-08-01,22.3,21.3,658,23.4,1658,34,11.1,2.3,153.5
420,2005-08-02,23.3,21.8,107,26.4,1534,11,8.5,2.1,170.5
420,2005-08-03,22.3,21.4,214,24.6,1047,26.5,9.8,2.1,167.9
420,2005-08-04,25,23.1,1,28.6,1330,0,9.6,2.8,165.5
420,2005-08-05,27.1,23.7,41,32.2,1325,0,7.7,1.8,357.7
420,2005-08-06,26.8,23.2,2354,32.1,1246,0,11.2,1.5,355.1
420,2005-08-07,24.7,22,518,27.9,928,0,7.1,1.6,173
420,2005-08-08,23.7,21.4,724,26.3,1607,12.5,13,4.6,104.7
420,2005-08-09,23,22.1,2329,25.4,1103,6.5,14.8,4.2,168.2
420,2005-08-10,22.6,20.8,1906,24.3,1251,59.5,6.8,1.8,186.7
420,2005-08-11,22.5,21.6,454,23.7,1255,51,9.1,1.9,141.5
420,2005-08-12,23.2,22.4,1,23.5,1338,4,7.6,2,149.3
420,2005-08-13,23.8,22.5,439,26.3,1132,1,7.3,1.2,235.1
420,2005-08-14,24.1,22.1,2303,27.7,1158,.5,5.8,1.2,231.1
420,2005-08-15,24.4,21.9,116,28.8,1322,.5,5.3,1.3,11.5
420,2005-08-16,25.3,22.6,620,30.1,1257,0,5.2,1.5,7.6
420,2005-08-17,25.6,21.5,1428,29.5,1131,0,10.3,1.6,112.8
420,2005-08-18,23.1,20.2,2354,27.1,1300,10,6.5,1.3,212.8
420,2005-08-19,19.4,18.2,2311,20.9,915,7,13.2,3.1,104.6
420,2005-08-20,20.4,18.2,1,23.9,1254,0,14.3,4,75.6
420,2005-08-21,21.5,18.5,327,25.4,1344,0,10.9,3.2,100.3
420,2005-08-22,20.3,18,810,22.6,1506,0,11.1,3.6,86.8
