지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
404,2002-01-01,-4.9,-7.8,2304,-.2,1,0,9.7,2.1,106.9
404,2002-01-02,-9.5,-11.6,739,-6.5,1302,0,10,2.4,96.5
404,2002-01-03,-5.9,-12,28,-1.4,1537,0,3.8,.8,96.9
404,2002-01-04,1.6,-2.6,52,6.5,1410,0,10.3,3.1,80.8
404,2002-01-05,-1,-3.8,2351,2.2,1443,0,8.7,2.2,85.5
404,2002-01-06,.4,-6.1,559,4.9,1457,0,7.3,2.5,287.7
404,2002-01-07,-2.3,-7.3,2254,4.9,213,2,15.8,5.6,89.6
404,2002-01-08,-6.6,-8.1,456,-3.3,1336,0,10.5,3,96.1
404,2002-01-09,-3,-8.5,335,1.8,1519,0,6.6,1.4,294.4
404,2002-01-10,3.1,-.3,111,6.1,2014,0,8.1,3.3,281
404,2002-01-11,3.4,-.7,808,8,1408,0,5.8,1.3,38.8
404,2002-01-12,5.1,2.1,600,10,1459,0,6.5,2.3,283.5
404,2002-01-13,7.5,3.7,505,10.8,1327,0,11.8,4.2,276.3
404,2002-01-14,10.6,6.5,318,13.5,1519,.5,13.7,4.9,285.3
404,2002-01-15,11.1,8.8,39,13.2,1534,15.5,5.6,1.2,93.7
404,2002-01-16,6.2,3.6,2356,9.6,5,6.5,7.3,1.2,263.8
404,2002-01-17,2.6,.9,0,4.2,1623,2,3.8,.7,289.5
404,2002-01-18,2.4,-1,547,6.9,1438,0,5.7,1.5,270.9
404,2002-01-19,4.7,2.4,2346,10.3,1452,0,9,2.9,278
404,2002-01-20,1.7,.1,2207,4.2,908,6.5,3.2,.6,91
404,2002-01-21,-.4,-3.5,2252,2.6,1144,3,9.4,1.6,98.2
404,2002-01-22,-4.7,-6.1,605,-2.2,1402,0,11.7,3,73.3
404,2002-01-23,-4.2,-6.9,536,0,1422,0,8.2,2.2,95.9
404,2002-01-24,-3,-7,445,1.8,1404,0,5.9,1,103.5
404,2002-01-25,-2.3,-7.7,717,3.3,1457,0,4.7,1.2,76
404,2002-01-26,0,-3.4,456,3.3,1443,0,4.7,1,159.2
404,2002-01-27,-.5,-3.9,2349,2.6,1437,0,6.8,2,54.7
404,2002-01-28,-3.3,-5.4,742,.6,1327,0,12.4,2.6,88.4
404,2002-01-29,-1.6,-6.9,612,3.7,1451,0,8.1,1.6,71.7
404,2002-01-30,-.8,-3.7,2316,3.3,1313,0,9.3,2.1,82.3
404,2002-01-31,-1.9,-5.8,649,2.6,1346,0,5.4,1.5,101.1
404,2002-02-01,1.8,-2.6,420,6.1,1243,0,11.7,3.1,39.5
404,2002-02-02,3.5,.8,2355,8.4,1438,0,6.2,1.2,100.5
404,2002-02-03,3.1,-2.7,748,10.2,1404,0,4.8,1.3,111.2
404,2002-02-04,3.2,-1,629,8,1411,0,3.5,1,292.4
404,2002-02-05,4,-1.4,744,9.2,1331,0,5.9,1.5,85.9
404,2002-02-06,5.4,2.4,2354,8.8,1536,0,9.3,2.6,318.1
404,2002-02-07,3.9,-.6,624,9.6,1432,0,7.6,1.9,61.8
404,2002-02-08,1.3,-3.7,2330,5.2,1615,0,9.5,2.5,103.2
404,2002-02-09,-2,-5.7,718,2.1,1458,0,8.3,2.1,91.1
404,2002-02-10,-1.1,-3.9,2347,2.9,1534,0,7,1.5,81.3
404,2002-02-11,-1.8,-5.4,220,3.7,1248,0,12.3,2.4,98.2
404,2002-02-12,-1.2,-5.7,613,3.3,1326,0,5.3,1.3,77.4
404,2002-02-13,-.3,-4.5,733,4.8,1414,0,9,1.6,44.3
404,2002-02-14,.6,-4.9,657,6.5,1542,0,7.2,1.6,81.5
404,2002-02-15,1.8,-3.7,551,6.9,1235,0,7.2,1.7,33.4
404,2002-02-16,3.4,.2,427,6.4,1602,0,4.8,1.4,342.3
404,2002-02-17,2.4,-2.2,2349,6.1,1602,.5,13.4,2.8,81.6
404,2002-02-18,-1.8,-5,707,3,1516,0,10.7,3.1,114.5
404,2002-02-19,-.7,-5.3,641,4.5,1523,0,8.1,1.9,108.2
404,2002-02-20,2.9,-1.9,306,8,1418,0,8.3,2.2,47.3
