지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
425,2015-01-01,-7.3,-9,821,-4.9,1328,0,,0,11.1,28,2.7,292.5
425,2015-01-02,-5.5,-8,6,-2.4,1448,0,,0,9.8,1452,2.1,284.1
425,2015-01-03,-3.1,-9.9,749,1.5,1426,0,,0,5.7,2119,1.4,157.5
425,2015-01-04,2,-.4,2329,6.5,1411,0,,0,6,24,.9,149.1
425,2015-01-05,3.3,-1.6,554,8.6,1502,1,2400,1,5.9,1258,.9,78.8
425,2015-01-06,-2.8,-6.6,2330,3.6,32,1,100,2.5,10.6,832,2.5,244.7
425,2015-01-07,-5.2,-7.2,732,-2.3,1453,0,,0,7.4,923,1.7,14.1
425,2015-01-08,-5.1,-9.4,740,-.8,1444,0,,0,6.9,1245,.9,326.3
425,2015-01-09,-2.2,-6.9,728,2,1446,0,,0,5.3,1552,.7,300.9
425,2015-01-10,-.2,-5.8,757,4.2,1415,0,,0,7.7,1422,1,345.9
425,2015-01-11,-.1,-3.2,2350,4,405,0,,0,9.4,755,2.8,298.1
425,2015-01-12,-3.1,-7.6,755,2.2,1323,0,,0,5.2,55,.9,317.8
425,2015-01-13,-.5,-5.6,432,5.1,1456,0,,0,3.7,1349,.5,19.7
425,2015-01-14,2.6,-.5,452,6,1427,0,,0,3.5,1336,.5,348.8
425,2015-01-15,2.4,-1.3,2337,7.6,1449,0,,0,5.2,1500,.9,303.8
425,2015-01-16,.7,-2,2348,3.2,1228,.5,1100,.5,9.8,2023,1.7,315
425,2015-01-17,-3.7,-6.7,747,-.8,1349,0,,0,10.1,144,2,298.1
425,2015-01-18,-1.4,-6.6,353,2.2,1342,1.5,2300,5,7.6,2026,1.7,137.8
425,2015-01-19,.2,-4.4,2345,2.9,1320,.5,200,.5,10,1351,1.6,309.4
425,2015-01-20,-1.8,-6.8,634,3.2,1536,0,,0,4.5,1115,.7,11.3
425,2015-01-21,1.7,-2.1,719,5.8,1519,0,,0,3.8,1129,.6,42.2
425,2015-01-22,2.6,-.2,2342,6.5,1444,0,,0,4.4,1105,1,11.3
425,2015-01-23,.4,-2.4,723,4.1,1600,0,,0,6.1,1204,.9,118.1
425,2015-01-24,2.9,.7,1,7.4,1329,0,,0,5.4,1240,.9,292.5
425,2015-01-25,2.8,.1,550,5.4,1322,1,2000,4.5,5.2,1152,1,84.4
425,2015-01-26,3.7,.8,2353,6.2,1602,.5,400,1,8.8,1922,1.4,300.9
425,2015-01-27,-3.2,-6.4,2358,.9,34,0,,0,9.2,18,2.3,329.1
425,2015-01-28,-4,-8.4,749,1.2,1503,0,,0,5.7,1608,1.4,298.1
425,2015-01-29,-.8,-4.8,36,2.9,1420,0,,0,5.4,2319,.9,329.1
425,2015-01-30,-2.8,-6.5,2357,.6,1402,0,,0,9.4,1456,2.2,25.3
425,2015-01-31,-4.3,-8.1,748,-.7,1502,0,,0,6.4,421,1.3,323.4
425,2015-02-01,,-8.3,717,2.3,1519,0,,0,5.4,1521,,320.6
425,2015-02-02,-1.4,-5.4,521,4.4,1444,0,,0,4.7,1353,.9,19.7
425,2015-02-03,-.2,-4,543,5.4,1439,0,,0,5.2,1546,.9,298.1
425,2015-02-04,.2,-4.1,752,5,1511,0,,0,6,1328,1,16.9
425,2015-02-05,-.1,-3.5,748,4.3,1439,0,,0,6.6,1555,1.4,312.2
425,2015-02-06,-.2,-4.9,725,4.9,1349,0,,0,6.1,1527,1.2,281.3
425,2015-02-07,.8,-2.2,514,4.9,1309,0,,0,8.7,2308,1.3,255.9
425,2015-02-08,-9,-11.2,900,-2.3,1,0,,0,11,1746,3.4,298.1
425,2015-02-09,-5,-12.5,650,-.4,1956,.5,1700,1,7.8,6,1.6,351.6
425,2015-02-10,2.3,-1.6,737,5.6,1420,0,,0,9.5,1543,1.5,233.4
425,2015-02-11,2.7,-.8,2230,6.7,1419,0,,0,6.8,1111,1.1,8.4
425,2015-02-12,-1.7,-3.6,719,1.7,1304,0,,0,11.9,1416,2.7,281.3
425,2015-02-13,-1.1,-5.7,733,3,1358,0,,0,8.9,1302,1.5,22.5
425,2015-02-14,2,-4,537,6.9,1614,0,,0,7.7,1313,1.6,160.3
425,2015-02-15,7.7,1.8,7,11.5,1517,0,,0,8.5,1142,1.7,47.8
425,2015-02-16,5,4.1,2336,9.1,1,2.5,1900,13,8.2,41,1.6,101.3
425,2015-02-17,2.1,.9,2113,4.2,1,0,,0,6.5,847,1.2,306.6
425,2015-02-18,1.1,-.7,634,3.3,1308,0,,0,6.1,1704,1.3,284.1
425,2015-02-19,1.7,-2.7,719,7.4,1457,0,,0,4.8,1529,.8,2.8
425,2015-02-20,4.4,-1.8,649,9.2,1533,0,,0,6,1243,.9,101.3
425,2015-02-21,5.9,4.5,1314,7,554,1.5,1300,8.5,7.9,1553,1.6,70.3
425,2015-02-22,3.5,-.3,2324,7.2,423,1.5,200,3,8.3,1610,1.3,323.4
425,2015-02-23,.8,-2.1,725,5,1531,0,,0,6.3,121,1.4,270
425,2015-02-24,1.9,-.9,229,6.1,1412,0,,0,6.7,1135,1.1,309.4
425,2015-02-25,5.1,-.4,718,11.2,1526,1,2300,1.5,8.8,1453,1.4,168.8
425,2015-02-26,1.3,-3,2356,4.4,144,1,100,1,11.9,1233,2.6,351.6
425,2015-02-27,-1.6,-5,704,2.8,1559,0,,0,11.2,637,2.3,317.8
425,2015-02-28,2.4,-2.9,232,6.3,1541,0,,0,6.3,1457,1,92.8
425,2015-03-01,2.6,-.3,2345,5.9,1351,0,,0,10.9,1328,1.9,300.9
425,2015-03-02,3.6,-2.2,630,8.5,1516,0,,0,6.7,1230,1.3,272.8
425,2015-03-03,2.8,-1.2,2349,6.9,1336,2,1600,5,13.5,2239,2,323.4
425,2015-03-04,-1.7,-4,543,1.5,1314,0,,0,12.9,106,3.1,315
425,2015-03-05,-.7,-5.4,649,4.3,1427,0,,0,6.2,1455,1,28.1
425,2015-03-06,1.9,-3.6,621,8.8,1408,0,,0,6.6,1511,.8,284.1
425,2015-03-07,3.4,-2.9,715,10,1516,0,,0,6.4,1512,1.1,11.3
425,2015-03-08,7.5,.4,659,14.3,1446,0,,0,6.4,1702,1,317.8
425,2015-03-09,2.3,-4.9,2344,8.3,20,0,,0,14.3,1509,2.7,312.2
425,2015-03-10,-3.3,-6.4,644,.5,1639,0,,0,12.4,833,3.2,284.1
425,2015-03-11,.9,-5.2,652,6.7,1514,0,,0,10.2,1640,2.1,241.9
425,2015-03-12,2.2,-3.1,657,6,1419,0,,0,8.3,1400,1.3,210.9
425,2015-03-13,5.5,1.3,723,10.3,1547,0,,0,8.1,1321,1.8,14.1
425,2015-03-14,3.6,-1.6,652,10.9,1502,0,,0,6.4,1611,1,284.1
425,2015-03-15,5.1,-1,700,11.7,1443,0,,0,6.7,1604,1,315
425,2015-03-16,8.6,.7,520,17.4,1528,0,,0,4.9,1606,.9,315
425,2015-03-17,10.4,5.7,519,16.3,1434,0,,0,6.9,1723,.9,11.3
425,2015-03-18,10.7,7.7,136,14.1,1206,1,1700,2,7.6,1910,1.8,45
425,2015-03-19,11.8,5.5,551,19.6,1621,0,,0,6.6,1757,1.2,320.6
425,2015-03-20,12.7,6.2,451,20.3,1319,0,,0,6.7,1519,.9,343.1
425,2015-03-21,10.8,5,702,16.9,1500,0,,0,7.2,1356,.9,289.7
425,2015-03-22,7.8,3,2345,14.8,1406,0,,0,10.9,2116,2,42.2
425,2015-03-23,4.8,-.7,628,9.7,1456,0,,0,11,1438,1.8,320.6
425,2015-03-24,4.3,-1.2,617,11.6,1423,0,,0,7.6,1324,1.2,345.9
425,2015-03-25,5.5,-1.2,414,12.7,1354,0,,0,6.7,1643,1.3,315
425,2015-03-26,6.9,.2,611,13.9,1518,0,,0,7.9,1554,1.4,306.6
425,2015-03-27,8.1,1.3,529,15.5,1431,0,,0,8.3,1348,1.3,309.4
425,2015-03-28,9.1,1.8,512,15.7,1355,0,,0,7.2,1316,1.1,317.8
425,2015-03-29,9.4,5.8,408,15.2,1611,0,,0,5.2,1419,1,323.4
425,2015-03-30,12.4,5.1,542,20,1352,0,,0,8.2,1505,1,298.1
425,2015-03-31,12.2,8.7,320,14.4,1121,.5,2100,1.5,6,1234,.9,163.1
425,2015-04-01,12.7,10.4,948,16.7,1505,1,300,3,8.9,1227,2.3,19.7
425,2015-04-02,14.8,9.1,356,20.7,1438,21.5,2200,48,12.4,1941,3.1,137.8
425,2015-04-03,10.1,6.3,714,15.8,1,3.5,100,5,10.2,4,1.2,317.8
425,2015-04-04,12.8,9.4,620,18.1,1426,.5,1800,1,9.1,627,2.2,132.2
425,2015-04-05,9.8,8.7,2346,11.8,1,.5,1700,.5,4.7,529,.9,42.2
425,2015-04-06,10,7,2355,15.1,1402,0,,0,8.1,1847,1.6,300.9
425,2015-04-07,8.1,4.3,446,11.7,1443,0,,0,7.1,1413,1.4,351.6
425,2015-04-08,7.7,3.6,630,13.3,1520,0,,0,6.1,1616,.9,278.4
425,2015-04-09,8.7,3.2,551,14.3,1346,0,,0,6.9,1109,1,59.1
425,2015-04-10,10.9,3.8,612,18,1537,0,,0,8,1524,1.4,5.6
425,2015-04-11,12.6,5.2,613,19.8,1520,0,,0,7.6,1331,1.3,28.1
425,2015-04-12,14.2,7.9,635,19.3,1426,0,,0,9.3,1239,1.8,67.5
425,2015-04-13,11.3,7.1,2153,16.7,1301,1,2000,4,11.3,1013,2.8,36.6
425,2015-04-14,6.6,5.7,2203,7.5,1750,2.5,1000,13.5,5.4,1026,.8,39.4
425,2015-04-15,11.1,5.4,622,17.1,1617,1,200,2,7.3,1421,1.3,306.6
425,2015-04-16,10.6,7.4,2245,15.6,1032,3,1300,7,9,1413,2.2,292.5
425,2015-04-17,10.1,3.4,555,15.8,1236,0,,0,9,1221,1.2,284.1
425,2015-04-18,14.4,4.4,501,23,1551,0,,0,5.5,1257,.7,61.9
425,2015-04-19,13.5,11.1,2349,17.1,121,5.5,1200,19.5,6.5,458,1.3,160.3
425,2015-04-20,11.3,8.3,2356,15.6,1656,2,300,7,8.2,1308,1.5,33.8
425,2015-04-21,12.6,6.2,558,20.2,1420,0,,0,7.9,1304,1.3,303.8
425,2015-04-22,12.8,7.5,250,19.6,1537,0,,0,8.1,509,1.5,160.3
425,2015-04-23,13.9,5.8,556,19.8,1342,0,,0,8.3,1313,1.4,306.6
425,2015-04-24,14.9,8.9,607,21.9,1524,0,,0,8.3,1354,1.6,298.1
425,2015-04-25,14.6,7.9,544,22.5,1309,0,,0,7.4,1256,1,340.3
425,2015-04-26,16.7,8.6,541,24.3,1535,0,,0,7.5,1525,1,306.6
425,2015-04-27,17.4,11,535,24.5,1315,0,,0,8.3,1439,1.3,298.1
425,2015-04-28,19.2,11.4,530,25.8,1510,0,,0,7,1206,1,25.3
425,2015-04-29,15.3,14.5,2146,17.5,1,1,800,5,6,1002,.8,25.3
425,2015-04-30,19.9,13.5,128,26.6,1520,0,,0,6,1305,1.1,47.8
425,2015-05-01,19.8,14.4,354,25.7,1422,0,,0,7.6,1215,1.5,323.4
425,2015-05-02,19.3,13.7,541,24.7,1519,1,2300,1.5,6.3,1517,1.2,306.6
425,2015-05-03,16.9,15.7,2353,18.2,1812,1.5,400,7,4,2135,.5,323.4
425,2015-05-04,15.4,10.8,2355,20.3,1205,0,,0,12.9,1322,2.1,323.4
425,2015-05-05,12.6,5.9,535,19.2,1403,0,,0,7.2,1146,1.3,230.6
425,2015-05-06,14.3,7.9,339,20.9,1430,0,,0,6.4,1506,1,354.4
425,2015-05-07,15.5,9.4,533,23.1,1355,0,,0,7.7,1427,.9,306.6
425,2015-05-08,15.8,9.5,350,21.6,1450,0,,0,5.5,1514,1.4,168.8
425,2015-05-09,17,11.9,541,22.4,1240,0,,0,6.7,1124,1.3,326.3
425,2015-05-10,17.5,11.7,256,25.4,1443,0,,0,7,1231,1.1,14.1
425,2015-05-11,17.5,13,426,22.6,1504,5.5,2200,13.5,9.6,1915,2.1,182.8
425,2015-05-12,13.3,10,521,18.5,1518,5.5,100,17.5,10.5,1233,2,289.7
425,2015-05-13,17.4,11.4,112,21.8,1611,0,,0,13,557,2.6,168.8
425,2015-05-14,20.1,13.6,530,25.8,1450,0,,0,8.6,1344,1.6,160.3
425,2015-05-15,18,14.7,2354,22.2,1628,0,,0,5.4,1424,1.2,5.6
425,2015-05-16,17.1,10.8,514,25.1,1307,0,,0,8.6,1247,1.6,320.6
425,2015-05-17,17.4,9.8,517,24.3,1503,0,,0,6.3,1403,1.3,5.6
425,2015-05-18,16.9,13.3,456,21.7,1325,0,,0,7.6,1743,1.2,292.5
425,2015-05-19,14.4,10.7,2354,17.8,1440,.5,1700,1,6.6,1119,1.1,180
425,2015-05-20,15.3,8.3,444,21.3,1417,0,,0,7.8,1003,1.5,22.5
425,2015-05-21,18.3,11.5,517,25.6,1301,0,,0,7.6,1539,1.3,250.3
425,2015-05-22,18.9,11.8,506,26.8,1357,0,,0,7.9,1431,1.1,292.5
425,2015-05-23,19.7,12.6,501,27.2,1507,0,,0,7.5,1653,.9,331.9
425,2015-05-24,19.6,13.1,525,27.4,1252,0,,0,7.3,1339,1.1,312.2
425,2015-05-25,18.8,11.7,527,27.5,1400,0,,0,7.6,1411,1.3,337.5
425,2015-05-26,19.9,11.6,447,29.4,1457,0,,0,7.1,1254,1.4,298.1
425,2015-05-27,22.2,13,442,30.6,1441,0,,0,7.1,1129,1.3,11.3
425,2015-05-28,23.3,16.2,501,30.1,1222,0,,0,7.7,1422,1.1,253.1
425,2015-05-29,22.6,17.1,412,29.5,1255,0,,0,7.4,1415,1.2,295.3
425,2015-05-30,18.3,14.4,2349,21.6,1703,0,,0,6.5,1524,1.1,320.6
425,2015-05-31,19.7,12.9,320,29,1530,0,,0,6.4,1622,.9,303.8
425,2015-06-01,20.7,13.7,448,28,1247,0,,0,8.4,1458,1.2,298.1
425,2015-06-02,22.1,16.7,327,28.6,1232,0,,0,8.3,1645,1.4,289.7
