지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
401,2006-01-01,2.4,1.1,37,3.1,1052,0,5.3,1,312.7
401,2006-01-02,1.2,-1.5,2357,4.8,1423,0,8.8,1.8,275.3
401,2006-01-03,-1.4,-3.6,2339,1.6,1407,0,8.2,2.2,304.7
401,2006-01-04,-5.4,-7.6,2326,-3.5,1,0,8.5,2.3,304.3
401,2006-01-05,-5.9,-8.9,742,-2,1433,0,6,1.6,238.6
401,2006-01-06,-6.4,-9.2,726,-3.1,1524,0,9.8,2.2,303.2
401,2006-01-07,-5.1,-8.4,719,-1.9,1538,0,8.3,2,296.1
401,2006-01-08,-3.4,-8.6,809,1.5,1456,0,4.4,.9,317.3
401,2006-01-09,-1,-6.7,735,4.6,1446,0,4.7,.8,270.5
401,2006-01-10,.7,-1,2341,3.6,1444,.5,5.1,1.1,281.9
401,2006-01-11,-.2,-4.4,800,4,1448,0,4.1,.8,302.7
401,2006-01-12,1.8,-2.7,606,6,1425,8.5,5.2,1.1,69.9
401,2006-01-13,5.1,3.1,1,6.7,1521,30.5,5.8,1.2,96.4
401,2006-01-14,5.5,2.7,556,10.9,1527,0,5.3,1,27.9
401,2006-01-15,4.7,1.4,2348,9.2,1440,0,4.7,.9,255.7
401,2006-01-16,2.6,0,706,4.9,1324,0,4.8,.9,262.9
401,2006-01-17,2.5,-.4,528,6.1,1443,0,3.9,1,304.8
401,2006-01-18,2.5,-.6,750,6.9,1435,0,5.3,1.1,309.4
401,2006-01-19,3.2,-.8,700,7.5,1411,0,5.6,1.2,38.9
401,2006-01-20,3.6,.3,659,8,1517,0,4.7,1.2,291.5
401,2006-01-21,1.9,-1,750,6.8,1319,0,5.9,1.5,301.1
401,2006-01-22,-2.1,-5.1,2307,.4,1357,0,11.3,2.7,304.6
401,2006-01-23,-3.5,-6.7,700,.9,1521,0,6.2,1.9,292.1
401,2006-01-24,-2,-6.8,759,2.8,1418,0,5,1.3,283
401,2006-01-25,.2,-4,731,4.1,1510,0,4.3,.9,302.7
401,2006-01-26,1.6,-1.7,746,5.1,1333,0,7,1.3,268
401,2006-01-27,2.6,-.1,518,6.8,1452,0,7.3,1.7,304.3
401,2006-01-28,2,-2.4,606,8.3,1513,0,4.6,.7,42.4
401,2006-01-29,5.1,-.4,559,10.7,1558,0,4.2,.8,272.6
401,2006-01-30,5.8,3.7,755,8.8,1534,0,5.1,1,307.5
401,2006-01-31,4.5,1.5,214,7.9,1320,2,4,1.2,303
401,2006-02-01,2.6,-1.3,2347,6.1,1517,.5,8.5,2.3,273.3
401,2006-02-02,-1.7,-7.4,2355,2.4,1522,0,9.8,2.5,294.8
401,2006-02-03,-10.7,-13,847,-7.4,1,0,8.8,2.5,265.1
401,2006-02-04,-8.2,-12,317,-4.1,1555,0,8,2.3,309
401,2006-02-05,-4.6,-9.6,730,-1,1325,0,5.4,.9,299.9
