지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
411,2002-01-01,-4.8,-7.1,2102,.5,1,0,11,3.6,303
411,2002-01-02,-9.6,-11.3,2235,-6.8,2,0,12.1,3.7,324.1
411,2002-01-03,-6.1,-11.6,128,-1.8,2333,0,4.4,1.1,270.1
411,2002-01-04,2.1,-2.5,109,6.3,1428,0,10,2.9,237.5
411,2002-01-05,-.6,-3.4,2331,1.9,1457,0,9,2.8,284.8
411,2002-01-06,.7,-5.2,532,5.3,1541,0,7.4,1.9,108.2
411,2002-01-07,-2.1,-6.8,2335,5.1,400,2.5,15,5.5,281.8
411,2002-01-08,-6.3,-7.7,2254,-3.9,1518,0,13.6,4.6,274.1
411,2002-01-09,-3.1,-7.9,244,1.3,1538,0,5.7,1.4,134.1
411,2002-01-10,3.3,.1,1,6.2,2109,0,8.2,2.8,108.7
411,2002-01-11,3.7,.6,801,7.8,1432,0,5.9,1.4,280.9
411,2002-01-12,5,1.3,710,10.2,1509,0,6.5,1.5,107.1
411,2002-01-13,7.8,3,701,11.4,1504,0,12.5,3,104.9
411,2002-01-14,11,7.2,322,14.1,1514,.5,10.3,3.1,107.4
411,2002-01-15,11.4,8.7,36,14,1613,13,8.7,1.5,305.9
411,2002-01-16,6.7,4,2354,10,47,7.5,9.1,2.6,106.2
411,2002-01-17,3.1,1.5,0,4,5,2,6,1.9,55
411,2002-01-18,2.9,-.3,516,6.5,1603,0,5.9,1.8,110.7
411,2002-01-19,5.2,3.1,342,9.8,1416,0,8.4,2.2,113.6
411,2002-01-20,2.2,.6,1840,5.4,945,8,4.8,1.2,299.2
411,2002-01-21,.2,-2.6,2352,2.4,1532,3,8.7,2.2,302.3
411,2002-01-22,-4.3,-5.5,656,-1.9,1413,0,11.3,3.9,277.4
411,2002-01-23,-3.9,-6.3,720,-.5,1625,0,8.4,3.4,306.6
411,2002-01-24,-2.7,-6,500,1.5,1456,3,6.5,1.6,285
411,2002-01-25,-2,-7,728,3.6,1457,0,4.8,1.2,119.3
411,2002-01-26,.6,-2.9,422,3.5,1636,0,4.2,1,348
411,2002-01-27,-.2,-3,2312,2,1440,0,7.5,2.6,294.2
411,2002-01-28,-2.8,-4.5,638,.8,1431,0,10.3,3.4,308.8
411,2002-01-29,-1.6,-6.5,546,3.2,1519,0,9.4,2.4,268.6
411,2002-01-30,-.4,-2.9,2327,2.8,1451,0,8.7,2.9,303.7
411,2002-01-31,-1.6,-4.9,653,2.4,1450,0,6.1,1.7,286.4
411,2002-02-01,2.1,-2.2,451,5.9,1557,0,11.3,3.2,219.2
411,2002-02-02,3.8,1,2355,7.3,1406,0,6.7,2,286.4
411,2002-02-03,3.2,-2.1,743,9.6,1445,0,5.4,1.4,281.5
411,2002-02-04,3.4,-.7,540,7.9,1500,0,4.4,1.2,149.9
411,2002-02-05,4.1,-.5,745,8.9,1413,0,5.2,1.5,314.5
411,2002-02-06,6,3.4,2358,9,1504,0,10.2,3,200.5
411,2002-02-07,4.2,.4,631,9.2,1426,0,9.3,2.5,285.4
411,2002-02-08,2,-3.1,2359,5.2,1321,0,10.2,3.2,291.7
411,2002-02-09,-1.9,-5.2,730,1.3,1506,0,10,2.9,301
411,2002-02-10,-.6,-3.5,0,2.7,1554,0,9,2.1,286.3
411,2002-02-11,-1.3,-4.7,257,3.5,1241,0,15.5,3.1,303.6
411,2002-02-12,-1.1,-4.9,701,2.8,1454,0,6.4,2,283.6
411,2002-02-13,-.1,-3.6,737,4.2,1439,0,7.5,2.4,306.3
411,2002-02-14,.5,-3.8,700,5.5,1622,0,8.1,2.3,253.9
411,2002-02-15,1.5,-2.9,642,6.5,1402,0,6.8,1.7,275.3
411,2002-02-16,3.9,.6,509,6.6,1641,0,4.3,1.4,154.1
411,2002-02-17,2.9,-1.4,2349,6.3,1604,1,13.8,3.4,272.1
411,2002-02-18,-1.5,-4.4,721,2.6,1616,0,11.5,4.7,299.5
411,2002-02-19,-.8,-5,713,3.7,1633,0,8.2,2.7,300.6
411,2002-02-20,3.2,-1.7,419,8,1531,0,8.5,2.3,237.4
411,2002-02-21,4.3,1.3,411,6.3,1201,1,4.7,1.4,106.5
411,2002-02-22,5.2,3,0,9.4,1626,0,8.4,2.1,287.7
411,2002-02-23,4.4,1,716,9.3,1517,0,6.9,2.1,306
411,2002-02-24,6,.3,540,11.5,1432,0,5.3,1.5,161.7
411,2002-02-25,5.4,2.6,600,8.5,1457,0,6.1,2,226.7
411,2002-02-26,6.5,3.4,407,11,1443,0,5.1,1.5,299.6
411,2002-02-27,7.1,4.1,246,10.3,1535,0,5,1.6,298.5
411,2002-02-28,5.7,1.7,2314,11.2,1601,0,5.6,1.9,281.9
411,2002-03-01,5.6,1,345,13.2,1648,0,4.9,1.6,296.6
411,2002-03-02,6.1,3.1,318,10.6,1517,0,6.4,2.3,291.3
411,2002-03-03,4.4,1.1,638,9.3,1403,0,7.8,2.1,253.2
411,2002-03-04,4.2,-.6,450,8.3,1441,0,5.5,1.7,265.1
411,2002-03-05,4.2,2,2309,6.5,1120,0,6.2,1.7,268.1
411,2002-03-06,2.5,-.5,2357,5.5,1642,2,12.6,4.5,288
411,2002-03-07,1.7,-2.1,645,5.9,1521,0,11.2,4,256
411,2002-03-08,4.7,.2,527,9.1,1609,0,7.9,1.6,287.7
411,2002-03-09,10.1,4.3,129,15.3,1559,0,13.8,3.8,216.7
411,2002-03-10,9,5.7,2342,13.8,1602,0,12.3,3.6,240
411,2002-03-11,7.6,3.6,335,12.2,1357,0,10.1,3.1,238.1
411,2002-03-12,9.5,5.6,442,15.4,1416,0,6.1,1.9,217.6
411,2002-03-13,11.9,6.3,541,18.5,1447,0,6.2,1.5,286.9
411,2002-03-14,11.8,9.6,0,15.7,1558,0,6.5,1.8,120.5
411,2002-03-15,9.2,6.7,2357,12.8,1519,1,10.7,3.6,231.8
411,2002-03-16,9.3,4.3,603,14.5,1417,0,10.8,3.6,235.5
411,2002-03-17,10.3,7.2,420,14.8,1449,0,13,3.9,233.1
411,2002-03-18,8.4,5.8,524,12.3,1200,0,12.5,4,224.5
411,2002-03-19,9.6,5.6,117,14.9,1503,0,11.3,3.4,242.9
411,2002-03-20,13.2,6.1,540,19,1500,0,15.7,3.4,220.1
411,2002-03-21,8.1,5.9,438,13.2,1,20.5,14.3,5.2,258.5
411,2002-03-22,7.5,5,2329,10.3,1305,0,17.6,6.1,236.7
411,2002-03-23,5.9,3.4,537,9.5,1442,0,13.5,4.7,239
411,2002-03-24,6.5,2.4,630,9.9,1404,0,10.7,2.7,240.2
411,2002-03-25,8.8,5,555,13.1,1309,0,10.5,2.5,239.5
411,2002-03-26,10.2,6.7,611,13.7,1335,0,5.5,1.5,299.3
411,2002-03-27,11.1,6.6,646,16.9,1607,0,7.9,2.1,269
411,2002-03-28,12.1,7.7,616,17.3,1444,0,9.1,1.9,244.1
411,2002-03-29,12.6,9.6,2346,17.5,1454,0,7.8,1.8,269.7
411,2002-03-30,9.4,7.1,1937,12.6,1441,11,6,1.8,287.2
411,2002-03-31,10.3,8.2,28,14.5,1409,0,7.5,1.9,219.9
411,2002-04-01,13.4,6,515,19.5,1527,0,8.7,1.9,245.3
411,2002-04-02,15.5,9.1,606,22.8,1630,0,6,1.4,235.9
411,2002-04-03,16,10.3,546,21.6,1552,0,11.7,2.9,103.4
411,2002-04-04,15.9,10.8,409,22.6,1330,0,7.4,2,277.5
411,2002-04-05,18.6,11.3,345,26.2,1516,1.5,13.1,2.7,156.4
411,2002-04-06,12,9.3,0,14.8,1149,17.5,17.3,4.5,110.2
411,2002-04-07,9.8,8.6,216,12.1,1256,0,6.4,2.5,302.5
411,2002-04-08,,,,,,0,,,
411,2002-04-12,,,,,,8,,,
411,2002-04-13,12.9,6.7,559,17.1,1556,0,8.9,3,223.9
411,2002-04-14,20,15.7,554,23.6,1213,0,20,5.3,199.3
411,2002-04-15,20.8,17.5,2300,25,1659,0,9.4,3,190.1
411,2002-04-16,15.1,11.1,1611,19.4,5,17.5,13.5,3.7,234.3
411,2002-04-17,11.1,9.2,2355,13.4,1332,0,16.3,6,241.9
411,2002-04-18,12.8,8.2,342,17.1,1606,0,10.4,3.1,239.9
411,2002-04-19,13.4,9.2,544,18.8,1237,0,8.3,1.9,296.5
411,2002-04-20,15,8,517,22.4,1418,0,6.6,1.8,299.1
411,2002-04-21,17.6,10.7,515,23.9,1359,0,6.6,1.6,299.1
411,2002-04-22,20.7,13.4,347,26.9,1553,0,6.2,1.9,292.8
411,2002-04-23,17.5,13.6,2126,22.5,1514,0,9.4,2.8,276.2
411,2002-04-24,11.6,8.1,2348,14.4,1418,0,12.2,4.1,303.4
