지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
421,2001-01-01,-4.6,-9,544,-.7,1922,0,6.5,2.1,90.9
421,2001-01-02,-4.1,-8.7,2348,-.5,619,0,10.8,3,107.1
421,2001-01-03,-7.9,-9.6,2357,-4.7,1431,0,11,3,108.9
421,2001-01-04,-9.1,-12.2,735,-5.8,1459,0,10.1,3,110.3
421,2001-01-05,-6.7,-10.9,712,-3.1,1349,0,5.2,1.5,111.7
421,2001-01-06,-3,-8.8,619,.9,2353,0,6.2,2.2,3.1
421,2001-01-07,.6,-.8,637,1.8,1856,16.5,11.9,5.1,2.9
421,2001-01-08,2.2,-.1,751,5,1413,0,8.8,3.9,2.5
421,2001-01-09,-.1,-5.4,2333,3,407,9,13.6,2.8,102.2
421,2001-01-10,-4.5,-8.6,730,-.7,1350,0,9.9,2.3,91.6
421,2001-01-11,-7.4,-13.9,0,-1.9,214,0,11.5,3.6,106.7
421,2001-01-12,-10.4,-14.7,612,-6.8,1417,0,10.8,1.9,101.5
421,2001-01-13,-9.8,-14.2,2357,-5.7,1301,0,12.6,2.9,101.1
421,2001-01-14,-14.7,-17.4,2337,-10.7,1414,0,13.6,3.6,110.4
421,2001-01-15,-15.2,-18.1,513,-11.9,1413,0,9,3,90.1
421,2001-01-16,-13,-16.7,638,-9.1,1531,0,9.1,2.4,97.2
421,2001-01-17,-8.1,-14.6,725,-3.3,1612,0,4.3,1.5,.5
421,2001-01-18,-.8,-3.9,1,3,1346,0,3.8,1.1,38.1
421,2001-01-19,.3,-3.8,308,4.2,1352,0,4.1,1.3,35.3
421,2001-01-20,.9,-1.8,2347,3.9,1409,.5,7.7,1.8,83.8
421,2001-01-21,-1.4,-3.6,607,1.8,1401,0,6.4,1.8,35.6
421,2001-01-22,-1,-4.4,654,2.8,1521,0,6.1,1.5,36.5
421,2001-01-23,-2.2,-5.5,747,2.5,1428,0,4.8,1.8,33
421,2001-01-24,.2,-5.3,533,4.8,1408,0,4.4,1.4,.1
421,2001-01-25,3.3,0,759,7,1507,0,11.9,2.8,11.6
421,2001-01-26,1.7,.5,533,3.3,1244,0,12.3,5,2.6
421,2001-01-27,.3,-1.5,529,2.8,1432,1,9.9,3.3,3.7
421,2001-01-28,-2.5,-6.3,2359,1.3,114,0,14.1,3.7,96.1
421,2001-01-29,-2.2,-7.1,354,2.8,1401,0,12.4,2.1,95.5
421,2001-01-30,-.2,-3.7,639,3.4,1333,0,5.8,1.7,89.5
421,2001-01-31,-.3,-2.7,451,2.5,2231,4.5,9.2,1.6,109.6
421,2001-02-01,-5.2,-8.1,2358,1.1,1,0,12.7,3.7,111.9
421,2001-02-02,-4.5,-10.1,715,-.7,2148,0,8.6,1.9,91.6
421,2001-02-03,.6,-3.1,704,4.7,1529,0,6.2,1.9,92.8
421,2001-02-04,1.8,-1.2,738,6.3,1520,0,5.7,1.9,84
421,2001-02-05,2.2,-1.6,643,6.5,1434,0,6.6,1.9,30.3
421,2001-02-06,3,0,719,7.6,1529,0,6,1.8,87
421,2001-02-07,-1.8,-7.4,2341,1.9,1,0,11.5,3.6,96.8
421,2001-02-08,-4.4,-8.5,629,-.4,1534,0,9.8,3,100.3
421,2001-02-09,-.7,-4.6,536,4.4,1435,0,13.1,3,101.6
421,2001-02-10,-.6,-4.2,705,2.1,1514,0,7.3,2,112.5
421,2001-02-11,-2.9,-5.6,723,1.3,1438,0,8.8,3.8,33.4
421,2001-02-12,-3.6,-6.4,623,0,1507,0,8,3,105
421,2001-02-13,-3.4,-6,715,.9,1409,0,10.4,3.1,96.9
421,2001-02-14,-2.8,-5.7,715,.3,1515,0,10.5,2.8,97.1
421,2001-02-15,-2.8,-4.2,2358,0,1649,6.5,11.1,2.3,85.5
421,2001-02-16,-5.7,-8,729,-2.6,1417,3,9.8,2.8,91.3
421,2001-02-17,-2.5,-7.2,19,1.2,1540,2,4.4,1.1,79.2
421,2001-02-18,2.6,-1,459,6.5,1413,3,3.6,.8,3.2
421,2001-02-19,4,1.6,2316,7.4,1436,0,8.1,2.3,104.9
421,2001-02-20,3.8,-1.9,701,10.7,1516,0,4,1,95.4
421,2001-02-21,5.8,2.5,34,10,1529,0,7.9,1.9,103.1
421,2001-02-22,6.4,1.3,824,13.2,1501,0,5.6,1.7,98.7
421,2001-02-23,3.5,.7,2226,6.6,1101,4.5,12.4,3.6,6.7
421,2001-02-24,.3,-1.7,2358,2.1,1547,2.5,10.9,3.5,77.7
421,2001-02-25,0,-3.9,701,4.1,1556,0,10.1,3.2,85.9
421,2001-02-26,2.3,-3.2,558,7.6,1516,0,8.6,1.8,95.8
421,2001-02-27,3.1,-1.2,451,8.8,1459,8,11.3,1.4,88.5
421,2001-02-28,3.6,.9,624,7,1512,1,8,2.2,33.1
421,2001-03-01,4.9,1.8,554,8.8,1549,0,10.1,2.5,99
