지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
423,2009-01-01,-5.7,-9.6,721,-1.9,1548,0,6.7,1.7,332.1
423,2009-01-02,-3.7,-7.8,516,1.7,1553,0,4.7,.5,322.3
423,2009-01-03,-1.7,-6.9,538,4.8,1527,0,3.8,.3,318.4
423,2009-01-04,-.3,-4.5,740,5.2,1458,0,6.8,.6,336.6
423,2009-01-05,-2,-5.3,647,2.1,1441,0,6.8,.6,236.6
423,2009-01-06,-2.6,-6.9,653,2.5,1331,0,3.7,.2,330.4
423,2009-01-07,-1.6,-6.6,759,4.4,1439,0,4.7,.4,341.7
423,2009-01-08,-2,-6.1,739,3.1,1615,0,5.3,.7,329.6
423,2009-01-09,-3.5,-6.6,2358,.1,1432,0,7.8,.9,321.3
423,2009-01-10,-6.9,-9.4,723,-3.6,1533,0,7.4,1.7,327.2
423,2009-01-11,-7.7,-11.2,736,-3.4,1339,0,9.6,1.7,312.7
423,2009-01-12,-7.3,-10.8,449,-2.7,1354,0,10.3,2.6,266.8
423,2009-01-13,-5.2,-10.1,727,-1,1507,0,6.7,1.4,205.2
423,2009-01-14,-6.4,-9.7,2358,-3,1534,0,10.1,2.7,327.4
423,2009-01-15,-6.3,-12.1,722,-.7,1533,0,5.5,1.4,227.8
423,2009-01-16,-2.2,-4.5,246,2,1443,.5,4.6,.9,211.8
423,2009-01-17,-.4,-4.5,753,3.6,1530,0,5.2,1.8,85.5
423,2009-01-18,2.8,.1,818,7.6,1339,0,7.6,2,253.7
423,2009-01-19,.3,-4.6,719,5.6,1448,0,7.6,1.6,253.7
423,2009-01-20,2,-3.8,750,7.9,1413,0,4.9,1.2,330.8
423,2009-01-21,3.6,1.3,217,6.8,1501,0,5.6,1.2,251.4
423,2009-01-22,3.8,-1.9,2341,9.3,1533,0,11,2.8,288
423,2009-01-23,-8.5,-10.9,2212,-1.9,1,0,12.5,3.6,301
423,2009-01-24,-8.2,-12.1,332,-4.2,1305,1,12.5,1.7,301
423,2009-01-25,-4.9,-11.5,702,1.8,1550,.5,11.5,2.3,224.2
423,2009-01-26,-3.4,-7.3,715,1.8,1515,0,7.7,1.5,279.5
423,2009-01-27,-1.9,-8,535,4.5,1457,0,5.5,1.2,219.5
423,2009-01-28,1.6,-3.4,8,7.9,1415,0,4.8,1.4,231.9
423,2009-01-29,2.9,-1.8,650,8,1612,0,4.2,1.5,96.8
423,2009-01-30,4.7,-1.8,422,12.2,1507,0,10.2,3.2,85.2
423,2009-01-31,5.1,.5,421,11.2,1421,0,7.3,2.5,98.9
423,2009-02-01,5.1,.6,214,11.1,1404,0,6.3,1.8,84.1
423,2009-02-02,4.7,.2,417,9.2,1327,0,6.3,1.1,84.1
423,2009-02-03,4.9,1,2355,11,1410,0,5.8,1.2,79.8
