지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
401,2015-01-01,-6.6,-8.5,751,-4,1500,0,,0,7.8,820,2.6,286.9
401,2015-01-02,-4.6,-7.2,8,-2,1445,0,,0,7.9,1310,1.9,286.9
401,2015-01-03,-2,-8.4,723,2.6,1523,0,,0,4.4,1527,.9,286.9
401,2015-01-04,3.1,.9,545,7.8,1510,0,,0,2.8,817,.5,47.8
401,2015-01-05,4.1,-.6,444,8.8,1439,.5,2400,.5,3.6,1259,.8,61.9
401,2015-01-06,-2.2,-6.1,2320,4.5,1,1,200,2,8.7,800,2.7,236.3
401,2015-01-07,-4.2,-6.5,700,-1.3,1441,0,,0,5,912,1.6,267.2
401,2015-01-08,-3.5,-6.3,638,-.5,1519,0,,0,4.9,1705,1.5,202.5
401,2015-01-09,-1.1,-5.7,627,3.1,1519,0,,0,4.5,1510,1.2,250.3
401,2015-01-10,.9,-4.6,808,4.9,1436,0,,0,5.9,1543,1.2,272.8
401,2015-01-11,.7,-2.6,2346,3.9,400,0,,0,8,800,2.1,261.6
401,2015-01-12,-1.4,-5.4,847,2.7,1354,0,,0,4.2,43,1.1,250.3
401,2015-01-13,.9,-3.8,521,6.1,1456,0,,0,3.2,1058,.6,53.4
401,2015-01-14,3.7,1,846,6.5,1434,0,,0,2.7,1554,.7,303.8
401,2015-01-15,4,.8,854,8.6,1425,0,,0,5.3,1750,1,261.6
401,2015-01-16,1.8,-1.3,2304,4,1247,0,,0,8,1649,2.1,253.1
401,2015-01-17,-2.8,-6,752,-.1,1444,0,,0,7.4,32,2,281.3
401,2015-01-18,-.4,-4.8,432,3.2,1352,1,2300,3,6.3,2227,1.2,272.8
401,2015-01-19,1.1,-2.1,2351,4,1302,.5,200,.5,7.5,115,2.2,292.5
401,2015-01-20,.1,-4.5,737,4.4,1506,0,,0,3.5,1238,.6,47.8
401,2015-01-21,3.4,-.2,755,6.6,1529,0,,0,3,1124,.7,59.1
401,2015-01-22,4.2,1.8,836,7.1,1519,0,,0,3.4,1332,.9,295.3
401,2015-01-23,2.2,-.6,651,4.9,1622,0,,0,5.1,1742,1.1,261.6
401,2015-01-24,4.6,2.3,738,8,1400,0,,0,5.3,1300,1.1,270
401,2015-01-25,3.6,1.7,606,5.9,1325,.5,1800,3,4.2,1915,1.1,90
401,2015-01-26,4.3,1.6,2217,6.9,1605,.5,300,.5,6.3,1930,1.4,272.8
401,2015-01-27,-2.6,-5.6,2355,1.6,1,0,,0,5.5,2003,2.2,320.6
401,2015-01-28,-2.9,-7.1,532,2.2,1457,0,,0,4.3,1700,1.2,253.1
401,2015-01-29,.1,-2.6,32,3.2,1552,0,,0,4,2258,1,317.8
401,2015-01-30,-2,-5.1,2300,.8,1436,0,,0,6.6,1000,2,267.2
401,2015-01-31,-3.3,-6.3,702,.3,1525,0,,0,5,122,1.5,295.3
401,2015-02-01,-1.5,-5.2,443,3.7,1526,0,,0,3.7,1748,1.3,267.2
401,2015-02-02,.3,-3.6,617,5.6,1518,0,,0,3.6,1850,.8,236.3
401,2015-02-03,1.4,-2.8,610,6.5,1335,0,,0,4.9,1540,1,174.4
401,2015-02-04,1.3,-2.6,719,5.6,1450,0,,0,4.9,1835,1.1,225
401,2015-02-05,1.2,-1.6,631,4.8,1446,0,,0,5.1,1832,1.5,270
