지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
411,2021-01-01,-3.8,-8.7,208,1.1,1427,0,7.7,1534,2.1,281.3
411,2021-01-02,-5,-8,736,-.8,1440,0,10.2,1415,3.3,300.9
411,2021-01-03,-5.3,-8.4,453,-1.3,1353,0,7.7,1406,2.6,317.8
411,2021-01-04,-2.9,-6.9,452,.5,1257,0,6.4,2229,2,326.3
411,2021-01-05,-5.6,-9.9,2310,-2.3,140,0,11.1,1224,3.7,315
411,2021-01-06,-7.4,,,,,0,,,,
411,2021-01-07,-14.4,-16.5,803,-9.1,1,0,15.9,120,5.7,
411,2021-01-08,-14.8,-18.8,750,-10.4,1337,0,11.9,1345,4.4,323.4
411,2021-01-09,-11.8,-16,11,-7.5,1323,0,11.5,1708,3.1,306.6
411,2021-01-10,-7.1,-11.9,12,-2.9,1431,0,5.3,1110,1.2,129.4
411,2021-01-11,-6,-8.8,313,-3.5,1507,0,5.6,157,1.4,326.3
411,2021-01-12,-3,-7.4,557,.2,1252,0,5.9,1011,1.9,120.9
411,2021-01-13,2.6,-1.9,417,8.3,1433,0,9.7,1530,3.2,216.6
411,2021-01-14,2.4,-3,731,6.6,1535,0,7.9,50,2.6,300.9
411,2021-01-15,4.9,-1.3,2356,10.7,1130,0,10.4,1243,3.6,205.3
411,2021-01-16,-5.2,-9.1,2347,-1.4,1,0,9.9,1905,4,300.9
411,2021-01-17,-5.4,-10.1,641,-1,1423,0,7,146,2.4,303.8
411,2021-01-18,-3.3,-9.4,2347,.7,1341,0,21.2,1709,4,298.1
411,2021-01-19,-6,-11.3,505,-1.4,1505,0,8.1,120,1.8,334.7
411,2021-01-20,1.1,-5.4,615,7,1445,0,7.5,735,2.3,75.9
411,2021-01-21,4.5,3.3,39,7.5,1232,8,6.5,535,2.5,73.1
411,2021-01-22,5.3,4.3,414,6,1238,0,4.9,2152,1.3,78.8
411,2021-01-23,7.9,5.1,1,11.9,1436,0,11.9,1926,4.4,73.1
411,2021-01-24,7.9,3.7,738,13.2,1346,0,9.2,20,2.3,67.5
411,2021-01-25,8.6,4.9,529,13.5,1522,0,8.7,1508,2.1,120.9
411,2021-01-26,5.3,1.6,0,7.7,14,1,8.3,1945,2.3,317.8
411,2021-01-27,2,-.7,704,6.6,1459,0,9.5,1411,2.7,298.1
411,2021-01-28,-2.2,-9.9,0,2.8,1327,1.5,21.8,1729,5.3,286.9
411,2021-01-29,-8.3,-11.5,540,-4.9,1550,0,14.3,11,4.4,298.1
411,2021-01-30,-1.2,-6.6,1,5.1,1347,0,11.1,1348,2.9,267.2
411,2021-01-31,4.4,-2.2,727,9.3,1545,0,7.2,1148,2.5,109.7
411,2021-02-01,5,-2.9,2359,10.1,1317,.5,14.9,2324,3.2,286.9
411,2021-02-02,-5.5,-8.3,709,-2.1,1452,0,12.8,23,5.1,289.7
411,2021-02-03,-2.8,-8.8,220,2.3,1314,3,8.9,17,2.4,300.9
411,2021-02-04,-3.4,-7.6,730,.3,36,0,11.5,413,3.3,281.3
411,2021-02-05,2.3,-3,1,7.6,1450,0,8.7,1635,2.4,225
411,2021-02-06,6.7,3.9,127,10.6,1321,0,7,1616,2.3,196.9
411,2021-02-07,3,-2.7,2343,7.5,1337,0,11.3,2027,3.6,284.1
411,2021-02-08,-3,-5.4,715,.8,1516,0,13.2,1451,4.6,284.1
411,2021-02-09,-.3,-5,254,4.3,1346,0,8.1,1426,2.3,289.7
411,2021-02-10,3.7,.1,226,8.4,1357,0,6.4,1457,1.9,250.3
411,2021-02-11,5.7,2.7,538,10.6,1317,0,4.8,1222,1.3,75.9
411,2021-02-12,7.1,2.6,627,13.1,1446,0,5.2,1641,1.6,264.4
411,2021-02-13,7.9,1.9,715,14.9,1327,0,6.2,1536,1.6,278.4
411,2021-02-14,9.6,6.8,803,14.5,1120,0,4.8,2349,1.6,281.3
411,2021-02-15,.9,-5.2,2350,7.4,22,.5,13.9,1152,4.6,286.9
411,2021-02-16,-4.9,-7,2344,-1.6,1536,.5,14.9,2329,4.1,306.6
411,2021-02-17,-8.2,-10.4,712,-5,1350,0,16,1402,6.8,278.4
411,2021-02-18,-5.5,-10.5,459,-.3,1511,0,12.1,145,4.4,306.6
411,2021-02-19,2.1,-5.9,146,9.7,1440,0,10.8,1535,2.8,202.5
411,2021-02-20,9.1,4.9,147,14.7,1446,0,6.7,1318,1.8,284.1
411,2021-02-21,11.7,6.5,358,18.5,1358,0,10.2,1750,3.1,202.5
411,2021-02-22,7.8,.2,2345,13.5,1249,0,13.3,1931,4,292.5
411,2021-02-23,.1,-3.2,639,4.8,1431,0,9.5,57,4,326.3
411,2021-02-24,2.8,-2.3,333,8.9,1528,0,5.8,143,1.9,326.3
411,2021-02-25,4.6,1.2,558,8.4,1533,0,4.1,1604,1.2,315
411,2021-02-26,8.8,1.3,613,15.9,1326,0,8.7,1540,2.1,98.4
