지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
403,2015-01-01,-6.7,-8.7,732,-3.7,1605,0,,0,11.7,29,3.8,331.9
403,2015-01-02,-4.6,-7.5,805,-1.3,1515,0,,0,8.2,1319,2.2,270
403,2015-01-03,-1.4,-7.6,708,3.7,1516,0,,0,4.4,947,1.2,163.1
403,2015-01-04,3.4,.7,529,7.9,1455,0,,0,3.9,1234,1,351.6
403,2015-01-05,4.1,-.7,528,8.6,1545,.5,2400,.5,4.3,1446,1.1,118.1
403,2015-01-06,-1.7,-5.5,2305,5,12,1,200,3,8.4,908,2.9,320.6
403,2015-01-07,-3.7,-6.6,805,.1,1548,0,,0,6.2,737,1.9,289.7
403,2015-01-08,-3.3,-7.1,742,.8,1602,0,,0,5.4,1452,1,329.1
403,2015-01-09,-.8,-5.8,715,3.7,1620,0,,0,5.1,2306,1.2,284.1
403,2015-01-10,1.2,-3.6,747,5.4,1533,0,,0,6.4,1421,1.3,275.6
403,2015-01-11,.7,-2.3,2346,3.4,558,0,,0,7.6,1907,2.4,317.8
403,2015-01-12,-1,-4.8,806,3.6,1539,0,,0,4.9,224,.6,295.3
403,2015-01-13,.8,-4.4,553,6.2,1518,0,,0,3.1,1356,.2,345.9
403,2015-01-14,3.7,.4,522,6.8,1348,0,,0,3.2,641,.3,115.3
403,2015-01-15,4.4,1.6,651,9,1531,0,,0,4.5,1505,.8,345.9
403,2015-01-16,1.8,-1.3,2238,4.5,1309,0,,0,8.9,2056,2.2,289.7
403,2015-01-17,-2.4,-5.9,838,.8,1451,0,,0,8.8,125,2.5,312.2
403,2015-01-18,-.6,-4.7,510,3,1536,1,2300,1.5,5.4,1435,1.5,239.1
403,2015-01-19,1.5,-2,2346,4,1328,.5,200,1.5,7.1,1508,2.1,343.1
403,2015-01-20,0,-4.9,745,4.5,1549,0,,0,3.3,1447,.7,8.4
403,2015-01-21,3.4,-.1,625,6.7,1428,0,,0,3.1,1149,.8,334.7
403,2015-01-22,4.5,2.3,443,7.8,1530,0,,0,3.5,1211,1,281.3
403,2015-01-23,2.3,-.4,808,5.2,1638,0,,0,5.1,1320,1.2,210.9
403,2015-01-24,4.6,2.1,737,8.7,1424,0,,0,5.4,1357,1.1,337.5
403,2015-01-25,3.5,1.2,534,5.9,1342,1,1900,4.5,5,1349,.9,163.1
403,2015-01-26,4.4,1.5,2240,7.2,1436,.5,400,1,6.7,1958,1.2,286.9
403,2015-01-27,-1.9,-5.1,2321,1.8,4,0,,0,6,37,2.1,300.9
403,2015-01-28,-2.7,-7.2,751,2.7,1512,0,,0,4.8,415,1.5,292.5
403,2015-01-29,.2,-3.4,438,3.6,1636,0,,0,4.7,2313,.8,284.1
403,2015-01-30,-1.8,-4.9,2254,1.6,1352,0,,0,7.6,2024,2.5,340.3
403,2015-01-31,-2.8,-6.4,730,1.3,1626,0,,0,4.9,302,1.7,298.1
403,2015-02-01,-1.2,-5.6,751,3.5,1610,0,,0,4.8,1741,1.1,5.6
403,2015-02-02,.6,-4,700,6.8,1543,0,,0,4.2,1859,.6,281.3
403,2015-02-03,1.7,-2.5,700,7.2,1450,0,,0,4,1632,.7,320.6
403,2015-02-04,1.9,-1.9,725,6.9,1441,0,,0,4.9,1642,1.3,340.3
403,2015-02-05,1.6,-1.4,722,5.4,1457,0,,0,5.7,1614,1.5,351.6
403,2015-02-06,2,-2.6,746,6.8,1535,0,,0,5,1555,1.3,323.4
403,2015-02-07,2.4,-.9,2359,6.3,1551,0,,0,8.9,2304,1.5,351.6
403,2015-02-08,-8.5,-11,806,-1,1,0,,0,11.3,729,4.1,275.6
403,2015-02-09,-4,-10.4,327,1,1421,0,,0,6.6,1857,1.9,343.1
403,2015-02-10,3.2,-.3,44,7,1425,0,100,0,7.2,1454,1.2,236.3
403,2015-02-11,4.1,1.2,2355,7.4,1342,0,,0,6.4,2343,1.3,320.6
403,2015-02-12,-.9,-2.9,750,1.7,1507,0,,0,9.9,1908,3.4,289.7
403,2015-02-13,0,-3.4,553,4.1,1451,0,,0,6.8,1055,1.6,357.2
403,2015-02-14,2.8,-1.8,622,6.8,1948,0,,0,4.8,1411,1.1,160.3
403,2015-02-15,8.3,4,713,13.2,1441,0,,0,4.5,1303,.8,168.8
403,2015-02-16,6.1,4.8,2305,10,6,1.5,1900,9.5,4.7,457,1.5,50.6
403,2015-02-17,3.2,2.2,850,5.5,11,0,,0,6.7,711,1.9,14.1
403,2015-02-18,2.2,.8,605,3.8,1251,0,,0,4.9,1726,1.6,334.7
403,2015-02-19,3.5,-1,720,8.5,1443,0,,0,4.6,1919,.5,241.9
403,2015-02-20,5.8,-.4,655,11.1,1512,0,,0,4.1,1338,.7,154.7
403,2015-02-21,6.6,5.4,1346,7.8,107,2,1400,8,4.9,954,.8,163.1
403,2015-02-22,4.8,.8,2331,8,522,.5,100,2.5,6.9,1749,1.5,320.6
403,2015-02-23,2.2,-.7,556,5.9,1547,0,,0,6.5,141,1.8,295.3
403,2015-02-24,3.5,1,627,7.2,1555,0,,0,5.5,1405,1.2,292.5
403,2015-02-25,6.2,1.3,803,12.5,1621,0,,0,6.8,1911,1.4,284.1
403,2015-02-26,2.1,-2.4,2230,5.8,207,.5,100,1,9.8,2116,2.9,320.6
403,2015-02-27,-.4,-4.5,704,3.4,1558,0,,0,8.5,420,2.5,295.3
403,2015-02-28,3.9,-.8,417,7.2,1544,0,,0,4.8,1334,.6,126.6
403,2015-03-01,3.6,1.6,807,6.5,1442,0,,0,7.5,1255,2.4,351.6
403,2015-03-02,4.9,-.7,640,10.9,1537,0,,0,5.2,1755,1.2,295.3
403,2015-03-03,3.6,-.3,2357,7.6,1401,1,1700,3.5,9.6,2308,2.1,320.6
403,2015-03-04,-1.1,-3.4,635,1.9,1518,0,,0,10.7,1312,3.9,272.8
403,2015-03-05,1,-2.7,546,5.4,1600,0,,0,4.5,15,.8,272.8
403,2015-03-06,3.8,-2,714,9.4,1556,0,,0,5.2,1547,.8,354.4
403,2015-03-07,5.4,-.7,629,11.6,1611,0,,0,4.9,1941,.9,261.6
403,2015-03-08,8.7,1.7,743,15.8,1455,0,,0,4.4,1737,.7,270
403,2015-03-09,3.2,-4.5,2355,10.2,11,0,,0,12.3,2342,3.5,312.2
403,2015-03-10,-2.8,-6,721,.7,1539,0,,0,11.5,527,4.5,292.5
403,2015-03-11,2,-2.5,731,8.1,1521,0,,0,9.2,1953,2.6,312.2
403,2015-03-12,3.3,-.8,627,7.6,1505,0,,0,7,8,2.1,306.6
403,2015-03-13,6.4,2.9,724,10.8,1425,.5,400,.5,7.8,1631,1.8,281.3
403,2015-03-14,5.7,1.4,719,11.4,1537,0,,0,5.6,1650,1.4,191.3
403,2015-03-15,6.8,1.6,654,13.1,1531,0,,0,4.6,1311,,300.9
403,2015-03-16,10.4,2.3,538,18,1604,0,,0,4.1,1726,,309.4
403,2015-03-17,11.6,7.3,705,16.8,1506,0,,0,5.3,1752,.5,317.8
403,2015-03-18,11.5,9.4,2340,14.6,1147,.5,1600,2,6,2028,1.4,30.9
403,2015-03-19,13.4,7.8,631,21.2,1609,0,,0,5.8,1802,.8,320.6
403,2015-03-20,14.6,8.9,529,21.8,1336,0,,0,5.9,1532,.8,351.6
403,2015-03-21,13.1,8.3,555,17.9,1500,0,,0,5.7,1339,1.1,281.3
403,2015-03-22,9.2,4.1,2355,15.1,1339,0,,0,10.4,1504,2.4,340.3
403,2015-03-23,5.8,2.7,539,10.5,1454,0,,0,10.2,1621,3.3,329.1
403,2015-03-24,6.7,1.8,630,12.4,1424,0,,0,7,1500,1.1,343.1
403,2015-03-25,7.6,1.5,646,14.7,1519,0,,0,5.4,1617,1.3,171.6
403,2015-03-26,8.9,2.6,634,15.6,1613,0,,0,6,1520,1.4,275.6
403,2015-03-27,10.1,3.9,654,16.5,1347,0,,0,6.1,1319,,326.3
403,2015-03-28,10.8,4.1,712,16.8,1425,0,,0,6.3,1346,1.3,331.9
403,2015-03-29,11.6,8.8,506,17,1527,0,,0,4.6,1350,1,343.1
403,2015-03-30,14.2,7.3,616,21.7,1355,0,,0,5.4,1345,.7,216.6
403,2015-03-31,13.6,11.6,447,15.8,1103,1.5,2200,2.5,4,1225,.4,151.9
403,2015-04-01,13.4,11.1,852,18.4,1600,1,200,1.5,6.3,944,1.6,75.9
403,2015-04-02,15.7,10.1,156,21.2,1450,24,2200,39,11.3,2316,2.6,255.9
403,2015-04-03,11.8,7.6,819,16.7,1,4,100,5.5,6.7,9,.9,182.8
403,2015-04-04,13.9,10.1,618,19,1420,0,,0,6.4,1032,1.6,126.6
403,2015-04-05,10.9,9.3,1125,12.8,3,.5,1400,1,4.4,1002,1,56.3
403,2015-04-06,11.4,9,2301,16.5,1411,0,,0,6.8,1628,1,323.4
403,2015-04-07,9.4,6.9,2346,12.8,1407,0,100,0,5.1,1537,1.1,14.1
403,2015-04-08,9.3,5.4,638,14.7,1430,0,,0,5.8,1810,1.5,250.3
403,2015-04-09,10.6,6.1,530,16.3,1547,0,,0,5.1,1841,.9,272.8
403,2015-04-10,12.9,6.4,545,19.7,1559,0,,0,6.2,1816,1,306.6
403,2015-04-11,14.1,7.1,613,20.5,1539,0,,0,6.3,1647,1.4,309.4
403,2015-04-12,15.3,10,630,20.6,1539,0,,0,6.8,2339,1.3,56.3
403,2015-04-13,12.2,7.9,2336,17.5,1225,1.5,2200,3.5,7.6,1806,2.5,73.1
403,2015-04-14,7.6,6.6,2315,8.9,618,2.5,800,10,4.7,1105,1,92.8
403,2015-04-15,11.9,5.8,331,17.9,1700,1,300,2,5.6,1356,.8,340.3
403,2015-04-16,11.4,9.2,1554,16.2,1101,2.5,1500,4.5,8.8,1154,1.6,225
403,2015-04-17,11.9,6.4,547,17.4,1407,0,,0,6.9,1310,1.7,284.1
403,2015-04-18,16.1,6.7,604,24,1546,0,,0,3.7,1407,.5,146.3
403,2015-04-19,14.7,11.7,2313,18.8,13,3.5,1200,11.5,5.4,2259,1.3,22.5
403,2015-04-20,12.6,11,353,16.5,1645,1.5,300,6,6.4,103,1.6,22.5
403,2015-04-21,14.7,8.6,554,22.1,1318,0,,0,5.7,1649,1,222.2
403,2015-04-22,15.3,10.9,254,21.2,1550,0,,0,7.4,1717,1.7,275.6
403,2015-04-23,15.5,8.8,511,21.6,1439,0,,0,7.1,1336,1.7,312.2
403,2015-04-24,16.9,12.8,619,23.6,1620,0,,0,7.1,1848,1.6,320.6
403,2015-04-25,16.8,9.9,614,23.9,1521,0,,0,5.8,1500,1.3,202.5
403,2015-04-26,19,11.6,538,26.4,1507,0,,0,6.1,1711,1.1,250.3
403,2015-04-27,19.8,14.7,613,26.4,1311,0,,0,6.3,1422,1.4,278.4
403,2015-04-28,20.7,13.3,550,26.8,1323,0,,0,4.4,2353,.9,219.4
403,2015-04-29,17.7,15.8,922,19.6,1,1,800,4,4.2,1137,1.1,357.2
403,2015-04-30,21.8,16,606,29,1627,0,,0,5.1,1752,1,5.6
403,2015-05-01,21.6,16.8,627,27.5,1533,0,,0,6.3,1317,1.5,326.3
403,2015-05-02,21.6,17.3,542,25.7,1436,.5,2300,1,5.4,1535,1,306.6
403,2015-05-03,18.6,17.5,534,19.8,9,1.5,500,3.5,4,729,.7,19.7
403,2015-05-04,17.1,14.3,553,20.6,1212,0,,0,11,1338,2.4,258.8
403,2015-05-05,15.3,9.7,512,20.9,1402,0,,0,6.5,1234,1.7,289.7
403,2015-05-06,16.7,11.1,327,23.3,1622,0,,0,4.3,1103,1.2,163.1
403,2015-05-07,17.6,12.4,637,25.4,1347,0,,0,9.3,1642,1.1,317.8
