지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
419,2001-01-01,-6,-10.7,548,-1.9,2350,0,5.8,2,82.2
419,2001-01-02,-6.1,-11.2,0,-1.6,113,0,15.1,4.4,304.3
419,2001-01-03,-10.4,-12.4,2357,-6.7,1425,0,12.6,3.4,285
419,2001-01-04,-11.7,-14.6,652,-8.1,1607,0,12.5,3.6,296
419,2001-01-05,-8.5,-12.1,354,-4.2,1510,0,7,1.6,302.3
419,2001-01-06,-5,-10.4,714,-1.1,2316,0,9.1,3.5,54.2
419,2001-01-07,-1.1,-4,1418,-.5,1500,2.5,16.4,7.1,71.7
419,2001-01-08,0,-1.7,807,3,1445,5,12.2,6.1,35
419,2001-01-09,-2,-8.1,2333,1.3,645,1,12.4,3.8,299.5
419,2001-01-10,-6.7,-11,435,-3.2,1408,2.5,9,1.9,300
419,2001-01-11,-10.1,-16.7,2347,-4.2,150,0,15.4,3.7,306.7
419,2001-01-12,-12.4,-17.1,46,-9.2,1300,0,10.3,2,29.3
419,2001-01-13,-12.2,-17.1,2348,-8,1310,0,10.7,3.3,294.6
419,2001-01-14,-17.6,-20.2,2358,-13.2,1433,0,14.6,4.2,297.9
419,2001-01-15,-17.9,-20.9,627,-14.3,1520,0,10.4,3.4,282.3
419,2001-01-16,-15,-17.7,351,-11.6,1609,0,9.9,2.8,334.4
419,2001-01-17,-9.9,-16.5,620,-5.1,1823,0,5.7,2,80
419,2001-01-18,-1.8,-7.1,947,1.3,1322,.5,5.3,1.5,74.7
419,2001-01-19,-.9,-3.8,930,2.2,1340,.5,6.1,3.1,83.8
419,2001-01-20,-1.2,-3.7,0,1.7,1257,1.5,8.6,2.8,293.3
419,2001-01-21,-3,-5,643,-.1,1415,0,8.1,2.4,31.5
419,2001-01-22,-2.4,-4.8,747,1.3,1508,0,6.5,2.1,310.9
419,2001-01-23,-3.6,-7.9,750,.3,1444,0,6.4,2.1,322.5
419,2001-01-24,-.9,-4.9,418,2.8,1616,0,8.5,4.3,77.7
419,2001-01-25,1.6,-1.3,905,6,1457,0,15.9,4.1,22.1
419,2001-01-26,,,,,,0,,,
419,2001-01-28,,,,,,0,,,
419,2001-01-29,-4,-8.7,657,1.5,1357,0,9.5,2.6,225.1
419,2001-01-30,-1.8,-3.7,818,1.7,1317,0,5.8,1.8,281.3
419,2001-01-31,-1.8,-3.9,703,.7,1330,1,8.5,2.3,287.9
419,2001-02-01,-7.8,-11,2336,-1.2,4,.5,12.9,4.8,286
419,2001-02-02,-6.4,-11.7,516,-2.6,2020,0,6.1,1.5,240.3
419,2001-02-03,-1.2,-5.1,624,3,1457,1,5.6,2,40
