지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
411,2017-01-01,4.5,.8,611,7.7,1449,0,4.6,2,118.1
411,2017-01-02,5.9,2.1,2351,9.4,1223,0,8.7,2.6,281.3
411,2017-01-03,3.4,-.6,359,7.6,1434,0,6.4,1.8,281.3
411,2017-01-04,4.9,2.3,2345,9.1,1511,0,7.1,2,281.3
411,2017-01-05,5.3,1.4,138,7.8,1347,0,10.1,3,78.8
411,2017-01-06,6.5,4.1,802,10.3,1416,0,9.3,2.7,73.1
411,2017-01-07,6.2,2.6,747,10.4,1346,0,6.5,1.5,87.2
411,2017-01-08,7.5,4.5,2346,11.2,1403,0,9.3,2.8,309.4
411,2017-01-09,2.1,-2.7,2359,5.1,1401,0,10,4.3,295.3
411,2017-01-10,-2.7,-6.6,2316,2.2,1229,0,12.6,4.2,303.8
411,2017-01-11,-2.9,-7.6,647,1.9,1403,0,9.9,2.8,303.8
411,2017-01-12,-1.3,-5.3,2336,2.3,1348,0,11.8,4,300.9
411,2017-01-13,-5.3,-7.7,2309,-1.2,1452,0,15,4.1,300.9
411,2017-01-14,-7.6,-9.7,806,-4.5,1415,0,14,5.4,303.8
411,2017-01-15,-5.7,-10.1,738,-1.3,1529,0,7.5,3,281.3
411,2017-01-16,-2.3,-7.1,545,3.4,1408,0,4.6,1.7,337.5
411,2017-01-17,-.4,-4.2,757,3.5,1400,0,5.2,1.6,306.6
411,2017-01-18,.6,-1.5,2348,3.7,1133,0,5.4,1.9,300.9
411,2017-01-19,-.4,-3.6,517,4.4,1520,0,8.1,1.8,298.1
411,2017-01-20,-3.9,-7.1,2239,.2,147,2,12.6,4.3,306.6
411,2017-01-21,-3.7,-7.6,106,-.1,1236,1,13.3,2,306.6
411,2017-01-22,-7.5,-9.9,2331,-2.6,1,0,15,5.4,312.2
411,2017-01-23,-8.2,-11.5,741,-4.6,1506,0,8.4,3.3,298.1
411,2017-01-24,-6,-10.4,424,-2,1414,0,6.1,2.5,309.4
411,2017-01-25,-4.1,-8.5,535,.1,1517,0,6.8,1.9,320.6
411,2017-01-26,0,-5.4,716,4.3,1356,0,11.3,2.5,174.4
411,2017-01-27,-2.2,-5.1,0,3.7,104,4,12.9,4.5,295.3
411,2017-01-28,-.3,-5.9,139,4.7,1352,0,5.4,1.6,329.1
