지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
510,2013-01-01,-3.7,-7.5,522,1.2,1424,1,2100,1.5,6.5,554,1.9,70.3
510,2013-01-02,-10.5,-13.8,2356,-4.4,1,0,,0,6.2,17,2.1,345.9
510,2013-01-03,-12.2,-15.1,504,-7.8,1524,0,,0,5.3,1235,1.4,323.4
510,2013-01-04,-9.6,-13,129,-5.8,1334,0,,0,4.1,1539,1,281.3
510,2013-01-05,-5.8,-10.5,752,-.3,1403,0,,0,3.8,405,1,64.7
510,2013-01-06,-5.2,-8.5,659,-1.6,1554,0,,0,3.9,1330,.9,213.8
510,2013-01-07,-4.6,-8.7,514,-.4,1338,0,,0,4.5,1351,1,315
510,2013-01-08,-4.1,-6.4,605,0,1401,0,,0,4.6,2354,1.1,312.2
510,2013-01-09,-7.9,-9.9,2339,-5.6,1,0,,0,5.8,1151,1.4,272.8
510,2013-01-10,-7.3,-11.4,542,-3.6,1502,0,,0,4.2,1338,1,292.5
510,2013-01-11,-2.1,-5.8,537,1.9,1457,0,,0,4.5,1011,1.3,95.6
510,2013-01-12,1,-1.6,557,4.6,1330,.5,600,.5,4.7,454,1.1,163.1
510,2013-01-13,-.2,-2.1,2358,2.5,1529,0,,0,3.4,931,.8,19.7
510,2013-01-14,-1.6,-4.4,616,3.1,1432,0,,0,5,1537,1,278.4
510,2013-01-15,-1.6,-5,611,2.6,1511,0,,0,4.4,1539,1,247.5
510,2013-01-16,-1.9,-4.9,2352,1,1336,0,,0,4.3,2225,1.1,281.3
510,2013-01-17,-5.3,-7.4,744,-2,1323,0,,0,4.7,2142,1.4,309.4
510,2013-01-18,-3.2,-7.6,455,.7,1528,0,,0,4.7,1412,1.2,222.2
510,2013-01-19,1.4,-1.1,544,4.9,1504,0,,0,4.2,1329,.9,205.3
510,2013-01-20,2.5,-.9,733,5,1611,0,,0,6.1,1149,1.5,81.6
510,2013-01-21,3,1.8,736,4.7,148,2,900,18,6.2,936,1.9,61.9
510,2013-01-22,4.3,2.2,3,6.4,1331,0,,0,4.4,1849,1,70.3
510,2013-01-23,2.6,1.4,2348,4.5,1,.5,1100,1,5.3,1711,1.6,326.3
510,2013-01-24,-.3,-5.6,2354,3.3,1125,0,,0,7,2353,2.2,286.9
510,2013-01-25,-8.2,-9.8,2343,-5.7,1,0,,0,7.1,12,2.2,250.3
510,2013-01-26,-8.3,-10.7,749,-4.8,1529,0,,0,5.6,1518,1.7,230.6
510,2013-01-27,-6.2,-9.4,147,-3.1,1446,0,,0,6.2,1600,1.5,278.4
510,2013-01-28,-2.5,-7.4,504,.8,2249,0,,0,4.5,2044,1.2,56.3
510,2013-01-29,3.2,.6,44,4.8,2322,0,,0,4.4,144,1.6,73.1
510,2013-01-30,6.4,4.2,125,9.3,1549,0,,0,3.6,1257,.8,67.5
510,2013-01-31,8.2,4.3,552,12,1524,0,,0,5.6,2057,1.5,67.5
510,2013-02-01,7.9,3.2,2400,10.1,1,9,1200,50.5,6,453,1.4,73.1
510,2013-02-02,-.2,-3.4,2354,3.5,1437,0,100,0,6.1,1857,2,275.6
510,2013-02-03,-2.7,-5.1,534,-.5,1437,1.5,2300,4.5,5.9,1712,1.3,70.3
510,2013-02-04,-.2,-2.4,2322,3.2,1424,3,100,7.5,7.1,1214,1.3,33.8
510,2013-02-05,-.2,-3.7,400,2.8,1511,1.5,2300,5,4.5,1324,1.2,70.3
510,2013-02-06,-1,-2.7,827,.5,1602,1,100,1.5,4.9,1446,1.1,323.4
510,2013-02-07,-10.2,-12.7,2058,-1.4,33,0,,0,7.5,701,2.8,289.7
510,2013-02-08,-10.8,-14.6,617,-5.7,1524,0,,0,6.3,131,1.7,30.9
510,2013-02-09,-6.2,-10.8,510,-2.6,1448,0,,0,4.4,1400,1.2,64.7
510,2013-02-10,-3.3,-7.7,2344,.5,1416,0,,0,5.8,1311,1.5,272.8
510,2013-02-11,-5.3,-9.5,723,-.9,1524,0,,0,3.6,408,1,278.4
510,2013-02-12,-3.1,-4.6,50,-1.4,1334,0,,0,4.9,1153,1.2,284.1
510,2013-02-13,-.7,-4.7,704,3,1437,0,,0,4.6,1304,1.1,213.8
510,2013-02-14,1.8,-1.1,604,5.4,1330,0,,0,4.9,1032,1.1,56.3
510,2013-02-15,-.4,-4.1,2352,2.7,1216,0,,0,6.9,1543,2,281.3
510,2013-02-16,-1.5,-5.3,631,2.7,1502,0,,0,4.6,1114,1,348.8
510,2013-02-17,3,-.7,824,6.7,1613,0,,0,5.4,1121,1.4,104.1
510,2013-02-18,.9,-1.9,2356,3.5,1,0,,0,6.2,1905,1.7,0
510,2013-02-19,-2.1,-6.1,2359,1.5,1334,0,,0,6.4,1336,1.9,289.7
510,2013-02-20,-3.8,-7.4,554,.5,1542,0,,0,5.9,5,1.4,261.6
510,2013-02-21,-.8,-3.8,610,3.2,1435,0,,0,5.2,1719,1.3,289.7
510,2013-02-22,1.5,-2.2,2359,5.8,1259,.5,600,.5,6.4,1750,1.8,345.9
510,2013-02-23,.1,-3.4,702,3,1427,0,,0,8.8,1449,1.7,151.9
510,2013-02-24,2.4,-1.2,611,6.2,1309,0,,0,4.8,1422,.9,315
510,2013-02-25,4.1,.1,256,8.5,1509,0,,0,3,1104,.7,56.3
510,2013-02-26,5.3,3.2,707,8,1343,0,,0,6.4,1406,1.2,177.2
510,2013-02-27,3.9,1.6,834,9.1,1550,0,,0,5.1,1626,1.3,213.8
510,2013-02-28,7.2,-.1,435,14.2,1607,.5,2400,.5,5.1,1052,1.4,75.9
510,2013-03-01,1.5,-1.2,2353,8.3,1,1.5,100,3.5,8,729,2.6,315
510,2013-03-02,0,-3.3,709,4.2,1501,0,,0,5.1,439,1.5,295.3
510,2013-03-03,1,-2.4,532,5.1,1603,0,,0,5.7,1228,1.5,320.6
510,2013-03-04,4.1,.9,55,8.7,1432,0,,0,6,1623,1.6,275.6
510,2013-03-05,4.3,.4,510,8.9,1433,0,,0,6.2,1520,1.8,177.2
510,2013-03-06,8.8,2.5,509,14.5,1531,0,,0,4.8,932,1.4,25.3
510,2013-03-07,7.9,3.6,2350,13.2,13,.5,700,.5,7.9,402,2.5,196.9
510,2013-03-08,9,3.6,1,14.6,1543,0,,0,5.9,1302,1.5,230.6
510,2013-03-09,13.8,7.4,453,23.7,1538,0,,0,10.7,1556,2.2,236.3
510,2013-03-10,1.8,-.8,730,8.5,1,0,,0,6.9,202,2.4,286.9
510,2013-03-11,4.7,-1.2,705,11.5,1626,0,,0,4.2,1115,1.2,64.7
510,2013-03-12,8.1,3,259,11.8,1235,3,2400,3.5,5.3,1158,1.1,98.4
510,2013-03-13,5.3,2.5,2205,8.8,26,4,200,15,6.3,1704,2,278.4
510,2013-03-14,4.6,1.5,633,9.7,1358,0,,0,5.3,1523,1.2,205.3
510,2013-03-15,5.2,1,630,10.7,1527,0,,0,5.9,1347,1.4,216.6
510,2013-03-16,6.8,3.1,547,13,1554,0,,0,4.1,1120,1.1,278.4
510,2013-03-17,8.4,4.3,404,15.6,1439,2.5,2200,8,7.2,2323,1.4,50.6
510,2013-03-18,8.4,5.8,558,13.4,1214,1,100,1,6.8,1512,1.8,160.3
510,2013-03-19,8.1,5.5,838,11,1609,0,,0,4.8,500,1.5,157.5
510,2013-03-20,3.1,-1.7,2350,8.3,1,0,,0,8.3,1622,2.3,281.3
510,2013-03-21,2,-2.8,437,6.9,1523,0,,0,6.1,1422,1.5,177.2
510,2013-03-22,4,2,2352,6.9,1739,0,,0,4.7,1854,1.3,233.4
510,2013-03-23,5.7,0,526,11.9,1507,0,,0,4.3,1615,1.1,210.9
510,2013-03-24,5.5,2.8,632,10.5,1351,0,,0,5.9,1554,1.6,191.3
510,2013-03-25,3.4,.5,644,8.4,1520,0,,0,6.4,1055,1.9,298.1
510,2013-03-26,5,.5,518,10.7,1454,0,,0,5.3,1548,1.1,208.1
