지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
415,2018-01-01,0,-3.9,802,3.7,1538,0,5,1213,.9,185.6
415,2018-01-02,-1.1,-3.9,2359,2.1,1259,0,6.4,1457,1.2,270
415,2018-01-03,-3.9,-5.7,541,-.8,1551,0,6.1,1412,1.7,253.1
415,2018-01-04,-3.8,-7.1,653,-1.2,1329,0,3.8,131,1,28.1
415,2018-01-05,-2,-4.3,621,1.5,1512,0,6.4,1503,1.2,199.7
415,2018-01-06,-1.4,-5,757,2.6,1527,0,4.5,1303,1,78.8
415,2018-01-07,-.3,-4.7,631,2.3,1557,0,5.3,848,1.2,16.9
415,2018-01-08,1.3,-1.1,2359,3.8,1447,0,9.9,2235,1.8,258.8
415,2018-01-09,-3.4,-5.3,2359,-.4,1334,0,7.1,1508,2,241.9
415,2018-01-10,-6.8,-9.6,2351,-4.3,1320,0,7.5,1339,1.9,5.6
415,2018-01-11,-10.4,-12.6,2329,-7.4,1432,0,7.3,1537,1.9,22.5
415,2018-01-12,-9.5,-14,649,-5.8,1544,0,5.4,29,1.6,2.8
415,2018-01-13,-4,-6.5,237,-1.4,1617,0,4.8,1146,1.8,56.3
415,2018-01-14,1,-4,459,6,1404,0,6.1,1447,2,233.4
415,2018-01-15,5.2,2,2356,8,1548,0,8,504,1.6,202.5
415,2018-01-16,4,.2,150,6.5,1530,0,4.1,1547,1.2,225
415,2018-01-17,5,2.7,454,8.6,1215,0,5.2,1727,1.2,236.3
415,2018-01-18,2.6,.9,2353,5.1,1415,0,4.7,1400,1.2,30.9
415,2018-01-19,1.9,-1.1,740,5.6,1426,0,5,1321,1.3,230.6
415,2018-01-20,2.8,-.7,318,6.9,1427,0,5.8,1303,1.2,241.9
415,2018-01-21,1.3,-3.1,524,5.1,1533,0,3.6,1440,.9,317.8
415,2018-01-22,.7,-4.8,0,4.8,1447,3,9.5,1511,1.3,236.3
415,2018-01-23,-11.2,-14,2337,-4.8,1,0,,,,
415,2018-01-24,-13.6,-15.4,802,-10.3,1435,0,9.8,1045,2.5,16.9
415,2018-01-25,-13.4,-15.8,839,-9.3,1530,0,7,1859,2,2.8
415,2018-01-26,-14.1,-17.2,758,-10.7,1625,0,6.4,217,2.1,16.9
415,2018-01-27,-9.2,-14.3,716,-3.8,1619,0,4.5,1428,1.3,199.7
415,2018-01-28,-5.4,-7.9,2346,-1,1405,0,6.8,2003,1.5,337.5
415,2018-01-29,-7.6,-10.3,704,-4.9,1459,0,8.5,1231,1.8,5.6
415,2018-01-30,-4.1,-9.6,732,-.7,2302,0,8.4,1445,1.5,216.6
415,2018-01-31,-1.4,-3.3,2350,.2,1559,0,4.5,207,1.1,222.2
415,2018-02-01,-2.9,-7.8,717,1.6,1445,0,5.3,1306,1.2,185.6
415,2018-02-02,-1.5,-6.5,509,3.4,1511,0,4.2,1212,1,199.7
415,2018-02-03,-6.6,-9,2248,-.8,1,0,6.7,1821,2.1,295.3
415,2018-02-04,-8.7,-11.7,807,-5.2,1525,0,7.4,1646,1.9,5.6
