지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
421,2000-08-24,,,,,,1,,,
421,2000-08-25,22.3,21.1,342,23.9,2133,118.5,0,0,116.6
421,2000-08-26,22.6,21.5,2019,24,2309,92,0,0,192.6
421,2000-08-27,25.5,23.1,127,27.5,1435,27.5,0,0,150.4
421,2000-08-28,26.5,23.7,316,30.8,1534,25.5,0,0,130.7
421,2000-08-29,28.7,24.4,500,33.1,1421,0,0,0,36.5
421,2000-08-30,29.5,25.2,607,34.6,1520,0,0,0,343
421,2000-08-31,26.5,6.5,1220,28.2,1015,27.5,23.3,3.5,193.9
421,2000-09-01,24.9,23.2,627,26.8,1454,5,30,7,184.6
421,2000-09-02,26.3,23.7,331,30.9,1413,0,7.3,2.9,292.9
421,2000-09-03,26.3,23.4,430,32.4,1502,4.5,10.1,1.3,255.7
421,2000-09-04,25.5,21.3,611,30.2,1542,0,10.1,3.3,271.2
421,2000-09-05,24.4,19.4,615,29.5,1533,0,5.9,2.2,307.1
421,2000-09-06,22.8,20.6,1001,26.1,1513,10,7.3,2.1,308.5
421,2000-09-07,21.1,19.8,619,23.1,1354,0,10.2,3.7,298.8
421,2000-09-08,21.1,19.6,501,23.6,1321,0,7.5,3.5,299.9
421,2000-09-09,20.4,17.6,436,22.7,1405,0,9.9,4,287.2
421,2000-09-10,22.5,18,413,28.4,1550,0,7.1,2.6,284.1
421,2000-09-11,21.7,19,552,25.9,1600,0,11.5,3.9,244
421,2000-09-12,20.4,16.7,648,24.6,1358,0,12.5,4.6,227.3
421,2000-09-13,17.2,16.2,613,20,1,6,11.2,3.9,221.9
421,2000-09-14,17.4,15.7,638,19.2,2345,17,8.8,3.4,250.8
421,2000-09-15,17.4,15.9,2221,19,14,66.5,11.3,4.2,263.8
421,2000-09-16,16.4,14.9,2257,18.5,1207,58.5,14.2,4.5,267.5
421,2000-09-17,20,15.5,1,24,1533,0,11.8,3.6,292.6
421,2000-09-18,19.2,13,628,24.2,1523,0,11.2,2.4,289
421,2000-09-19,19.6,13,603,26.7,1608,0,4.6,1.4,260.3
421,2000-09-20,21.8,16.7,535,28.1,1507,0,4.7,1.1,306.9
421,2000-09-21,21.8,18.6,422,25.2,1326,0,5.9,1.5,276.2
421,2000-09-22,22.1,19.3,608,27.1,1607,1,5.5,1.8,255
421,2000-09-23,21.8,19,632,26.3,1321,0,7.4,1.9,300.2
421,2000-09-24,20.8,17.5,554,24.5,1334,0,6.8,2.1,286.3
421,2000-09-25,20.9,18.2,2301,25.1,1516,0,8,1.8,286.1
421,2000-09-26,20.4,15.1,625,26.3,1401,0,6.5,1.5,254.6
421,2000-09-27,21.2,15.7,505,26.4,1448,0,5,1.4,216.2
421,2000-09-28,18.4,17.4,2336,19.6,1335,0,9.5,2,289.9
421,2000-09-29,20.6,14.2,633,27,1534,0,4.7,1.5,250.9
421,2000-09-30,20.5,15.7,602,26.3,1459,0,6.7,1.5,284.3
421,2000-10-01,20.6,16.1,435,26,1319,0,6.5,1.6,279
421,2000-10-02,19.6,18.1,611,21.6,1444,.5,8.7,1.9,302
421,2000-10-03,18.7,15.7,615,22.2,1334,0,8.4,2.3,294.6
421,2000-10-04,17,11.7,623,21.3,1544,0,5.5,1.4,278.1
421,2000-10-05,19.3,15.3,608,24.1,1408,0,6.3,1.9,248.7
421,2000-10-06,20.1,16.3,446,25,1503,0,4.5,1.4,247.7
421,2000-10-07,20.7,15.3,642,27,1501,0,4.3,1.5,190.1
421,2000-10-08,20.7,16.2,728,25.9,1342,0,5,1.4,172.5
421,2000-10-09,20.8,16.4,618,25.1,1302,0,6.6,1.6,163.8
421,2000-10-10,19.1,16.9,2247,21.1,1531,0,6.1,2.2,127.4
421,2000-10-11,15.6,13.6,2357,17.2,47,.5,8.5,2.5,176.3
421,2000-10-12,11.6,9.5,746,14.7,1457,0,9.1,3.2,179.5
421,2000-10-13,10.9,7.2,701,14.4,1320,0,10.5,2.3,61.6
421,2000-10-14,11.8,7.3,654,16.3,1322,0,8,1.9,178.2
421,2000-10-15,14.4,8.9,659,19.9,1528,0,8.4,1.9,159.8
421,2000-10-16,12.4,7.5,635,17.6,1548,0,6.2,1.9,165.6
421,2000-10-17,12.8,9,532,15.9,1510,.5,7.1,1.7,156.2
421,2000-10-18,15,10.7,433,19.8,1501,0,6.1,1.5,8.7
421,2000-10-19,14.9,10.4,636,19.8,1356,0,5.1,1.5,159.6
421,2000-10-20,16.4,11.9,647,21,1454,0,7.8,2,152.7
421,2000-10-21,15.4,10.3,721,21,1439,0,5.9,1.4,155.3
421,2000-10-22,14.6,10.3,506,17.3,1435,0,7.6,2.7,1.9
421,2000-10-23,17.3,13.5,320,22.9,1617,.5,5.6,2.1,17.1
421,2000-10-24,15.4,14.1,236,16,826,11,4.6,1.9,62.8
421,2000-10-25,14.9,11.3,2357,18.1,1401,2,9.3,2.9,143.1
421,2000-10-26,11,7.5,646,15.1,1517,0,8,2.6,57.1
421,2000-10-27,12.7,6.3,631,19.1,1619,0,4.6,1.5,21.3
421,2000-10-28,12.9,10.8,510,15.6,1501,0,4,1.2,122
421,2000-10-29,11.3,8.7,2252,13,1631,0,6.4,1.9,133.7
