SIGUNGU_NM,LV2_CODE,LV2_NAME,AREA_M2
강남구,110,주거지역,11153196.657224381
강남구,120,공업지역,363892.05003160035
강남구,130,상업지역,5765536.663627802
강남구,140,위락시설지역,101041.61046088209
강남구,150,교통지역,4234529.2021431485
강남구,160,공공시설지역,2689958.6624199343
강남구,210,논,114747.89572969808
강남구,220,밭,758906.5152237206
강남구,230,하우스재배지,1718146.8003244004
강남구,250,기타재배지,8949.522499378883
강남구,310,기타초지,107780.51659506872
강남구,310,활엽수림,4598703.034995645
강남구,320,침엽수림,1710698.0894974545
강남구,330,혼효림,580889.7256835266
강남구,410,자연초지,30177.235925951987
강남구,430,기타초지,1179057.7347893398
강남구,510,내륙습지,599047.6610426385
강남구,620,기타나지,1417502.1970350512
강남구,710,내륙수,2325016.000988098
강동구,110,주거지역,11049375.361625755
강동구,120,공업지역,81709.51189849495
강동구,130,상업지역,318000.4104280485
강동구,140,위락시설지역,22270.409961336452
강동구,150,교통지역,1746138.5071103123
강동구,160,공공시설지역,845013.5615306327
강동구,210,논,83527.21630343758
강동구,220,밭,1336710.7167971372
강동구,230,하우스재배지,1287758.5368200822
강동구,250,기타재배지,16611.56992139741
강동구,310,활엽수림,1515123.9295845816
강동구,320,침엽수림,550699.8413903733
강동구,330,혼효림,947193.499256771
강동구,410,자연초지,134484.09520137348
강동구,430,기타초지,1306634.4129829518
강동구,510,내륙습지,258943.39328950964
강동구,620,기타나지,1060166.3432670373
강동구,710,내륙수,1977506.2888577925
강북구,110,주거지역,5251374.8382216
강북구,120,공업지역,11485.52854209823
강북구,130,상업지역,2209810.713458687
강북구,140,위락시설지역,44113.956222174034
강북구,150,교통지역,1109811.880666277
강북구,160,공공시설지역,597843.3332972766
강북구,220,밭,115079.84956199171
강북구,230,하우스재배지,1617.5267725874676
강북구,310,활엽수림,9398086.090163006
강북구,320,침엽수림,331087.0454046235
강북구,330,혼효림,3708676.5690653827
강북구,410,자연초지,5324.783069096533
강북구,430,기타초지,241339.4441166798
강북구,510,내륙습지,3254.629805801559
강북구,620,기타나지,540923.6744530773
강북구,710,내륙수,50758.64495887222
강서구,110,주거지역,7148435.71356037
강서구,120,공업지역,225746.75072682396
강서구,130,상업지역,3953814.285152547
강서구,140,위락시설지역,64811.812087079794
강서구,150,교통지역,6647960.801162908
강서구,160,공공시설지역,3483218.5199138266
강서구,210,논,6274339.899255059
강서구,220,밭,916000.2839862761
강서구,230,하우스재배지,294935.68497887295
강서구,250,기타재배지,87842.8097025464
강서구,320,침엽수림,689355.1829508188
강서구,330,혼효림,2079991.6017047903
강서구,410,자연초지,23363.31580785835
강서구,430,기타초지,4142901.486346798
강서구,510,내륙습지,13084.480060849553
강서구,620,기타나지,2159813.4814054677
강서구,710,내륙수,3289849.695476813
관악구,110,주거지역,8245225.448592453
관악구,130,상업지역,866438.845840181
관악구,140,위락시설지역,8948.83941187245
관악구,150,교통지역,2791054.526562866
관악구,160,공공시설지역,1754994.6574235023
관악구,220,밭,40591.27856451307
관악구,230,하우스재배지,23678.899645460537
관악구,250,기타재배지,25687.582259611077
관악구,310,활엽수림,4415582.126681436
관악구,320,침엽수림,3418806.7609058046
관악구,330,혼효림,6279638.445076391
관악구,430,기타초지,516840.5444421811
관악구,510,내륙습지,47487.03442564239
관악구,610,채광지역,49829.436021404465
관악구,620,기타나지,1028498.9738383485
관악구,710,내륙수,49916.76300698442
광진구,110,주거지역,5270266.6619158285
광진구,120,공업지역,25980.903088788797
광진구,130,상업지역,1946691.8452243889
광진구,140,위락시설지역,496984.92712054943
광진구,150,교통지역,2103928.784018831
광진구,160,공공시설지역,1596303.664149557
광진구,220,밭,20621.037414941846
광진구,310,활엽수림,2196369.2673434746
광진구,320,침엽수림,330903.69548240997
광진구,330,혼효림,198318.63318862265
광진구,430,기타초지,701876.4967176256
광진구,620,기타나지,414282.45025402826
광진구,710,내륙수,1733402.8234928208
구로구,110,주거지역,6631435.496304279
구로구,120,공업지역,749089.9310269138
구로구,130,상업지역,1642154.025893581
구로구,140,위락시설지역,31004.421568931495
구로구,150,교통지역,3174549.8620258817
구로구,160,공공시설지역,1527009.751063188
구로구,210,논,289345.55313844763
구로구,220,밭,650894.3211606487
구로구,230,하우스재배지,93048.14715648002
구로구,250,기타재배지,20794.386055738563
구로구,310,활엽수림,2634539.8803446395
구로구,320,침엽수림,383720.84112261765
구로구,330,혼효림,381884.64597652503
구로구,430,기타초지,855371.5404974775
구로구,510,내륙습지,169958.26180356106
구로구,620,기타나지,1035559.3547355877
구로구,710,내륙수,319794.24263374973
금천구,110,주거지역,4134212.650161182
금천구,120,공업지역,1640546.5624048198
금천구,130,상업지역,803796.245429203
금천구,140,위락시설지역,6247.811133634435
