SIGUNGU_NM,L2_CODE,L2_NAME,AREA_M2
강남구,110,주거지역,3731686.8759832745
강남구,120,공업지역,6585.243799951002
강남구,130,상업지역,4454941.694266052
강남구,140,문화·체육·휴양지역,399828.62687511626
강남구,150,교통지역,12627259.935038662
강남구,160,공공시설지역,610102.4337625335
강남구,220,밭,528231.2853495559
강남구,230,시설재배지,134121.07617848483
강남구,240,과수원,17767.385766770047
강남구,250,기타재배지,120233.85371212094
강남구,310,활엽수림,5125879.013526793
강남구,320,침엽수림,924942.2494663832
강남구,330,혼효림,780699.8337967935
강남구,410,자연초지,159255.53160382566
강남구,420,인공초지,5483985.603642903
강남구,510,내륙습지(수변식생),384073.79625543446
강남구,610,자연 나지,70139.79677757947
강남구,620,기타 나지,1650867.3178126574
강남구,710,내륙수,2247176.2065427722
강동구,110,주거지역,3019517.904246522
강동구,120,공업지역,6147.339559992259
강동구,130,상업지역,1623529.1493845605
강동구,140,문화·체육·휴양지역,222493.4111404057
강동구,150,교통지역,6963187.206871422
강동구,160,공공시설지역,676780.7496924319
강동구,210,논,12490.039331808872
강동구,220,밭,550668.4168995788
강동구,230,시설재배지,270604.9116523954
강동구,240,과수원,4790.727938890686
강동구,250,기타재배지,40596.23095214461
강동구,310,활엽수림,2237322.5515577663
강동구,320,침엽수림,320554.5904134297
강동구,330,혼효림,155149.00712085908
강동구,410,자연초지,288948.7554754518
강동구,420,인공초지,3313091.385856749
강동구,510,내륙습지(수변식생),81863.13749834248
강동구,610,자연 나지,302.1916508779591
강동구,620,기타 나지,2723150.6749829403
강동구,710,내륙수,2026679.2596960417
강북구,110,주거지역,3466358.2898942744
강북구,120,공업지역,2622.1143481834283
강북구,130,상업지역,1119999.1333372071
강북구,140,문화·체육·휴양지역,144170.80332993143
강북구,150,교통지역,3703393.4773771893
강북구,160,공공시설지역,440363.99617626425
강북구,220,밭,54983.43504433881
강북구,230,시설재배지,1256.0714348463205
강북구,250,기타재배지,1257.187437981677
강북구,310,활엽수림,8159980.764107196
강북구,320,침엽수림,1426782.6999200769
강북구,330,혼효림,3107893.5662482623
강북구,410,자연초지,59200.39247210282
강북구,420,인공초지,1105192.950412491
강북구,510,내륙습지(수변식생),52212.03101640471
강북구,610,자연 나지,458892.8539565651
강북구,620,기타 나지,285493.001432799
강북구,710,내륙수,30535.602195027768
강서구,110,주거지역,4054635.648973227
강서구,120,공업지역,67113.41951316338
강서구,130,상업지역,2437511.89272519
강서구,140,문화·체육·휴양지역,315353.7772567727
강서구,150,교통지역,13375118.226229161
강서구,160,공공시설지역,918996.3667524074
강서구,210,논,2505618.5887916544
강서구,220,밭,640531.4607558721
강서구,230,시설재배지,119315.55204776998
강서구,240,과수원,15731.31582291822
강서구,250,기타재배지,48055.508504708334
강서구,310,활엽수림,2514849.829035283
강서구,320,침엽수림,508454.34428818175
강서구,330,혼효림,257582.29768568528
강서구,410,자연초지,531917.6390668808
강서구,420,인공초지,6841556.002438337
강서구,510,내륙습지(수변식생),255569.3591050094
강서구,610,자연 나지,32788.1198372588
강서구,620,기타 나지,2588320.6681147125
강서구,710,내륙수,3398236.801962476
관악구,110,주거지역,4579592.200823896
관악구,120,공업지역,1854.7647452583608
관악구,130,상업지역,1670916.0304974956
관악구,140,문화·체육·휴양지역,266401.41825735813
관악구,150,교통지역,5136596.614025159
관악구,160,공공시설지역,862493.7883069514
관악구,220,밭,122216.9561281153
관악구,230,시설재배지,2673.194453564245
관악구,250,기타재배지,1967.2354982622385
관악구,310,활엽수림,7606572.800210093
관악구,320,침엽수림,3663524.042150004
관악구,330,혼효림,1770205.4134754825
관악구,420,인공초지,1398898.8476589702
관악구,510,내륙습지(수변식생),14045.00771510362
관악구,610,자연 나지,1990559.399736116
관악구,620,기타 나지,407847.1888232855
관악구,710,내륙수,66855.26019348558
광진구,110,주거지역,3295789.6975338235
광진구,120,공업지역,5360.9175178315245
광진구,130,상업지역,1357907.4803724254
