SIGUNGU_NM,L3_CODE,L3_NAME,AREA_M2
강남구,111,단독주거시설,1196551.3676537266
강남구,112,공동주거시설,2608341.9887550273
강남구,121,공업시설,10765.94521632074
강남구,131,상업ㆍ업무시설,4529880.780623119
강남구,132,혼합지역,20608.343095097036
강남구,141,문화·체육·휴양시설,382288.1957482494
강남구,153,철도,100501.4235854672
강남구,154,도로,12630559.76992521
강남구,155,기타 교통ㆍ통신시설,32777.779249646985
강남구,161,환경기초시설,12151.671695008417
강남구,162,교육ㆍ행정시설,386909.2064911544
강남구,163,기타 공공시설,255981.350989765
강남구,221,경지정리가 된 밭,115.3112769320179
강남구,222,경지정리가 안 된 밭,556658.5341487281
강남구,231,시설재배지,259190.51877239635
강남구,241,과수원,17767.386675103757
강남구,251,목장ㆍ양식장,1163.0750591901983
강남구,252,기타재배지,127321.60283591344
강남구,311,활엽수림,5109428.384776266
강남구,321,침엽수림,925306.8417182452
강남구,331,혼효림,576111.1471776972
강남구,411,자연초지,604044.4582830498
강남구,422,묘지,165283.31406038743
강남구,423,기타초지,5069442.377592704
강남구,511,내륙습지,398104.63413738034
강남구,612,강기슭,73329.35802620839
강남구,613,암벽ㆍ바위,1300.949003242596
강남구,621,채광지역,289.87824933259253
강남구,622,운동장,389966.9434643338
강남구,623,기타나지,769315.5126050144
강남구,711,하천,2243276.43819205
강남구,712,호소,3044.0352743144085
강동구,111,단독주거시설,1646987.5702421109
강동구,112,공동주거시설,1420096.4090700536
강동구,121,공업시설,7460.969118867032
강동구,131,상업ㆍ업무시설,1645597.0953936405
강동구,132,혼합지역,5398.897214359583
강동구,141,문화·체육·휴양시설,171447.1654824836
강동구,153,철도,90969.49797787517
강동구,154,도로,6733165.348444571
강동구,155,기타 교통ㆍ통신시설,12694.059585875884
강동구,161,환경기초시설,14689.513913711275
강동구,162,교육ㆍ행정시설,263369.48890577833
강동구,163,기타 공공시설,251204.54983933648
강동구,212,경지정리가 안 된 논,24869.67205589043
강동구,222,경지정리가 안 된 밭,608436.7816433838
강동구,231,시설재배지,278728.5432996215
강동구,241,과수원,4790.725439171264
강동구,252,기타재배지,51675.543303832885
강동구,311,활엽수림,2592072.362394548
강동구,321,침엽수림,342247.77241650625
강동구,331,혼효림,158003.58379891445
강동구,411,자연초지,384174.87096566544
강동구,422,묘지,19916.228878361653
강동구,423,기타초지,3086022.3688913323
강동구,511,내륙습지,82565.95360994166
강동구,612,강기슭,57.80530422555436
강동구,622,운동장,290099.7588292398
강동구,623,기타나지,2322825.895784457
강동구,711,하천,2021951.575714044
강동구,712,호소,6347.65312709263
강북구,111,단독주거시설,2399010.3708142517
강북구,112,공동주거시설,1069025.2553412772
강북구,121,공업시설,3153.6805848549557
강북구,131,상업ㆍ업무시설,1126418.0745672002
강북구,141,문화·체육·휴양시설,139528.84875815213
강북구,154,도로,3626733.7501300173
강북구,155,기타 교통ㆍ통신시설,17263.652236871036
강북구,161,환경기초시설,4687.142779161901
강북구,162,교육ㆍ행정시설,191557.55405236862
강북구,163,기타 공공시설,231574.58567356574
강북구,222,경지정리가 안 된 밭,59394.94165607176
강북구,252,기타재배지,2819.904904065959
강북구,311,활엽수림,8168476.010299551
강북구,321,침엽수림,1429959.266366541
강북구,331,혼효림,3091800.7522659358
강북구,411,자연초지,171625.16925473904
강북구,422,묘지,8638.174235882912
강북구,423,기타초지,974408.1641616416
강북구,511,내륙습지,47034.84582019247
강북구,612,강기슭,9925.201152075027
강북구,613,암벽ㆍ바위,452218.7111942737
강북구,622,운동장,100055.8542750434
강북구,623,기타나지,266790.3910976206
강북구,711,하천,16986.32191141262
강북구,712,호소,11501.422628021497
강서구,111,단독주거시설,1834392.665860508
강서구,112,공동주거시설,2241497.499648914
강서구,121,공업시설,67955.1212258604
강서구,131,상업ㆍ업무시설,2376026.7136511845
강서구,132,혼합지역,41462.741467948275
강서구,141,문화·체육·휴양시설,349842.1069351546
강서구,151,공항,340957.3885209262
강서구,153,철도,149369.72597143028
강서구,154,도로,12828653.754801
강서구,155,기타 교통ㆍ통신시설,26903.105021384505
강서구,161,환경기초시설,320469.4499656694
강서구,162,교육ㆍ행정시설,347924.07001981937
강서구,163,기타 공공시설,259011.14792772406
강서구,211,경지정리가 된 논,2381572.4247427396
강서구,212,경지정리가 안 된 논,64142.01455186283
강서구,221,경지정리가 된 밭,246015.3440321164
강서구,222,경지정리가 안 된 밭,396107.97421593225
강서구,231,시설재배지,118678.2912601505
강서구,241,과수원,15731.315866328016
강서구,252,기타재배지,46149.11920959972
강서구,311,활엽수림,2567910.291451769
강서구,321,침엽수림,554302.8395704295
강서구,331,혼효림,241415.1733866107
강서구,411,자연초지,528802.8328583213
강서구,421,골프장,210632.98720807984
강서구,422,묘지,36541.58310413921
강서구,423,기타초지,6563611.815294257
강서구,511,내륙습지,264803.1204985987
강서구,612,강기슭,26228.675363937804
강서구,613,암벽ㆍ바위,7654.39790033128
강서구,622,운동장,351445.97909979103
강서구,623,기타나지,2267075.3440332464
강서구,711,하천,3266043.1234222488
강서구,712,호소,87926.68081868302
관악구,111,단독주거시설,3192178.8384710066
