SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,17010658.10620515,22447119.665729493,39457777.77193464,56.88896063907477
강동구,11273380.320300989,13264487.321621615,24537867.641922604,54.05721277491702
강북구,14679254.794179693,8941333.57595675,23620588.370136444,37.85398329561213
강서구,20452107.514147766,20975149.304758918,41427256.81890668,50.631277365162696
관악구,17021905.102500778,12541315.06019781,29563220.16269859,42.42201962836857
광진구,6246743.4976326525,10789187.691779178,17035931.18941183,63.33195157823174
구로구,7156722.059371935,12926638.710503494,20083360.76987543,64.36491809624388
금천구,4430807.766122341,8579942.267704826,13010750.033827167,65.94502427144855
노원구,21616045.227197524,13947946.118625723,35563991.34582324,39.2192934223729
도봉구,11784685.207949935,8904698.616628736,20689383.824578673,43.03994112212317
동대문구,3354009.968135011,10912360.456179818,14266370.424314829,76.490096160558
동작구,5911251.848260674,10452365.484849654,16363617.333110329,63.87564113773438
마포구,10240158.812876167,13604659.441855792,23844818.25473196,57.05499323382753
서대문구,7422190.043036512,10252516.369338421,17674706.412374932,58.00671383237308
서초구,28850813.57186089,18034517.555000726,46885331.12686162,38.465159830487714
성동구,6248132.525520782,10556360.776147373,16804493.301668156,62.81867942486228
성북구,11388477.998067575,13171743.975967474,24560221.974035047,53.63039466781929
송파구,12891919.139353076,20934905.25490098,33826824.39425406,61.8884735111495
양천구,5217793.079892188,12232502.043113597,17450295.123005785,70.09911269057419
영등포구,9606082.925667917,14899634.817618556,24505717.743286476,60.80064650095965
용산구,11424383.971735967,10451939.39177592,21876323.363511886,47.777403991060915
은평구,16901962.412193738,12871927.94034943,29773890.352543168,43.23226756039276
종로구,14099130.946272112,9873709.866303107,23972840.81257522,41.18706641193622
중구,2370966.6331407563,7611502.085289723,9982468.71843048,76.24869458630732
중랑구,7178524.576007087,11344652.76100891,18523177.337015998,61.24571694478246
