SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,14068225.705783557,25389552.201566096,39457777.90734965,64.34612780573454
강동구,9155324.302332029,15382543.582427802,24537867.88475983,62.688998305275376
강북구,13910000.61032222,9710587.820495041,23620588.43081726,41.11069395640394
강서구,20818378.910327602,20608877.796065975,41427256.70639358,49.74714580336996
관악구,16172507.996695988,13390712.16600256,29563220.16269855,45.29517451856722
광진구,5885866.012585167,11150065.383229975,17035931.39581514,65.45028342840695
구로구,6689961.648258536,13393399.13134732,20083360.779605854,66.68903316693876
금천구,4035682.253725246,8975067.780101947,13010750.033827193,68.9819399862982
노원구,19151708.33006778,16412283.016028048,35563991.34609583,46.14859692296536
도봉구,10920776.260970565,9768607.56360809,20689383.824578654,47.21555579631686
동대문구,2059471.5432609387,12206899.184309192,14266370.727570131,85.56415235108844
동작구,4945500.050559912,11418117.290983101,16363617.341543013,69.77746455849612
마포구,9665271.855441889,14179546.058425965,23844817.913867854,59.46594396168282
서대문구,6328958.496593726,11345747.998051481,17674706.494645208,64.19200229146
서초구,27111443.415997323,19773887.57377099,46885330.98976831,42.17499835521307
성동구,5359970.750109255,11444522.326403676,16804493.076512933,68.1039426437641
성북구,9015542.355979258,15544679.499528583,24560221.855507843,63.29209724155058
송파구,13561618.3656299,20265206.82300126,33826825.18863116,59.908686996177764
양천구,3925931.0370534714,13524364.097198367,17450295.13425184,77.50220837613476
영등포구,8475024.159609351,16030693.632738836,24505717.792348187,65.41613581196286
용산구,9798102.07729072,12078221.186059056,21876323.263349775,55.2113855727034
은평구,15738775.447218051,14035114.840148238,29773890.28736629,47.139002342947585
종로구,12265191.148423472,11707649.589975838,23972840.738399312,48.83713915148451
중구,2020350.3346274672,7962118.232861542,9982468.56748901,79.76101481343642
중랑구,7051882.607583422,11471294.771711044,18523177.379294466,61.92941165986922
