YEAR,SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
2003,중랑구,7219906.77,11303270.57,18523177.34,61.0223
2004,중랑구,7315571.32,11207606.01,18523177.34,60.5059
2005,중랑구,7411235.88,11111941.46,18523177.34,59.9894
2006,중랑구,7506900.43,11016276.9,18523177.34,59.4729
2007,중랑구,7602564.99,10920612.35,18523177.34,58.9565
2008,중랑구,7403127.72,11120049.62,18523177.34,60.0332
2009,중랑구,7203690.45,11319486.89,18523177.34,61.1099
2010,중랑구,7165738.49,11357438.86,18523177.35,61.3147
2011,중랑구,7127786.53,11395390.83,18523177.36,61.5196
2012,중랑구,7089834.57,11433342.8,18523177.37,61.7245
2013,중랑구,7051882.61,11471294.77,18523177.38,61.9294
2014,중랑구,7621299.34,10901878.03,18523177.37,58.8553
2015,중랑구,7514594.4,11008582.96,18523177.36,59.4314
2016,중랑구,7407889.47,11115287.89,18523177.35,60.0075
2017,중랑구,7301184.53,11221992.82,18523177.35,60.5835
2018,중랑구,7194479.59,11328697.75,18523177.34,61.1596
2019,중랑구,7620298.29,10902879.05,18523177.34,58.8607
2020,중랑구,7658907.16,10864270.18,18523177.34,58.6523
2021,중랑구,7593123.44,10930053.9,18523177.34,59.0074
2022,중랑구,7400106.15,11123071.18,18523177.34,60.0495
2023,중랑구,7195472.96,11327704.37,18523177.34,61.1542
2024,중랑구,7178524.58,11344652.76,18523177.34,61.2457
