SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,17031270.182556093,22426508.34180019,39457778.52435628,56.836723151955646
강동구,11996058.552156609,12541809.108488284,24537867.660644893,51.11205782808703
강북구,14811635.13122307,8808952.914937722,23620588.04616079,37.293537729554956
강서구,20124113.03662902,21303143.782277673,41427256.818906695,51.42301329629743
관악구,17116214.75907065,12447005.40362795,29563220.1626986,42.103009533896994
광진구,6440977.503813121,10594953.767868647,17035931.271681767,62.191808589180376
구로구,7583006.706243047,12500354.12073139,20083360.826974437,62.24234194877317
금천구,4423015.679815226,8587734.354011914,13010750.03382714,66.0049138726387
노원구,22099203.557926048,13464787.631972264,35563991.18989831,37.86073267220029
도봉구,11933365.385411149,8756018.294986796,20689383.680397943,42.32131043750058
동대문구,3247464.414754357,11018905.806976749,14266370.221731106,77.2369259714872
동작구,6102982.344071963,10260634.356338164,16363616.700410128,62.70395196974393
마포구,10511608.62451325,13333209.630218659,23844818.25473191,55.91659155369212
서대문구,7699022.112744257,9975684.299630668,17674706.412374925,56.44045262695965
서초구,28668000.268700376,18217330.669196095,46885330.937896475,38.85507536104729
성동구,6200761.967121771,10603731.470411727,16804493.437533498,63.100571938264295
성북구,11536267.892721139,13023953.988789424,24560221.881510563,53.02864954405857
송파구,13531508.137292994,20295315.71137203,33826823.84866502,59.99769828278745
양천구,5518029.448357332,11932265.67464852,17450295.123005852,68.37858953409585
영등포구,9907049.617497308,14598668.169137793,24505717.7866351,59.57249771765346
용산구,11488247.600058123,10388075.562490707,21876323.162548833,47.48547315425735
은평구,17149199.73457649,12624690.617966706,29773890.352543198,42.40188456557657
종로구,14352590.42258917,9620250.33239001,23972840.75497918,40.129788666751466
중구,2394899.306315267,7587569.682774523,9982468.98908979,76.00894819775807
중랑구,7658907.160393533,10864270.17662249,18523177.337016024,58.65230343020977
