SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,17493251.87425359,21964525.885904074,39457777.76015766,55.66589689722129
강동구,11755606.96937488,12782260.67254773,24537867.641922608,52.09197823982641
강북구,14742424.484243246,8878163.885897895,23620588.37014114,37.586548424512614
강서구,20139211.93540898,21288044.883497693,41427256.81890667,51.38656652202519
관악구,17042692.151588917,12520528.011109682,29563220.162698597,42.351705741810434
광진구,6466772.131472427,10569159.057939442,17035931.18941187,62.04039532930467
구로구,7354618.512261739,12728742.257613689,20083360.76987543,63.379542913487384
금천구,4371939.4408536,8638810.592973543,13010750.033827145,66.39748339268044
노원구,21977870.39861758,13586120.947205653,35563991.345823236,38.2019015107011
도봉구,11876182.923083981,8813200.901494669,20689383.82457865,42.59769636553762
동대문구,3355743.9529962935,10910626.471318515,14266370.424314808,76.47794180868212
동작구,6061587.64615814,10302029.686952196,16363617.333110336,62.956921304355774
마포구,10499577.707078611,13345240.547653306,23844818.254731916,55.96704661401641
서대문구,7614799.974009596,10059906.438365322,17674706.412374917,56.91696486297444
서초구,28751270.296547256,18134060.862051982,46885331.15859924,38.677472066284025
성동구,6244439.482794801,10560053.818873394,16804493.301668197,62.840655944235394
성북구,11514363.866249308,13045858.089152671,24560221.95540198,53.11783465492361
송파구,13475521.573942699,20351302.791122813,33826824.365065515,60.16320826184476
양천구,5461459.384237938,11988835.738767916,17450295.123005852,68.70276779996838
영등포구,9802396.87123026,14703320.872056214,24505717.743286476,59.99955204774322
용산구,11545446.325817004,10330877.039899908,21876323.36571691,47.22400957050103
은평구,17124823.141115703,12649067.211427534,29773890.352543235,42.483756948299074
종로구,14374339.828813847,9598500.9738301,23972840.802643947,40.03906359221093
중구,2415645.2110516755,7566823.526637458,9982468.737689134,75.80112420556522
중랑구,7593123.437899788,10930053.899116224,18523177.337016013,59.00744618621137
