SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,17122168.558295388,22335609.21570468,39457777.77400006,56.606353615844775
강동구,11006112.392504768,13531755.24941787,24537867.641922638,55.14641877967846
강북구,14673057.193342544,8947531.23481139,23620588.428153932,37.88022157884356
강서구,22265588.97327644,19161667.84563023,41427256.818906665,46.25376941899079
관악구,16996111.785383478,12567108.377315117,29563220.162698597,42.50926762427481
광진구,6220225.303045288,10815705.886366576,17035931.189411864,63.48761195448318
구로구,7063001.476165181,13020359.293710282,20083360.769875463,64.83157596432014
금천구,4388317.453691945,8622432.580135232,13010750.033827178,66.27160277245676
노원구,21518716.57432709,14045274.771493716,35563991.34582081,39.492965328100624
도봉구,11765467.367025971,8923916.45755268,20689383.82457865,43.13282857148802
동대문구,3409560.38349367,10856810.040821156,14266370.424314825,76.10071600494405
동작구,5838221.858450451,10525395.47465992,16363617.33311037,64.32193603893859
마포구,10205339.465968996,13639478.788762897,23844818.254731894,57.20101802854466
서대문구,7355259.977042754,10319446.435332133,17674706.412374888,58.38539093417137
서초구,28635925.34961751,18249406.433109336,46885331.78272685,38.92348787821237
성동구,5912901.967232904,10891591.334435284,16804493.30166819,64.81356586547047
성북구,11330741.953340609,13229480.25997973,24560222.213320337,53.865474607980815
송파구,12916228.18176894,20910596.237491067,33826824.41926001,61.81661032770543
양천구,5225553.64581859,12224741.477187252,17450295.12300584,70.05464028554218
영등포구,9550680.340435227,14955037.402851248,24505717.743286476,61.02672673991886
용산구,11319119.434756959,10557204.165850548,21876323.600607507,48.25858475396375
은평구,16924960.945474736,12848929.407068549,29773890.352543287,43.15502359593728
종로구,14034394.003469534,9938447.165468877,23972841.168938413,41.45711013322072
중구,2275047.092684676,7707421.760887111,9982468.853571787,77.20957484509805
중랑구,7195472.963833057,11327704.373182917,18523177.337015975,61.15421866931051
