SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,17368709.317350402,22089068.25350293,39457777.57085334,55.98153168621357
강동구,11611824.369517805,12926043.272404829,24537867.641922634,52.677940320783414
강북구,14804281.991617296,8816306.3785341,23620588.370151393,37.32466880323351
강서구,20013507.808865275,21413749.01004141,41427256.81890668,51.68999990428655
관악구,17068317.512463536,12494902.650235046,29563220.16269858,42.265025871574366
광진구,6576604.318282282,10459326.871129572,17035931.189411856,61.395686298793194
구로구,7331346.216260254,12752014.553615198,20083360.769875452,63.49542140747133
금천구,4467792.547493191,8542957.48633396,13010750.033827152,65.66076101779524
노원구,21598389.376488093,13965601.969335176,35563991.34582327,39.26893872381771
도봉구,11890116.487533292,8799267.337045372,20689383.824578665,42.53034992077425
동대문구,3531753.8827922,10734616.541522611,14266370.424314812,75.24420172931389
동작구,6060528.203890727,10303089.129219608,16363617.333110336,62.9633956812973
마포구,10335035.814099303,13509782.440632613,23844818.254731916,56.65709965288433
서대문구,7609311.374648355,10065395.037726548,17674706.412374903,56.94801827474365
서초구,28874285.993085787,18011045.133836646,46885331.12692243,38.415096365810605
성동구,6280825.021547089,10523668.28012112,16804493.301668208,62.62413326724001
성북구,11554444.416180518,13005777.53929438,24560221.9554749,52.954641708338336
송파구,13512269.254848141,20314554.81912041,33826824.07396855,60.05457318339703
양천구,5412263.011145174,12038032.111860637,17450295.12300581,68.98469067144973
영등포구,9885651.865078898,14620065.878207633,24505717.74328653,59.65981503321965
용산구,11543439.639019584,10332883.726699108,21876323.365718693,47.2331824409364
은평구,17102815.92952107,12671074.423022175,29773890.352543242,42.557671412731025
종로구,14381568.705146939,9591272.09740048,23972840.802547418,40.008909150146636
중구,2419405.560792115,7563063.17705448,9982468.737846594,75.76345466908995
중랑구,7400106.152275888,11123071.184740111,18523177.337016,60.04947737833398
