SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,17575728.52865721,21882049.245954823,39457777.77461203,55.45687182625423
강동구,11374941.86008513,13162925.822314953,24537867.682400085,53.64331568124043
강북구,14822400.11587085,8798188.254280487,23620588.370151337,37.24796400668201
강서구,21634053.815088946,19793203.003817722,41427256.818906665,47.77821300198775
관악구,17135067.56193401,12428152.60076456,29563220.162698567,42.0392383927303
광진구,6446918.107897641,10589013.08151417,17035931.18941181,62.15693738006798
구로구,7984143.176225729,12099217.545502711,20083360.72172844,60.24498445826557
금천구,4579947.963238458,8430802.070588712,13010750.03382717,64.7987398779404
노원구,21872532.011259418,13691459.474318558,35563991.48557798,38.49809569286047
도봉구,11913154.66661661,8776229.157962032,20689383.824578643,42.41899726146517
동대문구,3185807.6555581666,11080562.768756697,14266370.424314864,77.66910881461173
동작구,6084203.363306689,10279413.969803618,16363617.333110306,62.81871398327159
마포구,10547563.670811845,13297254.58392008,23844818.254731923,55.76580388186135
서대문구,7473006.264332618,10201700.148042306,17674706.412374925,57.719205683097506
서초구,29396719.229806397,17488611.930698503,46885331.1605049,37.30081775647241
성동구,6389415.190763241,10415078.110904958,16804493.301668197,61.97793604327864
성북구,11124832.706050752,13435389.249450387,24560221.95550114,54.70385924766064
송파구,14557710.586297188,19269113.8110811,33826824.39737829,56.96400461574079
양천구,5508915.163798717,11941379.959207112,17450295.12300583,68.43081950782617
영등포구,9472028.66792579,15033689.075360702,24505717.74328649,61.34767907167006
용산구,11250538.538110662,10625784.827608004,21876323.365718666,48.572077903452275
은평구,17016934.784216247,12756955.56878324,29773890.352999486,42.84611590066555
종로구,14347122.089604545,9625718.713040821,23972840.802645367,40.15259931972117
중구,2432305.996671418,7550162.741557813,9982468.738229232,75.63422375312263
중랑구,7621299.342542796,10901878.02687813,18523177.369420927,58.85533464078115
