SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,13431476.130005572,26026301.646232147,39457777.77623772,65.95987689379132
강동구,9187601.306852363,15350266.299374662,24537867.606227025,62.55745831589373
강북구,14394530.73059853,9226057.7771807,23620588.50777923,39.059389964573406
강서구,19676542.236697275,21818923.56758243,41495465.8042797,52.5814643713003
관악구,15872878.945222316,13690341.217476336,29563220.162698653,46.3086941887004
광진구,5595774.403893923,11440156.785517944,17035931.189411867,67.15310515358388
구로구,6741863.027468993,13848291.635039255,20590154.66250825,67.25686067941506
금천구,3865055.82733549,9145694.206491694,13010750.033827184,70.29336650626156
노원구,18908415.738072246,16655575.607752759,35563991.345825,46.8326950307506
도봉구,11188150.632993354,9501233.191583453,20689383.824576806,45.92322938248644
동대문구,2097164.4524687314,12169205.971846081,14266370.424314812,85.29994392340718
동작구,4607566.972556675,13052238.980511397,17659805.95306807,73.90930010895056
마포구,9469457.168569058,18745956.41130598,28215413.579875037,66.43870860952661
서대문구,5953583.94529146,14085891.89383979,20039475.83913125,70.29072021102543
서초구,25749646.942047805,21531366.956063107,47281013.89811091,45.53913966917571
성동구,5173737.934471108,11630755.36719707,16804493.30166818,69.21217532957384
성북구,9337387.671242548,15381337.966566052,24718725.6378086,62.22544880323232
송파구,11896399.244690018,21930425.190443568,33826824.435133584,64.83146306712123
양천구,3782165.3884709417,14197133.129676687,17979298.51814763,78.9637766754172
영등포구,7970655.579408883,20784537.231954277,28755192.81136316,72.28098718830664
용산구,6683105.741921336,18580785.926673412,25263891.668594748,73.54680811021278
은평구,16595203.793571291,15051489.553014966,31646693.346586257,47.56101810756345
종로구,11824979.471621882,13626443.58472773,25451423.056349613,53.539024338869766
중구,1632243.9057971684,9496606.510180812,11128850.415977981,85.33322090973823
중랑구,7203690.449050523,11319486.887965476,18523177.337016,61.109855409876424
