SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,13631155.715597356,25826622.09855228,39457777.81414963,65.45381805381551
강동구,10246898.601273686,14290969.062447723,24537867.66372141,58.240468398876175
강북구,14048338.829053123,9572249.622105533,23620588.451158658,40.52502604623293
강서구,19355168.503017996,22072088.315888636,41427256.818906635,53.279145207160674
관악구,15370459.120902952,14192761.041795598,29563220.162698552,48.00817016443744
광진구,5568816.618657335,11467114.570752416,17035931.18940975,67.31134590330382
구로구,6558961.741764802,13524399.028110683,20083360.769875485,67.34131395178106
금천구,3600262.9883173998,9410487.045509739,13010750.033827139,72.3285515519325
노원구,18683798.540295955,16880192.805527523,35563991.34582348,47.46428105154141
도봉구,11231133.036629984,9458250.787952298,20689383.824582282,45.715478373572395
동대문구,1588890.4537613853,12677479.97056887,14266370.424330255,88.8626861177553
동작구,3886780.221286591,12476837.111823762,16363617.333110353,76.24742657956179
마포구,8551878.234835636,15292940.019896403,23844818.25473204,64.13527608608003
서대문구,5755480.623832685,11919225.788542245,17674706.41237493,67.4366267277685
서초구,24230254.907673113,22655076.209446345,46885331.11711946,48.32017961620877
성동구,4923183.536736159,11881309.764932372,16804493.301668532,70.70317177461499
성북구,8888898.539787037,15671323.311695253,24560221.85148229,63.8077432950771
송파구,11958599.003489112,21868225.41356676,33826824.417055875,64.64758602211725
양천구,3538848.091149871,13911447.03185592,17450295.123005792,79.72041122396611
영등포구,7268945.140884804,17236772.602401614,24505717.743286416,70.3377586527691
용산구,6426272.180290066,15450051.068661544,21876323.24895161,70.6245327098189
은평구,15406091.216950146,14367799.135593036,29773890.352543183,48.256371490149554
종로구,11361884.80053938,12610955.914950788,23972840.71549017,52.605179605611596
중구,1497038.1801371644,8485430.481920352,9982468.662057517,85.00332702443359
중랑구,7602564.9864582205,10920612.350560844,18523177.337019064,58.95647464722863
