SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,15750738.760395119,23707039.01421684,39457777.77461196,60.08204301224104
강동구,10394883.921670314,14142983.720252356,24537867.641922668,57.63737879199099
강북구,14391854.360620307,9228734.009531043,23620588.37015135,39.07072027550815
강서구,21243383.761761766,20183873.05714487,41427256.818906635,48.72123960651269
관악구,16556330.923967028,13006889.238731526,29563220.162698552,43.996862206313345
광진구,6345440.163191217,10690491.026220635,17035931.189411853,62.75260745866932
구로구,7166655.513451646,12916705.256423809,20083360.769875456,64.31545698167483
금천구,4362183.082153403,8648566.951673783,13010750.033827186,66.4724702971621
노원구,20314818.218166098,15249173.127657143,35563991.34582324,42.87812630301986
도봉구,11355684.852260623,9333698.972318023,20689383.824578647,45.11347003592124
동대문구,2385623.1663288553,11880747.257986005,14266370.42431486,83.27799506549385
동작구,5470951.047092411,10892666.286017928,16363617.33311034,66.56637138524118
마포구,10150348.75659595,13694469.498136012,23844818.25473196,57.43163714581204
서대문구,6745519.025363553,10929187.38701138,17674706.412374936,61.83518487955939
서초구,28330373.569246598,18554957.59125817,46885331.160504766,39.57518723230963
성동구,5728788.712071173,11075704.58959701,16804493.301668182,65.90918506598187
성북구,9492278.124125961,15067943.831375202,24560221.95550116,61.3510083853301
송파구,14088264.286808945,19738560.11056939,33826824.39737834,58.351797610949184
양천구,4643702.187828355,12806592.935177445,17450295.1230058,73.3889762030083
영등포구,8692510.542061472,15813207.201225033,24505717.743286505,64.52864334307107
용산구,10290084.463585753,11586238.902132927,21876323.365718678,52.96245949760077
은평구,16425885.65895098,13348004.693592165,29773890.352543145,44.831241519138736
종로구,13104783.34559949,10868057.457045903,23972840.802645393,45.33487518862019
중구,2213679.6137588117,7768789.124470417,9982468.73822923,77.82432710977372
중랑구,7194479.589380108,11328697.747635918,18523177.337016024,61.15958154218538
